Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640000000,2.000001,2.000001,1.156983,1.156376,1.125001,1.125004,2.000074,1.157064,1.125098,1.062501,1.062501,1.016358,1.015751,1.011720,1.011722,1.062506,1.016365,1.011727,1.031251,1.031251,1.008546,1.007938,1.006349,1.006351,1.031253,1.008549,1.006352,1.015626,1.015626,1.004639,1.004032,1.003419,1.003421,1.015628,1.004642,1.003421
800000000,2.000001,2.000001,1.156983,1.156376,1.125001,1.125003,2.000073,1.157063,1.125097,1.062501,1.062501,1.016358,1.015750,1.011719,1.011721,1.062505,1.016364,1.011726,1.031251,1.031251,1.008546,1.007938,1.006348,1.006350,1.031253,1.008549,1.006352,1.015626,1.015626,1.004639,1.004031,1.003419,1.003420,1.015627,1.004641,1.003421
960000000,2.000000,2.000001,1.156983,1.156375,1.125001,1.125002,2.000073,1.157063,1.125097,1.062501,1.062501,1.016358,1.015750,1.011719,1.011721,1.062505,1.016364,1.011726,1.031251,1.031251,1.008545,1.007937,1.006348,1.006350,1.031253,1.008549,1.006352,1.015626,1.015626,1.004639,1.004031,1.003419,1.003420,1.015627,1.004641,1.003421
1120000000,2.000000,2.000001,1.156983,1.156375,1.125000,1.125002,2.000073,1.157063,1.125097,1.062500,1.062501,1.016358,1.015749,1.011719,1.011721,1.062505,1.016364,1.011726,1.031250,1.031251,1.008545,1.007937,1.006348,1.006350,1.031253,1.008549,1.006352,1.015625,1.015626,1.004639,1.004031,1.003418,1.003420,1.015627,1.004641,1.003421
1280000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125002,2.000073,1.157062,1.125097,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016364,1.011726,1.031250,1.031250,1.008545,1.007937,1.006348,1.006349,1.031253,1.008548,1.006352,1.015625,1.015625,1.004639,1.004030,1.003418,1.003420,1.015627,1.004641,1.003420
1440000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125002,2.000073,1.157062,1.125097,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016363,1.011726,1.031250,1.031250,1.008545,1.007937,1.006348,1.006349,1.031253,1.008548,1.006352,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015627,1.004641,1.003420
1600000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125002,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015627,1.004641,1.003420
1760000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016363,1.011726,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015627,1.004641,1.003420
1920000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015627,1.004641,1.003420
2080000000,2.000000,2.000000,1.156983,1.156374,1.125000,1.125001,2.000073,1.157062,1.125096,1.062500,1.062500,1.016358,1.015749,1.011719,1.011720,1.062505,1.016363,1.011725,1.031250,1.031250,1.008545,1.007936,1.006348,1.006349,1.031253,1.008548,1.006351,1.015625,1.015625,1.004639,1.004030,1.003418,1.003419,1.015626,1.004641,1.003420
