Elements,Fenw,LFenw,Byte,LByte,Bit,LBit,LFenwFenw16,LByteByte16,LBitBit16,Fenw(16),LFenw(16),Byte(16),LByte(16),Bit(16),LBit(16),LFenwFenw16(16),LByteByte16(16),LBitBit16(16),Fenw(32),LFenw(32),Byte(32),LByte(32),Bit(32),LBit(32),LFenwFenw16(32),LByteByte16(32),LBitBit16(32),Fenw(64),LFenw(64),Byte(64),LByte(64),Bit(64),LBit(64),LFenwFenw16(64),LByteByte16(64),LBitBit16(64)
640,32.780127,34.058739,36.444041,35.139732,37.878910,37.400594,35.655404,42.715689,42.207278,30.154637,29.474241,30.821737,30.715724,32.103903,32.281483,32.545084,34.507146,34.646512,30.141836,30.315186,30.832399,30.142795,31.630646,32.221939,31.824062,33.923135,35.030294,30.681237,30.352062,30.296057,30.645133,31.757805,32.060834,32.856278,34.614087,34.611494
1280,36.322261,38.465240,41.082518,39.563233,42.768323,42.528418,39.577426,46.226071,45.013781,33.774807,33.563637,34.834966,34.587472,36.393340,36.089642,35.334180,37.775988,38.808803,33.131015,33.334103,34.030009,33.728070,35.037741,35.014576,35.372161,36.958794,37.434114,33.415160,33.642937,33.715511,33.515177,34.756449,34.977865,35.508580,37.440984,38.038667
1920,38.609843,41.446213,44.456494,43.505393,45.868096,48.346903,42.182068,49.448532,48.285488,36.646697,36.466318,37.849210,37.401133,39.092058,38.849689,38.298094,40.749665,41.720552,35.865311,35.875321,36.491195,36.515560,37.629049,37.550385,38.042128,40.034980,40.740440,36.063558,36.201387,36.391289,36.368847,36.918831,37.605403,38.492098,40.232684,40.560636
2560,39.691980,43.073471,47.446831,44.705378,48.596653,48.019211,43.872519,51.814478,50.991368,37.195649,37.203917,38.863523,37.919852,39.818871,39.476148,39.526103,41.393183,42.391091,37.497641,37.545305,38.395360,38.604829,39.975369,40.178953,39.249480,41.697118,42.877736,38.733204,38.742878,38.711934,39.100893,39.665728,39.992098,41.352739,43.327139,43.182302
3200,41.111696,44.664753,49.046873,46.031501,50.500183,50.619473,45.246862,53.170942,52.014925,38.720861,39.156103,40.747827,39.975987,42.567289,41.753108,40.761378,44.050564,45.262268,38.866404,39.181157,40.099039,40.040992,41.727485,41.737832,40.848348,43.369610,44.664381,41.186878,41.550153,41.317802,41.663141,41.782487,42.637354,44.191652,46.279455,46.175614
3840,42.081957,46.351663,50.876243,47.383686,50.952402,51.690799,46.309736,55.190974,53.344273,39.951086,40.662805,42.343674,41.837298,44.199672,43.439480,42.681649,45.434832,46.724138,40.649816,40.871297,41.613516,41.793754,43.508730,43.032591,42.874126,45.248907,46.354059,43.529019,43.951288,43.665413,43.911150,44.441227,44.920762,46.607290,48.889587,48.749042
4480,42.946871,48.661826,52.790494,49.721643,53.825728,53.306125,47.892124,56.841734,55.884140,40.037450,41.024202,42.416503,42.003316,44.615217,43.511796,42.514815,45.920470,47.063401,40.833538,41.147612,41.890398,41.810643,43.655488,43.013768,43.351024,47.545889,47.167071,44.925968,44.500000,45.468117,45.775706,47.357681,47.360510,49.252570,52.000193,52.787529
5120,43.624871,49.252210,53.255793,50.024869,54.397464,53.263600,48.426576,57.298373,56.714205,40.520677,41.299400,42.908100,42.376413,44.828139,43.966770,42.930715,46.228055,47.482559,41.089836,41.473444,42.276606,42.026738,43.934775,43.231489,43.103976,45.492149,46.915853,44.595590,44.420802,45.308937,45.755346,47.907242,46.966037,47.118143,49.800656,51.118746
5760,44.053016,49.875985,53.820366,50.459367,55.063547,53.790609,48.910040,57.848793,57.642293,41.316059,41.976146,43.757472,43.508237,45.639955,44.809406,43.417618,47.021590,48.251172,42.155521,42.701614,43.365794,43.200235,44.997768,44.349240,44.214307,46.593795,48.054659,45.445951,45.343779,46.060151,46.561802,47.325902,47.654244,47.982963,50.560045,52.213912
6400,44.735569,50.308028,55.542198,51.085248,56.087678,55.806300,50.081454,59.453634,58.402769,41.779481,42.684723,44.707291,44.595182,46.407178,45.441931,44.088022,47.962137,49.066804,43.000534,43.470370,45.096961,44.863263,47.193364,46.669926,45.391728,48.350647,50.058243,46.381532,46.345997,47.041916,47.510041,48.449168,48.566564,49.080656,51.931738,52.925784
12800,49.367867,56.392398,60.489223,57.324753,62.272403,62.134178,55.757993,66.068094,66.186353,45.230352,47.376637,48.943740,48.369832,52.258048,51.795597,48.461000,52.588261,54.644000,46.197277,46.914740,48.674016,48.382628,50.608956,49.977442,48.712134,52.299300,53.826028,51.366015,51.954064,53.363221,53.117929,54.871359,54.301999,54.336877,57.659859,59.146370
19200,52.555301,59.545951,63.793550,61.628486,66.253930,66.260787,58.891544,69.096611,68.775946,47.187659,50.404920,51.988645,51.090138,54.424404,54.018237,50.135439,55.779374,57.350844,48.219133,49.286082,51.498823,52.826487,54.134264,53.186766,51.108285,55.056015,57.114743,53.117372,53.715288,55.056570,54.960224,56.451829,55.753848,56.657469,59.960921,60.894442
25600,54.295563,61.774855,65.858615,63.144721,68.338731,69.746744,60.835147,71.999902,71.232643,48.650636,51.617458,53.515735,53.181097,57.165305,55.827950,51.871177,57.635109,59.355965,49.797784,50.943414,53.162397,52.952077,57.104472,56.310035,52.694096,57.031723,59.038617,55.189852,55.886237,57.441746,56.883245,58.460459,57.917903,58.344130,61.883702,63.049467
