Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,38.894943,41.289619,41.685291,43.401706,42.996172,44.455917,42.387701,44.153744,44.375029,44.279195,44.972025,44.754912,42.063332,44.147506,44.308480,43.732502,44.848741,44.976489,42.041363,44.126875,44.630247,44.233813,44.816640,44.530159,41.973327,44.112697,45.424015,43.754779,44.128643,44.090759,41.332404,43.458870,44.740485,43.434384,43.875793,44.052101
7040,38.326951,40.793920,41.067485,42.697671,42.321241,43.858466,42.033134,43.553171,43.661296,43.774235,44.311151,44.185205,41.634360,43.457760,43.830894,43.101152,44.267874,44.283222,41.539282,43.496193,44.008197,43.679900,44.086469,43.908670,41.434202,43.474095,44.605135,43.179913,43.969208,43.959750,41.314573,43.366035,44.665356,43.376082,43.775949,43.940129
7680,38.296259,40.805215,41.028249,42.684048,42.384000,43.784617,41.918785,43.677199,44.058303,43.766102,44.378900,44.383682,41.973364,43.605670,43.885065,43.237141,44.199667,44.411446,41.934049,43.601496,44.095344,43.662367,44.018002,43.966840,41.526952,43.602814,44.558759,43.325346,44.092260,43.958871,41.388574,43.514703,44.583069,43.494077,43.933007,43.997552
8320,38.744463,41.800070,42.400673,44.078815,43.503444,45.043384,42.261993,44.460325,45.210000,44.627483,45.274964,45.503166,41.642104,44.533160,45.270810,44.150400,45.171877,45.367446,41.665040,44.501743,45.403501,44.565496,45.036962,44.939866,41.918485,44.536461,45.635412,44.170915,45.160272,44.974497,41.806926,44.377695,45.594415,44.296327,44.960309,44.972993
8960,38.741859,41.694781,42.041503,43.876903,43.336071,44.793518,42.346030,44.356349,44.811612,44.664139,45.379249,45.186627,41.693733,44.633292,44.930851,44.055134,45.335778,45.248664,41.728081,44.405112,45.059427,44.524953,45.134778,44.951434,41.906189,44.647222,45.701234,44.100377,45.141246,44.946657,41.785625,44.269715,45.718053,44.161513,44.852497,44.968627
9600,38.761277,41.678559,41.978183,43.754280,43.263655,44.755574,42.434801,44.364673,44.777567,44.597939,45.287762,45.148346,41.820452,44.352827,44.837978,44.021574,45.245017,45.101066,41.772720,44.362064,44.998640,44.476058,45.129217,44.903650,41.900431,44.401186,45.614101,44.038255,44.994621,44.925900,41.788524,44.228524,45.640169,44.380572,44.751195,44.932772
10240,38.756239,41.676043,42.042493,43.875810,43.341011,44.850611,42.210358,44.335131,44.777876,44.584754,45.308913,45.204353,41.693483,44.358451,44.854395,44.027527,45.285047,45.142194,41.720689,44.410642,45.027723,44.529052,45.161779,44.992095,41.878371,44.394936,45.707045,44.089394,45.022816,45.043734,41.739022,44.262921,45.669617,44.116930,44.820788,44.938656
10880,38.755179,41.632828,42.027163,43.774172,43.275994,44.884537,42.320345,44.286374,44.679411,44.503727,45.159927,45.068129,41.719920,44.327084,44.765050,43.929592,45.202742,45.090856,41.730431,44.280844,44.965095,44.413585,44.954716,44.873720,41.873016,44.308602,45.554646,44.063515,44.919997,44.816866,41.769951,44.175645,45.525175,44.076003,44.681011,44.832759
11520,38.799637,41.611035,41.884843,43.681731,43.180396,44.686496,42.339829,44.232101,44.634566,44.494389,45.152578,45.025932,41.818435,44.597513,44.685400,43.910180,45.162193,45.071936,41.831155,44.313087,44.880032,44.493529,45.005000,44.814451,41.874418,44.276056,45.504562,43.947813,44.884907,44.838892,41.755746,44.105785,45.561535,44.068032,44.617882,44.848830
12160,38.732532,41.527171,41.832428,43.554391,43.095533,44.548493,42.315631,44.205499,44.499516,44.384176,45.064177,44.944959,41.812207,44.184408,44.576034,43.819540,45.020228,44.966418,41.883907,44.187300,44.772317,44.313715,44.944491,44.690714,41.899675,44.274379,45.433043,43.915459,44.775910,44.709598,41.723917,44.068518,45.389787,43.996832,44.539998,44.662262
12800,38.705839,41.592782,41.935859,43.699730,43.215164,44.780250,42.231900,44.318033,44.679832,44.528844,45.204078,45.129770,41.645867,44.409733,44.767720,43.987191,45.202156,45.081407,41.595508,44.334569,44.966531,44.436635,45.043335,44.873097,41.835855,44.338238,45.606810,44.106350,45.142659,44.874886,41.767019,44.189929,45.594093,44.069206,44.728908,44.865270
13440,38.693307,41.565410,41.877666,43.729316,43.259938,44.637169,42.225439,44.247365,44.633701,44.444665,45.088780,45.104505,41.685152,44.337147,44.752794,43.931460,45.042846,45.083963,41.667138,44.310841,44.868852,44.374703,44.998693,44.838248,41.812969,44.321278,45.495353,43.998930,44.908157,44.858813,41.693562,44.146093,45.475383,44.086068,44.719583,45.258652
14080,38.661036,41.473378,41.873200,43.722681,43.093475,44.569960,42.250137,44.169721,44.546564,44.435410,45.126258,44.977500,41.767605,44.305024,44.646616,43.844296,45.075734,44.998935,41.697086,44.240756,44.854131,44.349558,44.935385,44.762708,41.776016,44.198860,45.420008,43.904541,44.813746,44.727643,41.709526,44.096830,45.426256,43.982259,44.574903,44.747578
14720,38.755207,41.550930,41.968006,43.692422,43.118258,44.606700,42.176792,44.656985,44.615243,44.395399,44.969325,44.976311,41.663382,44.241899,44.684131,43.906451,44.961164,44.991150,41.671253,44.259825,44.819675,44.293226,44.889185,44.734759,41.788513,44.273674,45.470437,43.940129,44.827407,44.743437,41.642685,44.123244,45.368843,44.037455,44.562446,44.747428
15360,38.657836,41.461725,41.843499,43.627853,43.092071,44.577169,42.198984,44.204809,44.544609,44.431894,45.081966,45.024653,41.743427,44.222178,44.828326,43.796010,45.038732,45.012455,41.647488,44.218832,44.851183,44.273386,44.878981,44.729912,41.788788,44.244394,45.456921,43.924305,44.863802,44.763377,41.716725,44.045181,45.423485,44.033177,44.571270,44.746492
16000,38.730119,41.461070,41.865469,43.536796,43.176665,44.546920,42.245041,44.115109,44.505716,44.291904,44.912379,44.908110,41.705901,44.227565,44.566874,43.823746,44.941176,44.963567,41.694226,44.238579,44.768391,44.526485,44.795014,44.630624,41.793836,44.233183,45.293543,43.891291,44.775791,44.676713,41.697834,44.048709,45.303456,43.966554,44.541557,44.659243
16640,39.128409,42.561866,43.090134,44.854547,44.425925,46.005600,42.515452,45.117633,45.744996,45.383464,46.243746,46.084902,41.860108,45.112590,45.836965,44.870682,46.292195,46.066806,41.837883,45.121318,45.933184,45.305714,46.056538,45.920177,42.208910,45.134528,46.571123,44.974975,45.924737,45.911935,42.255815,45.150185,46.586895,44.896172,45.719070,45.877925
17280,39.111879,42.420047,42.830626,44.722113,44.176596,45.754946,42.528079,45.065037,45.657518,45.344177,46.134438,45.993205,41.866864,45.055729,45.745548,44.869609,46.123195,45.964000,41.845388,44.990229,45.862023,45.240032,45.991717,45.780227,42.208911,45.011396,46.452739,44.865350,45.854522,45.765175,42.277032,45.031283,46.511271,44.853154,45.801887,45.762289
17920,39.121169,42.436716,42.757523,44.794902,44.183752,45.769448,42.614387,44.985036,45.648523,45.292795,46.103410,46.026907,41.920331,44.972419,45.718322,44.803586,46.135300,45.957525,41.850798,45.030765,45.810302,45.277055,45.952953,45.744834,42.286029,44.992441,46.414303,44.855373,45.840898,45.751108,42.214315,45.016302,46.443337,44.825555,45.623016,45.717466
18560,39.159164,42.413188,42.802466,44.720855,44.188265,45.782263,42.575438,44.940572,45.768277,45.354784,46.129297,46.003973,41.941537,45.019234,45.697680,44.812120,46.163309,45.941332,41.911712,45.036134,45.831787,45.228236,45.967971,45.747134,42.193289,45.057010,46.499429,44.846704,45.883769,45.729193,42.252986,45.017177,46.469932,44.845094,45.689104,45.738833
19200,39.092329,42.324030,42.719491,44.661268,44.090281,45.709610,42.571976,44.925269,45.535254,45.252786,46.057093,46.116389,41.941616,44.912083,45.639860,44.717543,46.026408,45.885075,41.921812,44.918251,45.710164,45.169953,45.841665,45.670067,42.221434,44.984116,46.416496,44.777921,45.819407,45.652783,42.237339,44.931942,46.365646,44.793657,45.519584,45.680716
19840,39.085553,42.311026,42.739156,44.637869,44.071829,45.678858,42.619827,44.921664,45.573541,45.231083,46.019138,45.966193,41.988141,44.895765,45.591366,44.709556,46.005360,46.308780,41.913760,44.950855,45.672538,45.147264,45.793949,45.614032,42.231678,44.914694,46.339567,44.766810,45.740984,45.628181,42.178130,44.926469,46.328103,44.769389,45.511546,45.621345
20480,39.113070,42.177286,42.953415,44.719037,44.181387,45.683509,42.515361,45.048903,45.667701,45.301822,46.096784,46.007269,41.873075,45.032230,45.656116,44.839402,46.142134,45.927627,41.868993,44.983489,45.785295,45.221095,45.945710,45.768363,42.212137,44.987149,46.421516,44.789319,45.833424,45.703349,42.225421,44.980421,46.416265,44.817668,45.593314,45.708138
21120,39.107498,42.334524,42.733177,44.630419,44.051588,45.632221,42.540159,44.913891,45.578720,45.266297,45.972122,45.913316,41.889608,44.891435,45.598577,44.692997,46.014069,45.862752,41.891217,45.009640,45.752354,45.168959,45.845863,45.690425,42.206913,44.916056,46.434994,44.774836,45.733757,45.896619,42.205159,44.898779,46.359167,44.775011,45.527976,45.650839
21760,39.091820,42.358693,42.669230,44.535820,43.993582,45.617218,42.600991,44.918883,45.466958,45.233337,46.017336,45.817867,41.922922,44.876597,45.627799,44.729107,46.034279,45.783261,41.826706,44.924674,45.732419,45.071914,45.752432,45.660408,42.243335,44.918527,46.345609,44.705253,45.719743,45.611899,42.169173,44.891279,46.380108,44.804488,45.532885,45.919311
22400,39.108476,42.260322,42.610206,44.526362,43.947305,45.433200,42.588246,44.835539,45.456751,45.112171,45.915137,45.816490,41.958854,44.840879,45.482873,44.589123,45.912932,45.794682,41.905173,44.819253,45.650642,45.105449,45.684822,45.582683,42.200285,44.870979,46.289562,44.701166,45.610262,45.574321,42.145464,44.832750,46.293446,44.708398,45.405834,45.556056
23040,39.103361,42.283317,42.668973,44.510591,43.968024,45.575627,42.578261,44.911281,45.430653,45.159317,45.955690,45.799057,41.905932,44.889401,45.502894,44.643124,45.934910,45.786377,41.941891,44.866869,45.632666,45.086803,45.789803,45.541336,42.203053,44.913255,46.343021,44.703939,45.663294,45.553910,42.274307,44.819982,46.267882,44.681551,45.428175,45.585466
23680,39.050130,42.265874,42.637587,44.483754,43.957465,45.566899,42.613064,44.942984,45.570090,45.137679,45.750564,46.101297,42.581869,44.983587,45.607840,44.706380,45.775878,45.976793,42.583445,45.031352,45.712237,45.084461,45.619620,45.544545,42.305853,45.012159,46.175951,44.761578,45.720925,45.547691,42.223417,44.952612,46.213104,44.675909,45.473989,45.669855
24320,39.032393,42.177595,42.547162,44.435345,43.844839,45.420478,42.591411,44.785324,45.295404,45.125553,45.798316,45.680022,41.940106,44.796718,45.378191,44.580493,45.867521,45.713909,41.914536,44.862928,45.519418,44.972785,45.641780,45.512570,42.245497,44.840916,46.175756,44.575319,45.593522,45.456616,42.168308,44.735360,46.154926,44.651016,45.308822,45.468792
24960,39.062878,42.314405,42.760496,44.680930,44.107046,45.601375,42.487558,44.903507,45.565363,45.242491,46.014664,45.939258,41.857870,44.995372,45.678171,44.687224,46.064724,45.894026,41.812531,44.943877,45.756009,45.113340,45.831172,46.121072,42.129584,44.938855,46.364347,44.706250,45.767768,45.678216,42.115164,44.888774,46.387096,44.859674,45.500816,45.649298
25600,39.049755,42.324438,42.697747,44.606902,44.102679,45.638989,42.497513,44.929155,45.551581,45.192307,46.042824,45.909394,41.851818,44.958657,45.605448,44.725289,46.045948,45.906034,41.826617,44.945712,45.757700,45.130093,45.823320,45.678299,42.589062,44.970990,46.366162,44.738485,45.761041,45.682355,42.197348,44.937576,46.448940,44.761870,45.492910,45.660655
26240,39.153566,42.280736,42.751993,44.675367,44.140028,45.576867,42.504799,44.998807,45.634918,45.219787,45.853717,46.021256,42.000552,45.016384,45.701983,44.787484,45.811239,45.931732,41.987144,45.018279,45.788343,45.004259,45.634061,45.643654,42.188330,45.006160,46.259833,44.859345,45.690807,45.586256,42.058747,44.988974,46.249942,44.771168,45.701130,45.596686
26880,39.056734,42.291998,42.612880,44.545891,43.999610,45.549529,42.564014,44.875079,45.467078,45.187829,45.957277,45.858696,41.814659,44.865606,45.568359,44.642369,45.958356,45.844231,41.871771,44.912350,45.659246,45.076034,45.777211,45.629200,42.221739,44.890496,46.297478,44.749777,45.685006,45.591638,42.128530,44.839889,46.327166,44.720866,45.427629,45.603993
27520,39.092453,42.046076,42.758444,44.449280,44.082905,45.455869,42.569412,44.842413,45.413733,45.118419,45.912168,45.825093,41.911970,44.849925,45.466496,44.588743,45.934430,45.740764,41.882340,44.841771,45.628428,45.061279,45.730686,45.540117,42.198144,44.827765,46.258065,44.662610,45.648833,45.545291,42.127835,44.802352,46.263655,44.687110,45.414968,45.537196
28160,39.074369,42.250115,42.586132,44.471016,43.949863,45.484905,42.542755,44.870142,45.428713,45.086224,46.221719,45.858162,41.898245,44.702358,45.481308,44.653521,45.754599,45.635141,41.849258,44.713731,45.589767,44.961657,45.604113,45.424714,42.223770,44.785993,46.294318,44.669046,45.574041,45.423803,42.136364,44.948160,46.235428,44.634554,45.383094,45.418037
28800,39.021350,42.358542,42.693132,44.538626,44.091880,45.504504,42.457512,44.816534,45.475780,45.184250,45.929853,45.796810,41.880052,44.880208,45.504126,44.584399,45.994448,45.836871,41.858977,44.881487,45.627392,45.072964,45.752931,45.598981,42.126289,44.894891,46.377979,44.654747,45.682119,45.601926,42.100413,44.836390,46.300353,44.659685,45.392978,45.617042
29440,38.983391,42.200962,42.567271,44.454207,43.859140,45.450335,42.497522,46.805446,46.690576,46.939086,47.195910,46.814110,41.877427,46.302105,46.786903,46.065744,47.201992,46.778610,41.880321,46.332642,46.793810,47.465669,47.138679,46.929520,42.092155,46.331240,47.404591,46.139122,46.827071,46.892303,42.093079,46.406267,47.457942,46.541846,46.590902,46.898685
30080,39.094078,42.238717,42.557785,44.435290,43.858399,45.391309,42.528412,44.780159,45.417841,45.127053,45.908726,45.744519,41.910306,44.880114,45.453827,44.564901,45.897271,45.714650,41.882283,44.855306,45.534775,44.998836,45.743446,45.516207,42.130341,44.828824,46.510869,44.602758,45.577223,45.491172,41.998946,44.770300,46.230634,44.583485,45.322530,45.559814
30720,38.959876,42.199228,42.700116,44.579896,43.955327,45.444921,42.314244,44.925340,45.509125,45.049507,45.674957,45.921660,41.908706,44.941231,45.556092,44.718190,45.726882,45.837556,41.937043,45.027585,45.641737,44.969422,45.496858,45.516840,42.129565,44.970856,46.123120,44.764819,45.612452,45.518483,41.995860,45.041635,46.176466,44.618448,45.392045,45.639917
31360,38.986919,42.227053,42.569980,44.421832,43.886075,45.396939,42.503775,44.803377,45.327459,45.073428,45.875897,45.741763,41.887173,44.829961,45.401617,44.561959,45.860044,45.710638,41.866844,44.819392,45.521428,44.964202,45.671219,45.493873,42.153546,44.836232,46.216727,44.558043,45.564249,45.513280,42.113736,44.761063,46.195522,44.653557,45.332520,45.517860
32000,39.023203,42.166434,42.532166,44.324845,43.860068,45.376627,42.546607,44.782935,45.345299,45.077574,45.846590,45.736217,41.865211,44.796455,45.414029,44.548662,45.802261,45.724546,41.852111,44.878226,45.591754,44.963988,45.649214,45.556630,42.154172,44.843229,46.167897,44.611627,45.581635,45.515404,42.077721,44.762760,46.181035,44.648189,45.389011,45.560032
32640,39.028127,42.151805,42.494478,44.305636,43.800380,45.325833,43.020915,44.707473,45.291549,45.003435,45.792972,45.648998,41.898072,44.737543,45.323909,44.479438,45.906702,45.608564,41.883584,44.805400,45.465305,44.944525,45.586300,45.382435,42.283968,44.744109,46.121058,44.490774,45.504039,45.441630,42.056735,44.656886,46.127595,44.530309,45.224331,45.396658
33280,39.591019,43.128117,43.618144,45.789008,44.985609,46.768056,42.900174,45.765597,46.666724,46.064610,46.752670,47.157334,42.778730,45.706120,46.693500,45.699425,46.922404,47.020479,42.822151,45.709799,46.762640,45.941361,46.649178,46.681228,42.601605,45.705996,47.135802,45.756141,46.743468,46.657853,42.774917,45.821324,47.117531,45.528775,46.560580,46.697302
33920,39.473190,43.222890,43.776192,45.623876,45.073588,46.778015,42.868213,45.712215,46.549033,46.092177,47.027884,46.804100,42.163104,45.678831,46.590468,45.689964,47.410826,46.786307,42.205857,45.747784,46.716836,46.014340,46.808316,46.607089,42.594981,45.740300,47.272771,45.642821,46.801060,46.691726,42.624081,45.720481,47.333988,45.523574,46.531466,46.672949
34560,39.486705,43.106958,43.538207,45.475742,44.829443,46.636573,42.854983,45.636059,46.398468,46.074373,46.755000,46.703122,42.191263,45.642168,46.406152,45.475669,46.822044,46.680067,42.209222,45.622037,46.548383,46.279617,46.698273,46.517301,42.504947,45.697232,47.074649,45.589403,46.623518,46.503829,42.634414,45.630372,47.096400,45.463818,46.408093,46.528391
