Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,814.290000,810.310000,814.300000,863.000000,775.660000,854.270000,796.140000,808.710000,875.070000,805.540000,1283.140000,1228.600000,804.240000,848.960000,957.070000,950.040000,806.030000,1143.680000,834.810000,955.720000,869.290000,932.750000,823.980000,954.800000,826.700000,954.530000,838.880000,960.130000,964.890000,878.330000,738.320000,550.330000,668.940000,515.280000,515.680000,698.520000
7040,888.136364,642.790909,457.918182,472.609091,460.018182,581.763636,570.490909,492.145455,490.209091,581.890909,463.472727,500.690909,456.800000,500.836364,493.881818,480.218182,491.336364,484.490909,455.309091,607.500000,489.863636,467.700000,462.218182,484.281818,465.418182,492.181818,484.609091,470.409091,467.381818,497.981818,449.727273,596.463636,489.236364,473.081818,601.500000,489.327273
7680,569.791667,538.250000,552.158333,469.016667,540.183333,573.025000,542.666667,579.675000,578.441667,568.100000,553.800000,626.250000,565.708333,832.700000,583.075000,455.566667,553.991667,578.916667,443.200000,582.650000,583.233333,553.958333,492.125000,581.216667,567.200000,585.183333,580.566667,456.983333,548.216667,569.816667,442.750000,581.533333,579.875000,555.750000,554.591667,580.716667
8320,606.692308,399.861538,720.176923,414.023077,391.592308,434.500000,394.684615,424.807692,751.330769,411.115385,425.038462,423.730769,391.300000,421.330769,421.738462,395.653846,391.984615,451.800000,569.638462,558.130769,753.861538,395.292308,396.692308,423.800000,380.584615,413.023077,416.692308,725.130769,404.138462,420.915385,727.500000,415.123077,421.915385,399.269231,400.207692,430.730769
8960,484.364286,469.950000,469.271429,480.821429,589.228571,490.650000,464.907143,500.050000,499.164286,478.214286,482.400000,498.957143,467.100000,499.271429,504.692857,489.507143,477.814286,497.207143,466.764286,494.350000,516.314286,475.778571,391.050000,502.328571,464.021429,510.571429,565.728571,450.242857,495.985714,499.321429,464.885714,494.107143,499.264286,508.392857,493.714286,514.828571
9600,494.713333,344.253333,344.773333,350.293333,334.980000,351.846667,332.280000,362.946667,365.773333,345.060000,345.033333,356.206667,333.113333,468.320000,357.920000,634.360000,353.626667,358.446667,334.366667,372.586667,654.873333,351.640000,340.946667,357.900000,334.166667,355.000000,385.006667,341.033333,344.446667,360.500000,337.826667,360.926667,849.900000,782.873333,581.913333,530.060000
10240,500.081250,331.575000,579.668750,330.706250,319.212500,333.631250,315.956250,612.887500,345.475000,325.118750,326.443750,339.625000,312.137500,621.162500,336.875000,323.525000,584.368750,339.087500,314.606250,589.150000,339.237500,592.306250,325.781250,344.056250,316.462500,338.031250,339.537500,599.575000,322.106250,338.718750,312.706250,337.587500,1241.712500,325.787500,323.675000,342.112500
10880,402.723529,396.600000,327.741176,397.400000,379.641176,410.529412,464.947059,446.935294,421.652941,389.864706,394.558824,589.623529,387.076471,414.076471,413.623529,396.582353,400.629412,414.264706,310.988235,431.864706,410.729412,395.905882,322.870588,416.794118,400.670588,414.488235,413.676471,394.952941,395.341176,414.541176,383.982353,412.976471,411.588235,395.211765,395.794118,414.141176
11520,379.127778,287.000000,280.794444,493.311111,280.950000,293.550000,295.088889,303.394444,301.738889,528.666667,287.305556,302.222222,277.083333,512.911111,559.250000,330.283333,309.300000,310.150000,277.716667,536.544444,302.038889,287.711111,298.322222,306.394444,277.794444,299.916667,300.283333,523.255556,288.072222,299.472222,279.011111,300.055556,298.905556,289.861111,288.922222,301.988889
12160,357.273684,342.726316,351.163158,429.778947,339.678947,355.547368,342.142105,363.315789,368.605263,356.057895,353.631579,370.673684,346.826316,365.247368,288.026316,275.684211,274.889474,287.005263,263.373684,286.131579,516.921053,281.105263,384.721053,305.426316,268.915789,506.494737,286.700000,423.310526,305.063158,521.168421,264.868421,508.668421,350.694737,275.200000,275.336842,287.121053
12800,294.840000,276.050000,259.420000,334.635000,316.280000,272.065000,265.125000,283.805000,278.200000,268.960000,321.615000,293.760000,257.225000,339.140000,335.820000,270.310000,325.850000,278.770000,310.845000,275.655000,277.070000,263.250000,268.885000,332.510000,256.845000,337.245000,278.745000,324.375000,283.150000,389.835000,272.050000,286.775000,335.875000,258.190000,264.880000,338.410000
13440,261.471429,247.000000,455.195238,252.514286,244.990476,253.161905,241.842857,259.333333,259.342857,452.528571,248.504762,467.038095,238.500000,272.466667,258.257143,249.038095,260.780952,260.485714,238.161905,257.295238,258.776190,250.085714,249.123810,259.909524,238.200000,259.590476,260.652381,458.609524,248.795238,260.157143,238.471429,258.833333,467.357143,249.542857,248.223810,416.204762
14080,465.522727,329.563636,294.309091,244.786364,238.627273,303.550000,231.913636,255.986364,304.959091,244.363636,293.645455,257.704545,236.195455,302.918182,254.481818,239.377273,243.318182,305.145455,234.127273,302.550000,254.295455,298.445455,244.604545,304.613636,236.468182,307.086364,257.550000,292.863636,243.836364,307.350000,231.750000,254.218182,304.390909,243.495455,291.063636,255.650000
14720,248.139130,230.530435,225.686957,248.091304,224.265217,231.843478,221.234783,436.726087,422.613043,253.221739,234.000000,242.560870,478.691304,240.695652,326.769565,228.452174,244.178261,427.147826,221.360870,237.891304,237.634783,413.047826,411.721739,422.452174,216.917391,237.182609,427.226087,231.243478,226.608696,422.765217,402.165217,240.760870,236.030435,227.430435,228.091304,423.326087
15360,223.275000,215.504167,213.100000,218.891667,215.275000,222.120833,209.829167,228.712500,231.416667,399.558333,218.350000,226.662500,208.704167,231.633333,294.616667,224.850000,244.937500,241.554167,216.479167,227.129167,409.287500,398.125000,217.566667,234.008333,208.787500,237.733333,283.708333,216.712500,219.025000,226.208333,206.004167,230.995833,225.383333,217.891667,219.800000,232.316667
16000,229.000000,208.624000,205.132000,228.268000,206.776000,213.972000,203.252000,222.160000,221.644000,385.356000,211.512000,221.404000,201.324000,220.324000,389.756000,211.936000,211.052000,389.792000,375.208000,388.888000,220.828000,219.652000,296.888000,233.844000,204.768000,391.644000,221.440000,211.412000,381.460000,389.948000,379.384000,391.088000,396.708000,213.844000,210.688000,220.672000
