Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,24.873612,23.581905,28.399164,26.319719,42.197860,31.295351,25.957559,32.076838,38.169196,32.333376,37.622867,40.448049,25.810989,32.375981,38.721046,32.585228,33.990187,36.495297,25.743859,32.864793,36.637593,32.415889,38.409095,34.585558,25.723000,32.325857,36.004582,32.211915,41.200325,36.806052,25.414082,31.825278,41.937444,31.755220,40.791102,33.088172
7040,24.541199,23.267861,28.093156,25.374039,38.188551,34.786175,25.621793,31.944277,35.581422,31.959100,34.400475,34.330308,25.460769,32.598474,33.850733,31.453672,41.009068,35.119567,25.396649,31.663289,37.367222,32.012875,34.668091,34.846848,25.399618,31.663716,36.573340,31.425433,41.143582,39.600688,25.389527,31.915997,36.158191,31.645262,36.130059,40.140088
7680,24.535173,23.263076,27.720775,25.084278,33.051439,32.965997,25.483803,32.376157,34.695743,31.926937,32.893518,36.300819,25.395828,31.887758,35.932664,31.461861,38.873003,33.811969,25.391440,32.366670,39.643951,31.593698,38.446500,38.615624,25.385052,31.946907,38.853852,31.915392,42.483831,36.128040,25.382000,31.512584,40.375595,31.818570,34.968995,35.325152
8320,25.209952,23.958748,30.045264,26.911571,33.056716,33.432154,26.072617,33.518176,41.525659,33.772002,39.562504,38.247330,26.071632,33.851021,42.116807,33.933702,37.133141,43.459092,26.066032,27.764967,37.131684,33.141098,38.697738,38.056446,26.018956,34.625601,38.817559,33.608311,40.890981,40.872129,26.017707,33.577621,35.480592,33.506235,30.910552,37.029661
8960,25.228915,23.969361,29.358371,27.346091,27.740388,39.147259,26.153483,33.514173,39.305548,33.922609,43.488360,37.045663,26.078749,36.027532,37.059713,33.534839,34.284329,37.105653,26.070691,34.108765,32.269164,36.670898,41.074990,35.450410,26.035289,33.780166,33.372464,37.571923,40.436519,34.382149,26.015629,33.533696,44.663917,36.202239,36.704382,37.879064
9600,25.244585,24.002928,32.579921,27.104378,35.156281,36.535620,26.172442,33.740966,39.363001,33.454643,40.839242,43.394973,26.081318,33.509615,40.949113,35.298133,39.416847,40.262217,26.082281,33.840861,39.899793,33.150446,35.763534,39.810157,26.005678,33.598627,42.153335,33.530108,41.029090,35.651742,26.007849,33.265104,41.707474,33.613140,43.718500,39.418615
10240,25.298916,23.948344,32.863339,27.282492,38.692872,37.437030,26.094306,36.830833,39.308966,33.446188,40.745399,43.787545,26.086252,33.508420,41.330884,33.525709,37.444922,39.517912,26.074630,33.512895,41.650173,33.111012,34.387401,38.401986,26.020690,33.546868,37.896158,33.579925,38.979190,38.030892,26.036190,33.249561,35.977095,33.208033,35.486008,35.721016
10880,25.207721,24.049901,29.564651,26.292305,32.038874,35.640112,26.103696,33.816916,40.904056,33.439718,36.372948,35.673302,26.075173,33.767510,42.665329,33.696422,38.294807,39.903406,26.082755,33.863763,41.728384,35.528872,39.337297,36.172028,26.004430,33.529941,42.583714,33.584415,35.933457,35.899783,26.009167,33.507863,37.764486,33.250319,38.314404,38.318348
11520,25.450528,24.018715,29.504969,26.903142,31.052420,34.120072,26.095138,33.808963,37.116454,33.446600,38.460297,41.216169,26.167205,33.810208,35.467849,33.571824,39.600168,39.085071,26.095153,33.806569,40.237367,34.044093,38.531859,35.340158,26.007548,33.344110,37.037332,33.213451,40.183482,40.969171,25.985999,33.514757,33.389603,33.227572,34.028878,35.960078
12160,25.239860,23.954676,29.593266,27.048225,32.626804,32.095884,26.111033,33.510945,42.562804,33.779629,39.051737,38.360763,26.072179,33.687275,37.005276,33.481915,37.086137,43.813942,26.092608,33.774212,45.096810,33.129324,39.895254,36.509223,26.000324,36.934605,38.965069,32.834887,46.707315,36.104008,26.013163,33.256385,36.978303,33.539087,35.638542,36.932057
12800,25.261366,23.949856,31.003979,26.914263,38.808640,33.099006,26.089492,34.158706,38.761198,36.000136,36.634050,44.279083,26.098408,33.535017,36.288922,33.216279,35.872138,35.885795,26.199678,33.511310,41.959328,37.619982,36.393090,35.957381,26.010428,36.113194,45.397013,34.783832,38.189114,38.512392,26.036346,33.452807,38.214625,33.548358,44.542771,35.424090
13440,25.202998,23.978020,29.434199,27.090127,32.093096,40.970881,26.298677,33.830436,37.937261,33.189340,36.078212,41.539431,26.253520,33.510257,39.570263,33.602087,38.110754,34.555048,26.255970,33.505493,37.095517,33.179944,40.734419,36.727808,26.278470,33.495060,40.525731,33.634372,37.041131,43.672034,26.295611,33.284234,35.425187,33.880368,37.004011,35.825705
14080,25.194707,23.958240,32.152447,31.525377,38.767737,36.075810,26.092590,33.514336,40.146342,33.456752,43.156559,36.383942,26.066149,33.800239,38.973690,33.575257,44.106047,35.294255,26.104523,33.702472,42.936777,33.968073,46.742550,36.211042,26.015257,33.730170,46.882700,33.504296,35.540348,35.203547,25.999969,33.276919,41.551716,33.209896,42.626760,44.548433
14720,25.240309,23.979048,29.580692,27.025775,40.443814,38.489856,26.110274,34.347982,36.897248,33.135075,36.323619,36.080732,26.083318,34.066657,44.645434,33.255165,36.777536,34.598114,26.065434,33.824575,40.055585,33.422373,45.643761,40.873451,26.048158,33.868929,35.959007,34.363492,37.674367,40.614404,26.035570,33.528985,37.064757,33.239387,41.077873,38.714876
15360,25.211259,24.005115,29.984396,26.329783,36.429082,33.292415,26.093041,34.095137,40.336456,35.639640,39.025652,35.488726,26.083997,35.714609,40.470141,33.284592,37.291005,42.156248,26.064360,33.795777,36.233084,33.391912,36.826564,45.983641,25.986863,33.965039,36.638740,34.736654,43.562573,39.394982,26.032608,33.271359,35.560676,33.220675,41.364875,34.809011
16000,25.220465,23.961856,29.388103,27.412851,34.152897,33.887480,26.230581,33.543801,43.915667,33.825479,47.199240,40.573538,26.221470,33.982500,42.352653,33.591652,38.548581,38.210280,26.244035,33.530783,43.637407,33.124387,45.002798,41.074541,26.232619,34.700797,39.764544,33.248365,36.370264,39.299089,26.247420,33.964667,41.723061,33.539241,41.559449,39.262459
16640,25.928671,24.704169,31.620697,28.451808,42.401151,37.166432,26.845000,35.032956,31.628530,40.171015,38.760068,39.932475,26.729199,35.386193,44.303100,35.426432,39.367266,41.589413,26.689095,36.602822,40.033326,40.010901,38.510250,34.566762,26.719757,37.485475,40.880837,36.036633,44.580856,43.089160,26.744475,38.631905,38.935438,35.490852,43.638402,41.769947
