Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,26.250787,28.206985,30.622362,29.613632,29.098442,29.802931,27.513973,29.878396,30.174182,29.794188,30.362118,30.459302,27.451285,29.629569,29.938823,29.714563,29.917831,30.045928,27.088657,29.763458,30.424441,29.597598,30.076147,29.785055,27.214419,29.384997,29.799893,29.654179,30.211789,30.024910,26.973481,29.556431,30.271106,29.665920,29.946105,30.032398
7040,26.150385,27.322769,29.702318,28.802644,29.119450,29.984125,27.755203,29.821350,30.241628,29.721663,30.314110,30.520882,27.435415,29.612287,30.155328,29.773514,30.041887,30.087532,27.300088,29.854887,30.611708,29.750418,30.211115,29.933548,27.166785,29.586673,29.938460,29.714588,30.333417,30.108699,26.988027,29.686165,30.316226,29.791871,30.033429,30.199447
7680,26.084883,27.470847,29.842227,29.024375,29.300869,30.151235,27.656157,29.971413,30.446601,29.965271,30.521060,30.693223,27.519003,29.599913,30.077217,29.977882,29.495525,29.364313,26.841534,29.167233,29.916414,29.035530,29.587356,29.222811,26.366766,28.921077,29.263485,29.313019,29.659169,29.491198,26.452388,28.983115,29.658613,29.560746,29.361009,29.388062
8320,26.055301,27.139677,29.393398,28.398021,28.949757,29.743215,27.641654,29.514052,29.869568,29.466904,29.904255,30.088667,27.082428,29.325752,29.784823,29.507782,29.726356,29.752000,26.887709,29.525387,30.212500,29.405576,29.870358,29.609665,26.873362,29.422731,29.702756,29.529835,29.982582,29.788497,26.955927,29.393049,30.031309,29.470135,29.747780,29.864062
8960,25.906716,27.106735,29.323029,28.387526,28.827792,29.600695,27.353583,29.423925,29.827434,29.455106,29.897988,30.065390,27.046343,29.284362,29.742220,29.393868,29.669444,29.704009,26.641725,29.472370,30.172314,29.347200,29.803108,29.592102,26.840709,29.277238,29.567774,29.469677,29.929719,29.745739,26.877194,29.293723,30.016272,29.426277,29.691110,29.714481
9600,25.700118,26.895075,29.181187,28.353622,28.711157,29.561851,27.441383,29.361308,29.774888,29.303763,29.833707,29.966930,26.971641,29.180182,29.662123,29.303225,29.597665,29.629545,27.192236,29.370903,30.132039,29.242984,29.780143,29.494783,26.666308,29.148148,29.549133,29.362800,29.886433,29.675129,26.743438,29.287620,29.904121,29.331858,29.634850,29.678546
10240,25.743265,26.960301,29.296013,28.360934,28.804291,29.582947,27.332897,29.434469,29.836886,29.389475,29.856939,29.999240,27.150568,29.285882,29.717359,29.436787,29.662646,30.027335,26.620864,29.471148,30.223375,29.341647,29.856508,29.552082,26.676282,29.225625,29.624655,29.469220,29.953125,29.736384,26.801906,29.333525,29.995403,29.428274,29.718278,29.710921
10880,25.592702,26.888636,29.201921,28.280699,28.721802,29.535197,27.357933,29.379946,29.746179,29.290999,29.880510,29.949202,27.041744,29.202579,29.671759,29.380129,29.591331,29.625093,26.482802,29.397716,30.122438,29.282656,29.755346,29.505413,26.538968,29.246236,29.515782,29.358671,29.855228,29.662653,26.661802,29.218757,29.945268,29.312309,29.627572,29.646109
11520,25.593158,26.829781,29.204616,28.352886,28.774177,29.646265,27.103619,29.393240,29.778018,29.325145,29.830353,30.031190,27.027150,29.235185,29.696349,29.407406,29.651405,29.642227,26.523415,29.415426,30.091447,29.299913,29.788179,29.528341,26.496605,29.190228,29.566960,29.389820,29.879163,29.714891,26.662648,29.287360,29.997360,29.363400,30.262689,29.679019
12160,25.842206,27.061260,29.434415,28.475795,28.956777,29.890544,27.650875,29.619845,29.948265,29.530195,30.054853,30.159343,27.123583,29.437998,29.978190,29.636225,29.848311,29.860747,26.786565,29.640890,30.291677,29.481662,29.946820,29.735854,26.738771,29.452821,29.784361,29.634102,30.055523,29.861131,26.850375,29.492302,30.095641,29.547787,29.847552,29.871669
12800,25.906398,27.093699,29.505786,28.560838,29.019315,29.879801,27.171811,29.652615,29.974597,29.571821,30.037998,30.159128,27.211043,29.456481,29.914150,29.644660,29.870572,29.863025,26.733279,29.669487,30.323541,29.520622,29.985289,29.786972,26.760486,29.436999,29.873596,29.617858,30.087129,29.964289,26.860157,29.526916,30.145052,29.580745,29.893281,29.899545
13440,25.751234,27.084560,29.487626,28.647069,28.995277,29.928694,26.930089,29.663364,29.945009,29.581810,30.081976,30.149075,27.352821,29.495408,29.926730,29.637617,29.865509,29.858449,26.794857,29.654326,30.273355,29.527258,29.965708,29.816584,26.646987,29.479256,29.840303,29.669880,30.128905,29.912991,26.838622,29.521640,30.185172,29.601190,29.897917,29.902884
14080,25.868886,27.131509,29.527373,28.579994,29.120946,29.941904,27.377018,29.771365,30.021692,29.607968,30.055197,30.186842,27.091104,29.485486,29.966546,29.717074,29.950879,29.909693,26.748319,29.692091,30.317786,29.586404,30.020682,29.826501,26.744827,29.540205,29.895440,29.717326,30.118171,29.939274,26.818027,29.610159,30.160426,29.619360,29.944384,29.931324
14720,25.928400,27.188389,29.638509,28.780023,29.184436,30.098533,27.362275,29.893711,30.098461,29.708082,30.189155,30.232062,27.221771,29.577326,30.053886,29.826780,29.998075,29.991971,26.982495,29.770518,30.408470,29.638393,30.068071,29.904900,26.797212,29.732860,29.975300,29.875544,30.193832,30.060701,26.934457,29.682760,30.241051,29.751417,30.115777,30.027772
15360,26.029961,27.304686,29.816608,28.796217,29.339263,30.236679,27.753540,29.957812,30.245114,29.816280,30.284398,30.357445,27.599544,29.728402,30.178145,29.939129,30.136822,30.110471,26.997777,29.907369,30.522622,29.744152,30.259645,30.076022,26.942883,29.760782,30.125574,29.940274,30.325854,30.141464,27.030895,29.829046,30.359348,29.867885,30.139154,30.159507
16000,26.270601,27.479133,30.103914,28.966638,29.530659,30.429385,27.322807,30.102307,30.378415,29.989291,30.417969,30.540095,27.410378,29.865967,30.327007,30.097547,30.298166,30.296683,27.095791,30.008213,30.669904,29.893518,30.396733,30.216497,27.143868,29.937071,30.268211,30.139901,30.473869,30.313237,27.081541,29.971683,30.515991,30.026307,30.283451,30.307539
16640,26.491320,27.702389,30.235465,29.123122,29.741084,30.658650,27.603090,30.325339,30.608843,30.223818,30.789752,30.675902,27.502237,30.049938,30.499261,30.300742,30.483271,30.469743,27.589207,30.164199,30.862786,30.064833,30.572596,30.423810,27.421013,30.070622,30.454560,30.279878,30.623908,30.489516,27.339314,30.181132,30.687614,30.220332,30.484226,30.509114
17280,26.532555,27.706187,30.204472,29.077938,29.691068,30.646060,27.762266,30.311088,30.594977,30.164219,30.664164,30.698893,27.424306,30.059626,30.485478,30.251847,30.456542,30.661971,27.444084,30.205760,30.865306,30.179853,30.542245,30.384346,27.345542,30.081596,30.480168,30.274935,30.640777,30.454712,27.365773,30.134396,30.704243,30.192611,30.486447,30.472331
17920,26.440068,27.659946,30.158412,29.076255,29.659182,30.537236,27.563700,30.236949,30.531008,30.134850,30.632786,30.640262,27.644087,30.011543,30.453775,30.291048,30.417626,30.411278,27.674445,30.146197,30.868263,30.036981,30.540897,30.424238,27.309041,30.051233,30.401984,30.242505,30.618690,30.436549,27.287485,30.123640,30.653039,30.177987,30.449902,30.447176
18560,26.483858,27.622060,30.135237,29.025694,29.645882,30.569083,27.889304,30.248042,30.493104,30.125000,30.635321,30.653791,27.327882,29.994238,30.449914,30.236029,30.446784,30.433433,27.617170,30.123209,30.806622,30.024622,30.541160,30.347322,27.297957,30.068447,30.370239,30.211423,30.615553,30.434703,27.419391,30.117727,30.637747,30.140017,30.445646,30.432926
19200,26.353704,27.572218,30.093558,28.980194,29.586894,30.482432,27.803044,30.167751,30.514033,30.057631,30.521976,30.624864,27.467357,29.972868,30.419095,30.199343,30.447187,30.418729,27.349576,30.103936,30.759291,30.004728,30.472349,30.326604,27.211243,29.998662,30.390326,30.144298,30.557132,30.383500,27.192462,30.065309,30.634110,30.933451,30.403743,30.396627
19840,26.240542,27.642633,30.052951,29.034853,29.570280,30.486648,27.845419,30.167637,30.438389,30.204744,30.509077,30.575074,27.389452,29.969328,30.425013,30.153964,30.355251,30.318502,27.456651,30.093560,30.727471,29.957135,30.421993,30.331802,27.151197,29.968566,30.333703,30.149005,30.541953,30.370178,27.140437,30.034989,30.592191,30.067599,30.501940,30.343918
20480,26.389694,27.615899,30.169464,29.115140,29.662955,30.591582,27.680926,30.260349,30.654122,30.139973,30.731802,30.635428,27.459242,30.041675,30.452256,30.239132,30.427967,30.438319,27.665673,30.134448,30.811204,30.031370,30.532439,30.357368,27.247111,30.035616,30.411276,30.268016,30.669453,30.433323,27.227200,30.094186,30.646291,30.161520,30.425751,30.415789
21120,26.310028,27.540628,30.127647,29.194270,29.617759,30.566090,28.124332,30.206708,30.510459,30.102473,30.582923,30.593778,27.331463,29.999876,30.468839,30.448481,30.409951,30.404193,27.107879,30.141298,30.823425,30.007256,30.516071,30.360769,27.162896,30.031108,30.416962,30.222490,30.609286,30.423585,27.194334,30.090949,30.637662,30.106963,30.392138,30.438762
21760,26.241254,27.523289,30.078925,29.003871,29.586117,30.533628,27.298218,30.189319,30.474184,30.095013,30.536046,30.594424,27.207870,29.975686,30.405508,30.215026,30.383835,30.515777,27.217330,30.103353,30.797623,30.110942,30.491961,30.337012,27.140416,30.018172,30.369844,30.189090,30.568985,30.421197,27.129075,30.099069,30.670969,30.078315,30.413276,30.398343
22400,26.263085,27.546841,30.143804,29.129161,29.647583,30.567950,27.867031,30.269402,30.514053,30.107829,30.548326,30.607417,27.326778,30.045532,30.438016,30.279385,30.444843,30.414352,27.129881,30.198873,30.783165,30.032982,30.551080,30.364234,27.179354,30.037700,30.380678,30.262225,30.807887,30.429864,27.141778,30.106997,30.644176,30.184965,30.487526,30.489865
23040,26.264055,27.573212,30.182777,29.121621,29.638133,30.585365,27.708667,30.295283,30.588048,30.134258,30.591286,30.611400,27.368363,30.043899,30.482263,30.214961,30.421311,30.430697,27.210647,30.149335,30.791396,30.017638,30.545892,30.376098,27.167471,30.147223,30.431836,30.274070,30.586927,30.445867,27.136661,30.112247,30.663563,30.132186,30.507306,30.504386
23680,26.264090,27.586952,30.286445,29.133908,29.704852,30.619817,27.385875,30.293313,30.532941,30.146812,30.633527,30.664833,27.417399,30.055906,30.486346,30.291668,30.463121,30.452340,27.246120,30.185713,30.854285,30.100742,30.580386,30.422890,27.196256,30.099767,30.446834,30.273526,30.630366,30.470863,27.163012,30.160211,30.682606,30.193622,30.477756,30.470071
24320,26.423967,27.724618,30.362050,29.226124,29.839649,31.132120,28.248679,30.396150,30.640554,30.265675,30.741277,30.748487,27.477726,30.189314,30.632699,30.377004,30.545726,30.579065,27.368585,30.307554,30.953461,30.170149,30.687867,30.522480,27.351153,30.185339,30.575378,30.374418,30.734394,30.594316,27.276103,30.225895,30.815023,30.269366,30.601381,30.588921
24960,26.529132,27.807448,30.475389,29.279308,29.896959,30.958634,28.637010,30.480784,30.721383,30.359747,30.828954,31.070419,27.472120,30.240543,30.666470,30.475709,30.642299,30.684754,27.458251,30.398960,31.063322,30.229852,30.795149,30.619268,27.412111,30.288606,30.613086,30.476620,30.903611,30.647989,27.351388,30.316100,30.883526,30.353402,30.678527,30.665807
25600,26.484349,27.790076,30.447315,29.296286,29.902139,30.815202,27.689953,30.449158,30.709365,30.374677,30.834764,30.793598,27.545062,30.242325,30.643539,30.424521,30.624365,30.640315,27.679937,30.361670,31.021962,30.203965,30.768424,30.602340,27.426112,30.233359,30.609574,30.483447,30.845904,30.634767,27.312121,30.305034,30.859372,30.328391,30.789933,30.685910
26240,26.402574,27.740699,30.409806,29.217981,29.872261,30.806998,27.540182,30.422273,30.709900,30.346128,30.774188,30.779659,27.691345,30.184760,30.610173,30.437327,30.594047,30.598789,27.332971,30.309537,30.994220,30.200098,30.706746,30.553249,27.759439,30.248849,30.597581,30.401270,30.761050,30.591113,27.279418,30.273642,30.808024,30.310146,30.659194,30.620722
26880,26.391568,27.764700,30.444595,29.327875,29.898043,30.837026,27.553887,30.445624,30.715247,30.341523,30.828657,30.842078,27.419569,30.205997,30.656196,30.456009,30.719756,30.641337,27.503230,30.329346,31.031939,30.201955,30.751194,30.612862,27.407915,30.248991,30.616152,30.555520,30.813826,30.634118,27.372743,30.310712,30.884223,30.312028,30.668681,30.701150
