Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,23.612853,22.268473,26.252505,26.677418,43.948284,36.600574,24.705372,30.105467,44.021421,32.605815,37.490883,48.203719,24.632752,29.736176,38.579363,32.008734,45.708236,45.878421,24.676036,32.236584,39.539470,31.290817,47.022361,41.522855,24.515586,32.275151,43.713730,30.163944,36.055589,49.473883,24.691908,30.625720,45.161976,31.621467,44.931798,38.881384
7040,23.468810,22.258013,30.637922,30.990218,42.180838,42.704385,24.901448,34.236140,46.705726,30.049163,43.037921,47.018018,24.627668,33.625407,41.648225,29.847108,43.778540,45.132345,24.675453,33.380403,42.698754,33.836164,36.490434,47.930179,24.373641,30.029753,41.570617,29.697010,41.889117,47.259767,24.699270,30.072550,41.591042,30.146105,45.172760,34.622735
7680,23.533399,22.309435,25.943242,30.645947,43.485177,39.577812,24.715525,31.687654,39.696110,37.347035,48.720042,36.896554,24.628331,29.987632,40.192838,30.053097,41.738641,42.669311,24.687990,30.119276,46.027597,34.761762,46.908155,40.496332,24.565347,35.649231,45.182724,32.054054,40.760065,48.609288,24.702272,30.349431,41.346739,30.837217,39.261826,44.954045
8320,23.996434,23.057084,30.432662,27.467658,25.196696,39.906126,25.013810,31.822224,41.772457,34.412291,46.811601,46.407274,24.985884,31.834530,40.766213,31.355117,45.668107,43.131909,24.944618,32.836789,52.460863,34.482642,39.506768,48.958672,25.000485,31.373752,47.713150,32.557334,46.005678,35.148773,24.963655,31.631740,31.576303,31.526686,27.844243,38.283589
8960,24.025851,23.062750,25.500144,25.105839,43.312141,42.370264,24.913075,31.391817,45.825097,32.043385,44.205006,46.494325,24.970858,36.853144,44.405853,31.515768,40.253386,43.994006,25.321712,34.736446,30.900940,38.393674,49.432395,41.335309,24.959272,31.422684,36.263065,34.796102,28.193795,46.072992,24.941636,32.661850,38.205554,36.097610,41.386831,42.041008
9600,24.040224,23.064879,28.294626,24.972640,42.788741,36.584412,24.966219,33.234684,31.438823,33.985108,30.242870,46.719344,24.989110,34.117878,39.910145,31.512240,42.946824,40.031616,24.965827,31.343582,50.039447,35.228537,44.469216,41.559958,24.949790,35.969365,34.483697,32.687832,50.829154,49.305963,24.990371,35.029497,44.647568,33.544218,44.699028,45.200106
10240,24.002658,23.079230,26.997992,28.888320,24.749053,34.990546,24.999659,35.396408,38.429037,32.664620,47.144518,37.615804,24.960014,34.565754,46.587804,31.396980,46.003285,50.606496,24.963948,31.783969,34.673298,35.924961,46.303930,46.903180,25.042495,35.230881,48.365919,33.107288,45.949100,48.949521,24.978573,36.342377,41.991523,31.238144,51.308316,51.927115
10880,23.971596,23.062352,31.205989,26.031761,44.505966,35.394962,24.941245,34.798471,43.940107,31.678432,50.133727,51.580325,24.941696,31.661003,44.537392,34.758655,47.428500,40.473126,24.946175,31.432376,49.187790,31.710718,45.665318,47.833380,24.947000,35.026369,51.482107,34.113303,47.610357,41.536902,24.931427,35.712011,46.072064,34.188494,40.619228,48.734723
11520,24.039890,23.104209,26.724404,31.376581,45.291322,41.232851,24.950626,35.107608,50.332608,31.696093,46.861236,38.393950,24.997123,32.709690,44.021610,31.496957,43.578200,44.711029,24.983089,31.422208,49.730415,31.547525,48.161983,37.550029,25.021296,34.799040,41.846752,37.025693,46.700812,42.793653,24.963218,34.454345,44.783474,31.252842,46.932159,39.996738
12160,24.001115,23.066519,30.106231,25.126668,45.403171,32.220365,24.941055,34.720204,51.662538,35.377973,46.788468,45.491207,25.010378,33.145364,42.433377,34.562412,44.030177,48.602757,24.962161,36.573941,43.544402,37.140491,39.687089,51.055558,25.027359,33.607994,40.449360,31.575957,43.001743,37.052938,24.935223,33.926986,53.038639,31.606442,36.222989,33.178613
12800,23.978249,23.071772,27.054301,29.059004,32.565146,34.906171,24.990419,31.456340,45.844690,31.574174,42.445766,50.108351,24.975002,36.380409,41.074025,31.285993,35.471460,43.362355,24.970059,33.705492,43.435572,33.653208,43.701484,47.373972,24.979939,35.316274,53.515817,34.718486,47.802275,41.962391,24.986048,35.951265,41.964727,34.537598,44.396075,50.388859
13440,23.978231,23.058119,26.838143,25.722031,41.212825,43.956975,24.924663,31.390753,47.708397,32.542632,41.213438,46.707995,25.004819,35.274889,37.227913,31.503317,39.284930,44.199126,24.994103,36.230349,49.524993,35.335982,49.864431,49.699047,24.977325,31.529953,41.128773,35.717308,45.338311,32.342485,24.944689,37.599233,46.169283,31.199634,52.636974,39.549587
14080,24.060500,23.033963,30.155799,29.183573,36.995448,49.642669,24.934175,31.339171,51.223473,31.609994,47.055341,48.469224,24.946225,33.254454,46.884777,34.106801,46.250194,48.003129,24.998367,31.806365,38.312724,37.811655,43.805425,49.100334,24.984581,31.416067,46.878887,35.786615,49.521236,47.264512,24.936982,31.363271,40.635509,35.979031,50.544938,51.737785
14720,24.008417,23.044962,28.397589,24.712665,45.398212,38.699272,24.910632,36.008512,46.360001,35.319440,50.841722,45.733270,25.055187,31.316294,48.427470,33.160599,45.485240,42.849756,24.941287,31.328669,47.389582,31.349592,50.299821,42.167457,24.972762,35.233646,46.694693,31.428423,42.898925,49.509411,24.935965,31.284398,46.118146,31.538782,47.299111,42.128467
15360,24.128349,23.136559,26.791556,30.840241,45.391431,45.897924,25.040491,35.505015,42.476360,34.525726,47.486318,40.678920,25.355565,32.112164,47.342773,35.270494,47.503449,47.370208,24.970304,37.560396,49.564159,35.242704,48.357900,47.195682,24.962213,31.404311,48.339693,33.114242,40.615484,49.585878,24.972397,37.036240,43.362776,31.977782,49.403297,46.460329
16000,24.063140,23.111102,29.863526,28.449432,42.121110,46.709669,24.926760,36.122935,43.346325,35.542997,46.216004,47.152701,24.983206,31.451816,40.866316,33.822933,46.155437,48.862154,24.984858,35.898243,48.781357,33.441123,45.148589,46.057830,24.985943,36.063462,50.846333,38.825655,50.678301,42.504403,24.967297,33.111292,45.609581,34.065812,49.178438,42.548252
16640,24.767840,23.515580,34.275434,29.416000,43.585255,49.058839,25.780157,37.998744,46.078191,35.875930,38.193200,43.242402,25.513977,39.246685,42.235475,38.330395,43.033453,52.446317,25.483658,35.782928,33.204874,34.048514,44.307020,54.295457,25.435202,32.761372,39.347880,34.682295,51.006316,28.288520,25.573649,37.965879,54.400883,38.761776,30.813883,50.970157
17280,24.754024,23.507860,34.980589,32.576479,27.494983,47.106791,25.766999,36.444300,31.952444,33.075138,36.646056,52.213002,25.544829,35.654574,47.018282,34.164246,48.802503,42.709944,25.494149,32.884437,53.215412,35.177895,55.395754,48.429245,25.439407,40.319079,43.119433,38.337261,31.859049,51.394674,25.478879,38.155881,30.835171,34.455546,48.537882,50.393148
17920,24.733066,23.483958,28.107006,27.006056,29.525259,31.183339,25.737988,33.144486,52.769291,36.483729,51.551373,42.754858,25.453259,40.854673,51.092210,38.388883,46.581652,57.137417,25.481608,36.737446,45.723771,38.660377,41.344168,30.222528,25.406083,34.920149,45.954707,32.842448,50.452769,50.768826,25.445690,37.784902,52.526449,38.117019,50.067541,33.580180
