Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,1.047500,1.147500,0.213750,0.317500,0.186250,0.286250,1.145000,0.326250,0.300000,0.312500,0.285000,0.298750,1.145000,0.326250,0.300000,0.312500,0.285000,0.298750,1.145000,0.326250,0.300000,0.312500,0.285000,0.298750,1.145000,0.326250,0.300000,0.312500,0.285000,0.298750,1.145000,0.326250,0.300000,0.312500,0.285000,0.298750
7040,1.043182,1.134091,0.207955,0.302273,0.180682,0.271591,1.131818,0.310227,0.284091,0.297727,0.270455,0.282955,1.131818,0.310227,0.284091,0.297727,0.270455,0.282955,1.131818,0.310227,0.284091,0.297727,0.270455,0.282955,1.131818,0.310227,0.284091,0.297727,0.270455,0.282955,1.131818,0.310227,0.284091,0.297727,0.270455,0.282955
7680,1.039583,1.122917,0.204167,0.290625,0.176042,0.259375,1.120833,0.297917,0.270833,0.286458,0.258333,0.269792,1.120833,0.297917,0.270833,0.286458,0.258333,0.269792,1.120833,0.297917,0.270833,0.286458,0.258333,0.269792,1.120833,0.297917,0.270833,0.286458,0.258333,0.269792,1.120833,0.297917,0.270833,0.286458,0.258333,0.269792
8320,1.036538,1.121154,0.200000,0.287500,0.172115,0.256731,1.111538,0.286538,0.259615,0.275962,0.248077,0.258654,1.111538,0.286538,0.259615,0.275962,0.248077,0.258654,1.111538,0.286538,0.259615,0.275962,0.248077,0.258654,1.111538,0.286538,0.259615,0.275962,0.248077,0.258654,1.111538,0.286538,0.259615,0.275962,0.248077,0.258654
8960,1.033929,1.112500,0.197321,0.278571,0.168750,0.247321,1.103571,0.277679,0.250000,0.267857,0.239286,0.249107,1.103571,0.277679,0.250000,0.267857,0.239286,0.249107,1.103571,0.277679,0.250000,0.267857,0.239286,0.249107,1.103571,0.277679,0.250000,0.267857,0.239286,0.249107,1.103571,0.277679,0.250000,0.267857,0.239286,0.249107
9600,1.031667,1.105000,0.194167,0.270000,0.165833,0.239167,1.096667,0.269167,0.241667,0.260000,0.231667,0.240833,1.096667,0.269167,0.241667,0.260000,0.231667,0.240833,1.096667,0.269167,0.241667,0.260000,0.231667,0.240833,1.096667,0.269167,0.241667,0.260000,0.231667,0.240833,1.096667,0.269167,0.241667,0.260000,0.231667,0.240833
10880,1.027941,1.092647,0.189706,0.256618,0.161029,0.225735,1.085294,0.255882,0.227941,0.247794,0.219118,0.227206,1.085294,0.255882,0.227941,0.247794,0.219118,0.227206,1.085294,0.255882,0.227941,0.247794,0.219118,0.227206,1.085294,0.255882,0.227941,0.247794,0.219118,0.227206,1.085294,0.255882,0.227941,0.247794,0.219118,0.227206
11520,1.026389,1.087500,0.188194,0.251389,0.159028,0.220139,1.080556,0.250694,0.222222,0.243056,0.213889,0.221528,1.080556,0.250694,0.222222,0.243056,0.213889,0.221528,1.080556,0.250694,0.222222,0.243056,0.213889,0.221528,1.080556,0.250694,0.222222,0.243056,0.213889,0.221528,1.080556,0.250694,0.222222,0.243056,0.213889,0.221528
12160,1.025000,1.082895,0.186184,0.246053,0.157237,0.215132,1.076316,0.245395,0.217105,0.238158,0.209211,0.216447,1.076316,0.245395,0.217105,0.238158,0.209211,0.216447,1.076316,0.245395,0.217105,0.238158,0.209211,0.216447,1.076316,0.245395,0.217105,0.238158,0.209211,0.216447,1.076316,0.245395,0.217105,0.238158,0.209211,0.216447
12800,1.023750,1.078750,0.185000,0.241875,0.155625,0.210625,1.072500,0.241250,0.212500,0.234375,0.205000,0.211875,1.072500,0.241250,0.212500,0.234375,0.205000,0.211875,1.072500,0.241250,0.212500,0.234375,0.205000,0.211875,1.072500,0.241250,0.212500,0.234375,0.205000,0.211875,1.072500,0.241250,0.212500,0.234375,0.205000,0.211875
