Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,23.421945,22.288328,30.636104,26.138344,32.790205,38.343469,24.490581,32.725186,44.829214,30.190654,44.389347,44.293993,24.730326,30.241507,48.204286,31.767231,39.337985,47.387825,24.783128,35.000577,39.856121,29.895203,45.767589,38.747092,24.743911,30.797609,44.463171,35.312022,44.551368,45.546485,24.650356,35.285093,38.968659,30.339271,46.960139,45.734952
7040,23.489908,22.280570,29.582487,28.809486,39.041139,42.586874,24.585947,30.686100,37.998516,35.147461,43.949157,43.036989,24.716896,31.851928,43.156104,35.255451,43.476983,46.445791,24.690593,30.203715,38.355430,33.500150,44.153684,45.593699,24.687372,30.502618,45.692610,32.810717,47.625668,43.810177,24.613316,34.024733,45.401627,30.595601,43.960580,46.816866
7680,23.419027,22.308367,25.991004,24.434733,41.804105,36.841461,24.752283,33.993403,42.131190,31.114073,36.033145,42.431681,24.703238,31.131058,47.391926,30.241090,44.272711,48.544669,24.697606,30.413718,41.407057,37.437655,46.227643,40.993305,24.742286,34.585434,42.042134,30.785494,37.992148,43.992477,24.636908,32.706314,46.403091,35.729374,37.729699,39.909464
8320,23.982189,23.118113,26.913056,30.073588,44.016173,46.472833,25.100106,34.958912,46.138245,35.246684,43.861771,40.581077,25.005590,32.852864,38.364631,32.265170,39.294902,46.512456,24.989280,34.287065,44.395639,33.653027,45.444673,45.592089,24.974101,31.885163,41.442114,34.919037,26.533777,43.342787,24.975880,34.009773,40.382488,36.883003,46.742882,34.764172
8960,23.945118,23.068621,26.846926,24.995074,41.294895,46.233199,25.050279,32.966895,50.106928,33.882957,35.973242,39.980289,25.014695,35.303630,49.085759,29.989919,42.556912,45.162574,24.976717,31.721419,38.932259,31.472257,32.815885,43.169915,25.012170,37.035491,49.434995,34.248000,38.101841,45.517855,24.999231,32.805400,49.881739,35.465816,48.111089,32.236860
9600,24.002665,23.128638,26.856298,28.222939,38.783089,37.962996,25.072767,34.483219,36.886744,31.456971,43.342191,48.958918,25.153617,35.114608,44.270689,33.750719,51.719408,42.811119,24.978965,31.826393,39.945449,31.642110,48.835224,50.155712,24.986375,33.761986,44.472573,31.489452,43.122353,42.924017,25.029637,31.979782,34.229762,33.088788,50.752787,47.186317
10240,23.977444,23.115659,26.879920,29.050393,39.677547,41.489425,25.198497,34.656805,45.937548,39.011489,40.685117,45.243019,25.248635,37.461417,49.309661,34.398761,47.208282,49.606351,25.260627,32.880764,39.246913,31.573799,44.208749,40.372271,25.249900,32.055456,40.947570,31.821050,43.967758,51.922064,25.238575,33.219902,49.318314,32.079637,49.454166,50.318696
10880,23.965605,23.079497,29.360950,27.019445,38.778876,38.947778,25.116902,31.761389,40.893041,34.182493,49.472172,37.693792,24.969033,31.881780,50.345085,35.908486,52.108680,45.643285,24.961679,31.896147,39.538254,31.439751,49.878176,45.322912,24.983921,31.571456,35.866396,39.067986,49.968830,51.221073,24.963175,31.954741,44.941595,37.523611,32.253074,38.484392
11520,23.976706,23.130223,29.903021,25.124158,40.178592,35.037712,25.151230,34.988835,30.462420,31.355286,44.395187,41.451405,25.016954,32.306148,48.304278,35.925200,40.675148,50.676922,24.954366,36.614443,48.403899,31.553239,51.678234,43.512045,25.007731,32.128357,44.168702,33.906800,34.067483,40.274049,24.999036,33.394568,38.423285,31.648884,43.781609,40.827423
12160,23.984865,23.111364,26.717249,30.532477,46.256591,36.209685,25.060366,35.313878,40.879892,34.935822,51.044446,44.644077,25.050346,31.902296,44.158154,36.954243,45.826643,44.519490,24.983202,31.797052,51.767571,31.511051,46.450976,43.185288,24.961150,31.698867,40.507122,33.300042,50.941361,33.955169,24.998618,34.341146,46.235334,32.741307,41.331558,51.011058
12800,23.974843,23.127665,26.989586,29.900692,45.259874,44.078890,25.070674,37.598537,47.141990,33.709423,40.163546,42.551322,24.975426,34.938083,43.930715,31.615909,48.839479,47.055325,24.965274,38.919188,53.412657,35.713505,44.694732,43.114335,24.993847,34.739339,37.937694,33.827991,36.537231,51.338970,24.978050,36.114987,42.056260,36.189243,44.662099,45.003436
13440,23.962857,23.085321,30.387218,30.635707,42.544723,29.381436,25.085609,31.782217,49.931095,35.889731,46.858666,45.314754,25.007056,32.398374,44.387265,31.635365,37.779003,45.478219,24.971374,31.794336,36.119545,31.568775,43.875034,43.727343,24.997043,34.886409,43.054796,35.456756,51.678723,49.671951,24.987575,32.367096,45.413695,31.804063,40.849901,50.169100
14080,23.953757,23.121216,30.721128,26.082908,37.453470,40.036864,25.064545,31.658857,42.555675,35.146668,47.578850,34.480341,24.955334,31.731316,42.608184,40.674870,50.868660,50.402742,24.962340,36.228781,43.276201,37.434953,51.139923,46.458972,25.008273,37.801142,51.392325,31.493159,39.003536,46.406746,24.987774,31.768687,49.886171,35.047090,47.044832,45.759288
14720,23.968383,23.093431,31.215328,28.683696,44.274007,34.710189,25.058046,34.563983,47.485503,36.014679,44.742458,46.937979,24.953921,35.522899,48.511542,37.233142,48.968773,45.248407,24.950066,34.481772,45.612013,31.541265,51.901225,43.744662,24.973110,36.374268,45.953796,38.504429,39.084413,45.794255,24.990052,32.727671,48.297671,31.844190,48.075593,44.787345
15360,23.972313,23.097087,29.350716,31.308933,40.473077,46.186111,25.063734,31.604569,50.566261,37.851572,52.453106,48.552507,24.987628,32.929843,48.090765,38.052415,44.937007,39.879200,24.974882,39.430035,44.993776,33.663236,38.894609,49.603415,25.027526,36.359855,43.017556,31.478533,42.082026,38.157267,24.990026,31.806473,48.757342,40.065464,33.990224,49.679316
16000,23.957269,23.073587,28.886083,27.158513,35.707375,35.982873,25.228516,33.445338,47.907293,31.299069,49.081805,44.536556,25.236116,36.053812,41.415718,36.367098,46.594537,52.351655,25.304154,31.868783,49.823135,35.519789,39.799569,50.288455,25.671857,33.161709,37.086619,35.669955,45.490024,56.094956,25.232230,37.527347,40.813085,31.804055,52.288318,49.773800
16640,24.503043,23.508827,33.570221,30.144055,50.278373,39.675283,25.769161,33.380512,41.129876,37.601287,54.485747,41.119231,25.498768,37.068480,47.776475,34.323634,27.814250,51.018465,25.507159,32.257139,42.550112,35.276946,48.023204,51.314733,25.485681,33.437211,43.775648,37.494406,36.384502,32.103803,25.488105,33.532894,37.402350,34.108388,49.570321,42.981560
17280,24.493597,23.566828,35.082881,28.301857,49.853009,47.234060,25.706668,34.985679,45.738216,37.158381,44.507967,47.181791,25.515737,35.324338,48.728013,38.862539,44.286981,49.883479,25.569759,36.281879,46.371949,33.136667,36.047736,42.009880,25.495236,37.405020,47.049708,33.143270,43.825831,56.307573,25.494367,33.442362,46.439742,37.770425,46.218968,45.448426
17920,24.585187,23.544141,34.751697,29.307882,47.757615,38.332077,25.763888,38.344771,49.822801,37.715044,47.294419,42.404713,25.504293,33.648778,29.781088,35.600743,54.145305,49.833657,25.511033,37.810014,34.852032,33.576291,54.154012,47.593754,25.580656,33.587667,52.402805,37.218808,42.064051,54.957317,25.476971,36.831318,57.601153,35.182322,45.346055,55.529640
