Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$12$]fixed,byte[$12$]byte,bit[$12$]bit,fixed[$12$]byte,fixed[$12$]bit,byte[$12$]bit,fixed[$14$]fixed,byte[$14$]byte,bit[$14$]bit,fixed[$14$]byte,fixed[$14$]bit,byte[$14$]bit,fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[$18$]fixed,byte[$18$]byte,bit[$18$]bit,fixed[$18$]byte,fixed[$18$]bit,byte[$18$]bit,fixed[$20$]fixed,byte[$20$]byte,bit[$20$]bit,fixed[$20$]byte,fixed[$20$]bit,byte[$20$]bit
6400,25.546903,26.564676,28.537624,27.764231,28.042346,28.794408,26.386154,28.670901,28.929826,28.853946,29.408279,29.140449,26.064885,28.520194,29.285915,28.684963,29.009160,29.161252,26.700343,28.803070,29.304703,28.811578,29.519037,29.124508,26.848236,28.683213,29.178540,28.717885,29.101672,29.407202,26.926235,28.910516,29.414040,28.794456,29.033911,29.028502
7040,25.441791,26.531714,29.009914,27.944869,28.245144,28.997670,26.400052,28.764012,29.020616,28.883582,29.523651,29.290901,26.284776,28.647783,29.458813,28.778955,29.169359,29.268503,26.275982,28.877981,29.396904,28.928088,29.639580,29.118623,26.765631,28.741509,29.413072,28.807757,29.256329,29.558001,26.497086,29.000428,29.501271,28.869345,29.142968,29.215985
7680,25.564610,26.766342,28.943560,28.157042,28.500939,29.277795,26.447548,29.153667,29.230242,29.064414,29.682664,29.452946,26.521275,28.877757,29.649671,29.033052,29.359755,29.462751,26.268166,29.195656,29.597769,29.215570,29.852756,29.309067,26.630465,28.932348,29.561428,29.015063,29.439811,29.770666,26.914176,29.257870,29.683357,29.103594,29.354681,29.372367
8320,26.115427,27.150665,29.421228,28.446619,28.928708,29.728950,26.969923,29.402234,29.650666,29.506677,29.992754,29.777132,26.978214,29.319558,29.978555,29.411437,29.869450,29.850933,26.684014,29.487679,29.973589,29.579681,30.188530,29.661719,27.246736,29.412325,29.886805,29.437113,29.887066,30.131398,27.441460,29.653323,29.991320,29.448643,29.773466,29.725766
8960,26.106387,27.109654,29.308594,28.452456,28.799968,29.639944,26.927561,29.337895,29.548278,29.428284,29.962733,29.750280,26.909112,29.239557,29.947667,29.325384,29.703313,29.816919,26.795381,29.466142,29.907796,29.516724,30.140609,29.648042,27.471399,29.263596,29.873489,29.335106,29.801004,30.109295,27.322789,29.580008,30.024690,29.440310,29.693375,29.797467
9600,25.891945,26.964699,29.306451,28.319691,28.721639,29.543537,26.737046,29.275448,29.498196,29.445466,29.980154,29.691710,26.752320,29.338010,29.931985,29.278779,29.600181,29.781306,26.600362,29.385901,29.841630,29.407862,30.121579,29.577378,27.368998,29.216887,29.787186,29.253292,29.684440,30.035659,27.084303,29.547686,29.987377,29.282131,29.650975,29.674861
10240,25.981200,26.952425,29.283285,28.374297,28.812976,29.607748,26.752523,29.335877,29.609678,29.493982,29.948923,29.851965,26.824090,29.229629,30.047945,29.358274,29.757085,29.796562,26.603949,29.413771,29.910503,29.527161,30.210622,29.683349,27.381691,29.273476,29.881055,29.303040,29.836197,30.069233,27.358915,29.539726,29.936975,29.408161,29.686835,29.755226
10880,25.802882,26.804983,29.176896,28.324355,28.738915,29.971130,26.631959,29.244685,29.512895,29.312042,29.924194,29.689101,26.705147,29.118092,29.903457,29.361338,29.657209,29.741063,26.436082,29.355059,29.811565,29.387143,30.035854,29.604991,26.725728,29.210003,29.820132,29.305011,29.776255,30.021585,26.950584,29.465578,29.914001,29.291761,29.715340,29.615663
11520,25.777801,26.827437,29.238181,28.389292,28.827360,29.651034,26.636067,29.298465,29.629782,29.406513,29.938033,29.746274,26.743256,29.256654,29.954762,29.325185,29.677549,29.746796,26.557982,29.481641,29.841105,29.436089,30.096747,29.684206,26.984591,29.270945,29.857628,29.287208,29.748027,30.077039,27.380671,29.558385,29.895200,29.345792,29.675877,29.668609
12160,26.042747,27.094213,29.475263,28.523699,29.007211,29.926452,26.844600,29.593017,29.803120,29.591184,30.169100,29.876986,26.850574,29.440568,30.080233,29.533707,29.886988,29.953306,26.672201,29.556492,30.024858,29.971556,30.247515,29.940777,27.012740,29.507504,29.988322,29.547227,29.888794,30.210288,27.359346,29.746556,30.119034,29.581914,29.916304,29.823337
