Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16661.300000,14684.300000,12511.200000,12657.400000,11110.700000,11052.900000,11049.400000,11223.900000,11117.500000,10827.100000,12822.400000,11074.200000,10602.300000,10877.600000,10958.500000,11253.800000,9702.400000,11303.300000,11130.800000,12781.500000,11250.100000,16494.300000,14013.700000,10917.100000,9972.800000,11231.500000,9726.900000,11450.900000,9494.000000,11138.200000,9710.000000,10140.700000,9826.400000,9892.600000,9732.400000,9944.000000,10769.100000,9345.600000,9713.400000,9790.800000,10819.800000,9678.300000,10967.700000,9780.200000,9822.500000,9587.700000,11017.500000,9838.600000,9365.700000,10967.100000,9516.900000,11266.500000,9603.300000,9742.800000,11181.300000,9940.000000,9775.400000,9607.200000,9671.400000,9879.700000,40158.900000
1280,7331.900000,6134.000000,5972.650000,5930.900000,5716.200000,5852.650000,5811.500000,6696.300000,5868.150000,6025.450000,7466.250000,7857.550000,7589.300000,6415.200000,7307.600000,5643.150000,8471.900000,7489.700000,6136.150000,5579.000000,5583.800000,5732.100000,5461.600000,5572.900000,5344.750000,5298.250000,5404.450000,5503.750000,5393.100000,5599.750000,5383.700000,7240.550000,5556.750000,5425.600000,6982.750000,5715.700000,5302.400000,5327.900000,5518.550000,6478.750000,7002.150000,5538.500000,5504.850000,5544.350000,5584.350000,5414.850000,5471.450000,5581.750000,5287.700000,5312.600000,6987.850000,5468.200000,6999.150000,5484.850000,4970.300000,5511.300000,5501.900000,7642.950000,6641.700000,6153.900000,30318.450000
1920,4217.233333,4974.366667,3881.400000,3869.833333,3733.233333,3866.233333,3836.733333,3832.166667,3815.666667,3711.133333,3721.466667,3812.833333,3827.733333,3646.633333,3678.766667,3776.833333,3638.133333,3764.233333,3794.566667,3903.133333,3768.733333,3698.800000,3674.766667,3767.700000,3614.866667,3647.566667,3667.033333,3722.066667,4176.466667,3921.466667,3754.200000,3798.766667,3942.000000,3674.633333,3671.066667,3795.633333,3615.400000,3634.033333,3662.866667,3763.100000,5385.533333,5571.733333,4404.600000,4051.800000,3826.466667,3697.666667,3892.166667,4006.433333,3643.566667,3688.166667,3629.733333,3833.133333,3704.900000,3774.166667,3873.633333,3819.766667,3786.100000,3673.066667,3702.433333,3800.066667,30964.400000
2560,3642.275000,2942.275000,2849.875000,2785.950000,2720.975000,2791.550000,2712.350000,2791.775000,2837.100000,2776.775000,2762.075000,2804.575000,2706.550000,2706.525000,2688.650000,2791.700000,2663.475000,2813.375000,2840.150000,2802.925000,2833.675000,3200.200000,2765.800000,3349.275000,3770.650000,3137.675000,3607.525000,2823.025000,2758.675000,2768.925000,2748.800000,2763.200000,2760.375000,2716.225000,2741.550000,2757.825000,2679.275000,2691.750000,2645.425000,2769.575000,2654.075000,2774.750000,2672.350000,2746.375000,2781.625000,2742.350000,2672.625000,2771.825000,2656.125000,2679.150000,3420.650000,2763.000000,2671.675000,2764.150000,2666.850000,2758.125000,2781.250000,2735.625000,2686.550000,4393.275000,30596.525000
3200,3389.520000,3385.440000,2627.160000,2478.380000,2183.700000,3222.380000,2190.000000,3026.340000,2616.840000,2314.000000,2145.840000,2206.560000,2099.760000,2702.020000,2119.880000,2193.980000,2744.980000,2783.840000,2250.100000,2320.140000,2279.120000,2235.980000,2169.940000,2226.040000,2150.160000,2126.360000,2727.960000,2795.460000,2123.160000,2236.600000,2182.100000,2206.720000,2204.860000,2150.420000,2141.020000,2196.660000,2198.280000,2760.780000,2808.540000,2181.220000,2144.400000,2189.440000,2179.780000,2316.100000,2279.120000,2187.340000,2194.940000,2239.600000,2438.740000,2328.720000,3083.280000,2594.120000,2221.240000,2254.580000,2157.460000,2221.300000,2218.420000,2155.380000,2155.080000,2194.720000,30409.380000
3840,2238.550000,1933.316667,1872.283333,1857.616667,1810.666667,1872.533333,1819.816667,1863.516667,1851.666667,1827.266667,1861.266667,1846.866667,1767.300000,1782.416667,1802.933333,1886.050000,1789.600000,1883.916667,1878.433333,2183.250000,1985.700000,1863.033333,1825.366667,2349.933333,1767.083333,1764.600000,1795.000000,2389.716667,1963.900000,2291.383333,2047.200000,2472.283333,1896.150000,1826.766667,1814.766667,1841.883333,1768.733333,1773.550000,1783.700000,1847.166667,1792.466667,1805.616667,1800.400000,1844.683333,1878.983333,1819.183333,1792.466667,1837.533333,1771.833333,1755.933333,1784.000000,1828.983333,1765.700000,1829.466667,1782.600000,1839.566667,1844.300000,1789.666667,1812.350000,1876.283333,29837.316667
4480,1875.600000,1700.271429,1622.200000,1663.371429,1577.371429,1736.100000,1643.700000,1639.557143,1605.400000,2433.928571,1993.942857,1755.300000,1624.542857,1547.642857,1557.757143,1609.671429,1530.128571,1591.042857,1640.428571,1652.571429,1640.057143,1582.928571,1602.242857,2032.385714,1543.457143,1542.028571,1542.400000,1560.271429,1552.800000,1563.885714,1566.428571,1786.214286,1681.000000,1626.300000,1595.442857,2048.842857,1530.428571,1543.685714,1535.657143,1557.728571,1538.142857,1563.757143,1557.842857,1587.028571,1578.657143,1555.628571,1562.085714,1623.657143,1698.342857,2538.714286,1838.028571,1678.414286,1531.885714,1567.685714,1596.200000,1589.985714,2011.600000,1543.571429,1553.628571,1580.157143,30126.228571
5120,1628.375000,1523.525000,1407.450000,1407.600000,1572.687500,1400.537500,2120.662500,1411.037500,1397.525000,1374.012500,1384.800000,1418.600000,1337.362500,1359.562500,1380.312500,1377.225000,1349.100000,1369.625000,1401.962500,1405.337500,1398.600000,1371.200000,1374.650000,1425.162500,1351.450000,1350.712500,1866.462500,2011.812500,1490.162500,1404.137500,1370.562500,1405.575000,1386.575000,1364.287500,1363.562500,1385.825000,1337.237500,1337.912500,1344.225000,1432.700000,1729.225000,2164.175000,1355.775000,1387.537500,1398.125000,1357.875000,1356.037500,1429.425000,1375.237500,1710.275000,1366.300000,1780.025000,1357.437500,1370.437500,1738.887500,1375.137500,1405.450000,1368.137500,1354.012500,1771.212500,29772.162500
5760,1375.766667,1294.511111,1255.944444,1905.877778,1494.300000,1465.777778,1747.144444,1704.900000,1484.600000,1305.544444,1245.655556,1252.600000,1207.388889,1201.588889,1208.255556,1236.477778,1201.000000,1579.566667,1283.555556,1261.833333,1256.000000,1252.311111,1227.233333,1242.977778,1192.955556,1200.266667,1218.855556,1241.011111,1198.511111,1241.277778,1577.622222,1247.700000,1243.244444,1212.188889,1223.555556,1239.488889,1184.277778,1193.888889,1193.744444,1226.933333,1193.777778,1227.611111,1316.144444,1561.355556,1404.455556,1270.788889,1234.333333,1238.500000,1188.633333,1201.933333,1192.311111,1226.511111,1545.411111,1669.911111,1218.755556,1412.677778,1244.744444,1668.344444,1250.455556,1256.811111,30024.922222
6400,1380.690000,1181.880000,1134.940000,1126.640000,1094.140000,1118.810000,1130.820000,1159.890000,1141.010000,1106.810000,1110.070000,1125.650000,1076.090000,1072.970000,1085.610000,1119.490000,1091.860000,1103.210000,1126.350000,2016.060000,1403.030000,1495.780000,1294.580000,1155.690000,1090.250000,1087.560000,1075.710000,1118.170000,1122.180000,1129.800000,1095.930000,1117.690000,1129.170000,1089.510000,1083.570000,1117.700000,1079.970000,1114.110000,1074.990000,1138.310000,1104.340000,1263.420000,1100.620000,1118.060000,1157.010000,1095.650000,1086.690000,1120.560000,1066.180000,1241.610000,1099.450000,1108.520000,1259.910000,1089.650000,1081.060000,1276.740000,1234.510000,1436.890000,1244.720000,1170.130000,29706.870000
