Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16.100899,16.087226,16.033350,16.048033,16.453658,16.242874,17.744606,17.507305,18.209638,17.647336,17.649420,17.471276,16.268730,16.220675,16.238770,16.220333,16.456607,16.459206,17.991804,17.985457,18.783086,17.980195,18.973659,18.667655,16.359144,16.245606,16.366941,16.265637,16.457504,16.460200,17.896111,17.798807,18.885832,17.789236,18.669951,18.896408,16.362297,16.240090,16.365856,16.266245,16.458276,16.460911,17.931126,17.804835,19.043613,17.810418,18.705072,19.006395,16.372619,16.271392,16.380817,16.279634,16.435706,16.522861,17.911683,17.801957,18.813681,17.797618,18.705144,18.985548,31.014465
1280,16.063753,16.098537,16.040757,16.039981,16.473315,16.249449,17.729833,17.506014,18.195768,17.747987,17.657732,17.510424,16.230779,16.239644,16.244279,16.755599,16.466415,16.445344,18.068854,17.990185,18.734700,17.972202,18.850943,18.677062,16.375394,16.259376,16.359731,16.250547,16.440866,16.441914,17.886732,17.772533,19.002361,17.809435,18.773508,19.160925,16.367286,16.230364,16.368800,16.270549,16.445481,16.454623,17.887169,17.793586,19.009933,17.792087,18.802330,19.044028,16.374263,16.235046,16.366708,16.270840,16.445934,16.449551,17.874119,17.786642,19.058297,17.788041,18.759220,18.821921,32.864137
1920,16.072997,16.083625,16.027197,16.035679,16.574924,16.240875,17.714484,17.500698,18.184020,17.768497,17.663379,17.502612,16.223426,16.219536,16.227300,16.228728,16.448007,16.461938,17.979903,17.969640,18.757527,17.990955,18.801137,18.738414,16.353084,16.238547,16.371638,16.256032,16.460720,16.444331,17.865210,17.788963,18.944320,17.832285,18.790756,18.900790,16.362130,16.255431,16.370648,16.429155,16.464348,16.458985,17.883024,17.788827,19.135540,17.830071,18.778698,18.831600,16.406658,16.241250,16.367410,16.253094,16.461120,16.452968,17.873039,17.789490,19.013386,17.797265,18.799822,18.922779,33.347671
2560,16.060041,16.079619,16.049562,16.036001,16.438340,16.250312,17.735215,17.502210,18.269489,17.780731,17.661192,17.592322,16.229895,16.234467,16.245224,16.216588,16.528523,16.476711,18.011558,17.980054,18.726637,17.977928,18.817008,18.757605,16.367396,16.254330,16.378039,16.264396,16.451796,16.465831,17.894607,17.812684,19.136012,17.786422,18.772826,18.802702,16.353513,16.242938,16.373501,16.263162,16.445572,16.472848,17.902360,17.818880,18.869322,17.819542,18.821263,18.995985,16.360302,16.233865,16.387849,16.268256,16.449793,16.449965,17.877058,17.798060,19.208097,17.811205,19.301423,19.514772,33.977175
3200,16.893228,16.063230,16.028004,16.034547,16.445023,16.236791,17.857803,17.484053,18.179937,17.629522,17.644672,17.490969,16.237593,16.231983,16.233567,16.207880,16.452890,16.456759,17.994467,17.958887,18.710997,17.982812,18.746501,18.740099,16.368941,16.227723,16.366841,16.257248,16.457125,16.445100,17.875352,17.807730,19.339629,17.740775,18.800993,19.069178,16.356055,16.230606,16.360591,16.294041,16.429923,16.495564,17.928895,17.790276,18.881677,17.820333,18.766527,19.045276,16.364105,16.254026,16.358383,16.253585,16.459218,16.456733,17.872935,17.782796,19.158406,17.816229,18.816244,18.821432,34.606750
3840,16.060417,16.069996,16.038836,16.059588,16.476382,16.243265,17.739275,17.504679,18.198208,17.722242,17.665220,17.510975,16.229406,16.248749,16.238784,16.235817,16.467987,16.468665,17.989191,17.988170,18.715749,17.985217,18.867771,18.748486,16.360057,16.256084,16.375839,16.280195,16.591441,16.456909,17.881673,17.794140,18.973275,17.806974,18.763934,19.046670,16.355553,16.284432,16.369282,16.262829,16.442688,16.456456,17.878348,17.793468,19.130542,17.790716,18.784814,18.893067,16.367953,16.255206,16.377115,16.276885,16.475876,16.450515,17.887664,17.809346,18.879025,17.795456,18.795030,19.023144,35.601369
4480,17.242858,17.099732,17.108846,17.245043,17.507389,17.467577,18.687156,18.527588,19.476147,18.645757,18.701066,18.511283,17.322271,17.229192,17.282473,17.480828,17.576138,17.510822,19.057329,19.010049,19.763828,18.909128,19.570804,19.744124,17.433934,17.323561,17.517807,17.389368,17.414590,17.497374,18.894215,18.853373,19.686324,18.888888,19.721142,20.315192,17.449213,17.320536,17.447166,17.310398,17.420489,17.449417,18.860389,18.911103,19.768262,18.985579,19.657369,19.819352,17.433851,17.312639,17.429741,17.441077,17.509390,17.534366,18.891077,18.803394,19.611547,18.910945,19.834807,19.715508,36.365756
5120,18.691858,18.434774,18.615345,18.736253,18.974651,19.190753,20.075587,19.946474,20.548437,20.048070,20.145425,19.973899,18.771971,18.685171,18.744692,18.929234,19.014943,18.964511,20.445604,20.391019,20.966955,20.234630,20.859146,21.009699,18.874628,18.832491,18.938801,18.901796,18.846010,18.932877,20.271799,20.271708,20.909267,20.320242,21.508923,21.932228,18.964800,18.777351,18.944312,18.785665,18.796579,18.879319,20.253447,20.226386,20.935920,20.230201,20.832285,21.054392,18.867412,18.727684,18.976532,18.866733,18.946570,18.983873,20.215655,20.234482,20.711604,20.369186,21.174518,20.934990,37.237938
5760,19.875468,19.566899,20.176395,19.963228,20.275670,20.540366,21.146014,21.102059,21.653993,21.279589,21.442080,21.246493,20.061400,19.810503,19.946401,20.127050,20.244661,20.183090,21.523627,21.549156,22.013189,21.333891,21.806805,21.960389,20.121717,20.063796,20.207344,20.151898,20.039977,20.195151,21.469475,21.399026,21.883217,21.461423,22.667482,22.857650,20.203970,19.989013,20.201119,20.028073,20.049471,20.128587,21.488285,21.461094,21.897252,21.387811,21.781748,22.004351,20.101089,19.966463,20.245156,20.116580,20.141692,20.148996,21.325338,21.406119,21.714422,21.620826,22.175760,21.916278,38.248157
6400,20.853253,20.520136,20.961017,21.034597,21.216995,21.557128,22.115239,22.070434,22.590721,22.252207,22.601520,22.323915,21.051000,20.712975,20.933816,21.151934,21.274219,21.216491,22.647969,22.470455,22.894500,22.262301,22.798232,22.797331,21.168190,21.039671,21.230262,21.196976,21.045428,21.166724,22.428086,22.338287,22.674944,22.391068,23.379784,23.371030,21.218973,21.047625,21.211423,21.057787,21.061839,21.156827,22.336525,22.467702,22.725061,22.276520,22.790925,22.926699,21.088189,21.031952,21.239621,21.154720,21.119480,21.060890,22.212168,22.422607,22.640268,22.538303,22.906889,22.738692,38.847193
