Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,37.051701,35.765769,37.121166,36.775721,38.497275,37.474508,37.123227,40.491986,42.221000,40.539120,42.126522,42.161282,31.548104,32.230238,32.715171,33.555064,34.658298,33.814024,33.542984,35.773512,37.277700,36.233049,36.597089,36.916351,31.141978,31.408509,31.144699,32.917173,32.545886,32.855349,33.185327,34.683651,35.342527,34.479637,35.404987,35.318909,30.882233,31.795043,31.217443,32.872774,31.924742,32.501517,33.103276,34.674636,35.136909,34.417283,34.830792,35.030786,31.016054,31.705181,31.146259,33.469411,31.508365,32.802596,33.038053,34.447762,35.083952,34.384973,35.019541,35.255636,240.996685
1280,41.441160,40.221681,42.026706,41.661877,44.098929,42.598157,41.456216,45.671884,47.863617,46.052017,47.739856,47.788567,35.415496,36.229060,36.288150,37.203594,38.317106,37.472319,37.120714,39.222719,40.537962,39.607121,40.377869,40.555907,34.536608,34.484045,35.686611,36.047111,37.266044,35.914552,36.858625,39.194015,39.977311,39.225703,40.130349,39.853391,34.012895,35.474269,34.333239,36.335140,35.329029,36.081496,36.860085,38.342056,38.805386,37.940502,38.452255,38.367291,34.272230,35.284076,34.359029,36.964907,34.796972,36.008104,36.785530,37.969930,38.897355,37.963632,38.766040,38.993596,254.898208
1920,44.566682,43.204896,45.199765,44.984509,47.641662,46.018629,44.511854,48.882211,51.208630,48.967636,51.234280,51.213856,38.581625,39.503975,40.446659,40.755640,42.931155,40.950049,40.862895,43.385481,45.354512,43.647103,45.156066,45.363116,37.601294,37.714734,38.474834,38.885834,40.310900,38.516179,39.549814,42.074396,42.936910,41.994127,43.111750,42.810232,37.158374,38.388633,37.520218,39.370568,38.886945,39.177488,39.897193,41.409030,41.857129,40.968920,41.307395,41.369038,37.480318,38.441957,37.525438,40.160604,37.767108,39.149094,39.880519,40.852290,41.973743,41.092161,41.910493,42.108478,264.656313
2560,47.095410,44.987519,47.461920,46.598236,49.840226,47.811616,46.888826,51.137610,53.780008,51.222767,53.641113,53.619576,39.314448,40.246845,41.060031,41.597969,43.483082,41.554571,41.583218,44.151789,46.012526,45.903260,45.785596,46.438444,38.405324,38.845283,39.453224,39.928329,41.042739,39.784237,40.349671,42.859227,43.802824,44.133906,44.056541,43.622628,39.199775,40.219475,40.145830,40.710040,41.667192,40.880668,41.466409,43.315899,44.915264,44.430378,44.441699,44.737437,40.950899,41.714203,41.081709,43.449506,41.188683,42.618985,43.177291,44.176725,45.336317,44.526197,45.563214,46.316273,270.544158
3200,50.311374,46.298951,49.477331,48.394908,51.887227,49.529114,48.709752,53.172418,55.254338,53.012187,55.321137,55.279714,40.747364,41.678566,42.638289,43.171487,45.020580,43.635169,42.854816,45.682115,47.605809,46.231286,47.370071,47.689793,40.153945,40.619780,41.674460,41.783416,43.971883,41.735930,42.422498,45.302711,46.695040,45.313134,47.020965,46.661513,40.649686,41.924200,41.688785,42.103808,43.024577,42.230615,42.982663,44.706837,46.557195,45.018905,45.765307,46.202142,44.134165,44.731271,44.211787,46.362674,44.333858,45.511550,45.978822,47.033436,48.245338,47.100686,48.088938,48.022230,278.710230
3840,50.825263,48.003382,51.488531,50.420642,53.720016,51.396835,50.242588,55.267826,57.054605,55.265503,57.003965,57.049498,42.501740,43.586358,45.237299,45.292860,48.224590,45.898843,45.211489,48.767936,50.916298,48.797728,50.833510,50.945715,41.642111,42.277962,43.285829,43.543397,45.859793,43.446590,44.051893,47.067257,48.352450,46.943745,48.654539,48.386692,42.631233,43.337888,43.479468,43.713628,45.057406,44.074154,44.823405,46.723561,48.799202,47.024073,47.847215,48.016555,47.254519,47.893539,47.452933,49.630723,47.612310,48.810794,49.024522,50.183842,51.269088,50.259272,51.146521,51.030842,287.788030
4480,52.882534,49.738595,53.979821,51.560281,56.187206,53.715953,52.709316,56.935523,59.631098,56.936438,59.359970,59.279635,42.719534,43.783072,45.293440,45.534243,48.253470,45.981435,45.407276,48.782075,51.009660,48.950028,50.880311,50.977080,41.877235,42.479140,43.463622,43.848298,45.579194,43.720444,44.326329,47.285509,48.674414,47.367996,48.943185,48.640024,42.825911,43.642229,43.709092,44.554942,45.180984,44.721169,44.887712,46.852192,49.076875,47.293679,47.903191,48.203743,48.773148,48.397784,49.490613,49.739538,50.091410,49.842149,51.065203,52.175071,53.439684,52.170560,53.452496,53.419073,294.963371
5120,53.342740,51.179569,54.875628,52.389671,56.899093,53.842499,53.450917,57.737182,60.318021,57.581541,60.236330,60.128229,43.173713,44.307514,45.761804,45.974497,48.570025,46.513178,46.050805,49.277808,51.599632,49.472509,51.411924,51.654685,42.530575,43.136024,44.006806,44.414112,46.198445,44.234025,44.850787,47.962441,49.378303,47.857971,49.662846,49.400083,43.145874,44.070039,44.034041,44.913435,45.571215,45.079273,45.267403,47.346308,49.340525,47.693580,48.420499,48.682231,47.884243,48.297735,48.972785,49.423969,49.669386,49.508883,50.738461,51.881279,53.148072,51.854783,53.247558,53.273141,302.206124
5760,54.177074,51.800609,55.220950,53.245377,57.416198,54.058089,54.294425,58.223834,60.987480,58.070217,60.970502,60.819926,43.776933,45.074883,46.552133,46.616684,49.588583,47.363268,46.774903,50.306451,52.843490,50.408309,52.610787,52.799560,43.267764,43.981548,44.733858,45.240809,47.022686,45.174345,45.643053,48.866501,50.434576,48.773706,50.770311,50.461224,44.016581,44.910818,44.983597,45.855461,46.371592,46.078519,47.023923,48.835449,50.622324,49.318371,49.778939,49.992009,48.024542,48.385124,49.207115,49.719294,49.852789,49.731297,51.479910,52.565062,53.914350,52.519097,54.230548,54.060202,313.057569
6400,55.208431,52.634920,56.237990,54.295452,58.659657,55.212192,54.714906,59.374186,62.273698,59.262397,62.264733,62.084111,44.524398,45.938536,47.300455,47.513912,50.223307,48.192368,47.961126,50.824436,53.391260,51.180880,53.081617,53.277555,43.823153,44.490748,45.502491,46.033781,47.581734,46.169909,46.216614,49.388566,51.155692,49.474314,51.373471,51.097750,45.109491,45.990218,46.901608,47.179324,48.797213,47.672570,47.689733,50.389337,52.723719,51.288805,51.695975,52.066268,49.337705,49.848885,50.359661,51.056396,51.212697,50.840510,52.592378,53.372665,54.870400,53.484339,55.005655,54.978145,331.526574
12800,60.506984,58.280321,62.415222,60.535225,66.410778,62.604470,60.479420,66.103965,69.890482,66.015874,70.175890,69.907151,48.287986,50.102418,52.329870,52.320890,55.862200,53.257129,51.881503,55.900228,59.086690,56.158448,58.502918,58.985303,47.867296,48.800922,50.316192,50.475775,53.035795,50.955068,50.681782,54.594359,56.687396,54.590090,57.143836,56.633030,48.732782,50.115850,50.381012,51.253953,52.709376,51.794246,51.377074,54.225000,56.756303,54.884403,55.785574,55.767452,54.918670,55.020194,56.505011,56.159499,57.638647,57.050248,57.544918,60.085706,61.552477,60.136475,61.418601,61.450096,420.660246
