Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,24.764642,26.341824,27.327754,27.761610,28.180199,27.971552,28.255330,30.282711,30.250534,31.189968,30.890484,30.357246,20.365921,21.657423,21.834369,24.763954,24.412916,24.697110,24.273976,25.167302,26.637433,26.132610,27.359770,26.407830,17.506703,18.472424,18.381873,19.909514,19.443820,20.091157,21.597613,21.628285,22.471922,22.813813,23.771611,22.312657,17.291534,18.455730,18.290533,19.923716,19.464303,20.194768,21.533042,21.624067,22.560606,22.807965,23.833069,22.362317,17.328207,18.445749,18.358943,19.925476,19.177823,20.163469,21.550431,21.653104,22.366449,22.831196,23.850606,22.105073,58.671704
1280,25.929002,27.635981,28.433681,29.187260,29.653006,29.462225,29.080483,31.455204,31.378909,32.491626,32.437762,31.492361,22.026960,23.023339,22.837089,24.364664,23.747851,24.204213,26.115836,26.793258,27.493940,27.581904,28.481448,27.353712,21.066262,22.064020,22.478840,24.867991,24.764895,25.061366,23.977314,25.708588,27.005476,26.710086,27.877164,26.859455,17.230352,18.598974,18.324890,20.040252,19.575574,20.293144,21.527490,21.687985,22.635984,22.904543,23.865357,22.345893,17.315085,18.574732,18.449554,20.020029,19.333663,20.230438,21.645551,21.723986,22.389902,22.882352,23.789243,22.135063,59.188431
1920,25.815139,27.513521,28.333010,28.889697,29.439382,29.079646,29.064105,31.295811,31.187147,32.228984,31.902277,31.328932,22.930562,24.712106,24.804531,26.634565,26.264945,26.334681,27.142829,28.295869,29.471347,29.144695,30.028360,29.196086,23.406438,24.221798,24.349370,25.195135,25.069610,25.353312,26.549027,27.010008,27.866384,28.092401,28.826938,27.776243,17.278658,18.463576,18.300154,20.215725,19.562727,20.269870,21.506576,21.676165,22.639760,22.854260,23.858787,22.347392,17.292922,18.498123,18.391187,20.001561,19.332915,20.276524,21.641143,21.702887,22.386760,22.870969,23.684028,22.257459,58.055185
2560,26.912194,28.623518,29.444960,30.015903,30.666856,30.582963,29.920892,32.164503,32.224938,33.261248,33.034154,32.271512,22.737368,24.236417,24.422322,26.455117,25.931838,26.134596,26.878354,27.849421,28.978346,28.691060,29.736047,28.823754,22.215339,23.129810,22.955030,23.970810,23.690116,24.142245,25.641046,26.607354,27.360350,27.755255,28.369039,27.207261,21.369759,22.283780,22.561387,25.110647,24.748371,25.237634,25.346229,25.936894,27.226144,26.732606,27.921771,26.999716,17.321281,18.476824,18.367582,20.050951,19.327555,20.181530,21.634598,21.667438,22.386098,22.825469,24.080339,22.800242,57.932999
3200,26.830866,28.557741,29.342560,29.900430,30.536258,30.455921,29.848924,32.098709,32.133267,33.194921,32.889083,32.132991,23.932982,24.877605,25.068556,26.985321,26.375170,26.677569,27.957456,28.283500,29.197043,28.950949,29.856875,29.068850,22.687222,24.241449,24.596187,25.896426,25.921608,26.099761,25.118466,27.374874,28.569264,27.997986,29.028172,28.279320,22.900557,23.562818,23.778938,25.568132,25.444442,25.707177,26.850480,27.026552,27.995000,27.791378,28.739534,27.956110,17.291789,18.437970,18.341374,20.060703,19.321605,20.282657,21.586870,21.650703,22.361152,22.793027,23.570593,22.249265,57.964726
3840,26.773280,28.420404,29.200253,30.209577,30.422788,30.794561,29.742436,32.069668,32.071669,33.127865,32.824641,32.133164,25.136851,26.926730,26.916831,28.720486,28.215724,28.614471,28.621791,30.157678,31.045454,30.667593,31.566455,30.555967,23.592321,24.800508,25.269613,26.308482,26.401769,26.513026,26.694846,28.532121,29.500984,29.211766,30.029597,29.339167,22.958049,24.195422,24.190337,25.174010,25.076452,25.363056,26.938432,27.250913,28.054649,27.931453,28.811565,27.793144,17.293590,18.292866,18.231112,20.078592,19.335634,20.233609,21.608782,21.622217,22.365734,22.784414,23.571580,22.251584,57.972505
4480,27.768772,29.419550,30.330355,30.976767,31.708365,31.521535,30.615323,32.288366,32.969183,33.492869,33.699103,32.995020,25.566645,27.173471,27.172381,28.646201,28.281833,28.480499,29.286257,30.653547,31.340263,31.132861,31.990999,30.838487,24.477321,25.261417,25.709498,26.735150,26.803858,26.941555,27.506184,28.826930,29.680106,29.525962,30.251985,29.589705,22.497216,23.615897,23.434599,24.527060,24.344920,24.730559,26.358693,27.062335,27.783935,27.784333,28.582980,27.625384,19.613217,21.709606,21.945149,24.273578,23.522167,24.561109,22.883990,24.695744,26.189788,25.627737,26.649399,25.771197,59.174546
5120,27.583982,29.355943,30.269608,30.801408,31.614503,31.562668,30.489223,32.325140,32.951040,33.572667,33.718625,32.899859,25.163990,26.811398,26.875268,28.487150,28.022381,28.264509,29.024008,30.275029,31.197609,30.935383,31.809847,30.699830,23.049173,24.452439,24.698647,26.024120,25.991567,26.126586,26.160464,27.961674,28.923118,28.611821,29.495163,28.813838,21.778257,22.990044,22.736346,23.783669,23.717151,24.155086,25.740460,26.784264,27.449479,27.519946,28.307370,27.197765,21.381652,22.447543,22.841666,25.139437,24.245611,25.290642,24.950691,26.033035,27.242508,26.864376,27.766799,26.881912,57.907649
5760,27.715962,29.331346,31.264774,30.970267,31.824288,32.460334,30.537891,33.032893,33.043082,34.132566,33.946629,33.162561,24.748098,26.987855,26.566147,28.255700,27.764241,28.035659,28.468894,29.858631,30.792587,30.505117,31.289338,30.247971,23.806371,24.506434,25.235985,26.351135,26.824787,27.002587,26.869365,28.393257,29.434522,29.095092,30.123244,29.379646,21.333971,22.436218,22.366110,23.669572,23.342383,23.957296,25.282929,26.731672,27.344982,27.557059,28.292732,27.064747,22.541455,23.423711,23.814219,26.014190,25.297727,26.105545,26.234367,27.136325,28.114065,27.931885,28.967295,27.813571,57.917804
6400,27.471742,29.216250,30.136704,30.720822,31.450970,31.494252,30.386501,32.275853,32.864910,33.474605,33.645820,32.812073,25.005055,26.643373,26.721399,28.251311,27.873279,27.979744,28.878738,30.146433,31.008424,30.767744,31.673653,30.539764,24.293988,24.928524,25.393320,26.512183,26.448627,26.613717,27.344676,28.287442,29.122655,29.011165,29.797822,29.095472,22.036705,24.202616,24.343629,25.911809,25.794080,25.956281,25.884430,27.339031,28.715282,28.108354,29.349499,28.367660,22.894133,23.619933,23.984556,25.557788,25.199015,25.641778,26.509003,27.101484,27.988686,27.745411,28.595304,27.619968,57.946145
12800,28.223975,29.936329,30.937692,31.575969,32.367156,32.271753,30.955620,32.618672,33.153005,34.021669,34.152913,33.244680,26.093987,27.846189,27.782746,29.614312,29.116642,29.296847,29.634312,31.381995,32.125811,31.878584,32.705913,31.638004,25.644534,26.653450,27.021919,27.912265,28.363929,28.132773,28.111344,30.063018,30.905165,30.948553,31.683404,30.795266,23.949722,24.865911,25.192039,26.435617,26.453117,26.613659,27.972452,28.437714,29.235196,29.007676,29.857829,28.989121,22.101718,24.039917,24.715063,25.978140,25.999250,25.963070,25.414462,27.239404,28.662736,28.213019,29.012639,28.259387,57.937246
19200,28.955801,30.736250,31.738884,33.370464,33.141718,33.104116,31.795374,33.141112,33.496042,34.575081,34.675873,33.818129,27.236799,28.908574,28.947303,30.925476,30.438609,30.453065,30.687313,32.611312,33.187215,32.910981,33.626737,32.533995,26.889909,28.107298,28.344723,29.350875,29.454715,29.497256,29.233999,31.551509,32.436367,32.533680,33.231229,32.268498,24.914764,26.758874,26.820846,28.118757,27.902263,28.106408,28.764089,30.320450,31.135723,30.727546,31.615732,30.827729,24.314279,25.493766,25.872318,26.782776,26.756023,26.781396,27.995174,28.924199,29.864887,29.534626,30.226722,29.480020,62.209027
25600,28.842638,30.548956,31.574119,32.348542,33.297186,33.045377,31.483771,33.050688,33.450165,34.481373,34.611142,33.792520,27.008587,28.689552,28.704871,30.675309,30.261770,30.369957,30.372881,32.385603,33.083292,32.698746,33.510548,32.480801,26.484683,27.765835,28.074872,29.164084,29.225237,29.313516,28.846848,31.155048,32.114031,32.117033,33.152706,32.033198,25.006390,26.658445,26.745040,27.912800,27.822280,27.917583,28.946459,30.324463,31.052773,30.757662,31.615912,30.767900,23.940954,24.976832,25.395551,26.504153,26.334231,26.480441,27.558864,28.359101,29.426231,29.006302,29.740801,29.016983,64.414730
32000,29.142776,30.446108,31.413820,32.111366,32.943463,32.748588,31.703646,32.998495,33.368339,34.353325,34.486936,33.633160,26.970775,28.586435,28.662736,30.477748,30.051539,30.108371,30.368751,32.328684,32.955972,32.778597,33.420817,32.388761,27.443315,28.873697,29.108179,30.544271,30.570135,30.633807,29.544562,32.344644,33.139266,33.187521,34.031466,32.664919,25.980962,27.943651,27.818610,29.354226,29.439007,29.590128,29.846386,31.836331,32.369192,32.168647,32.867348,32.017118,25.077447,26.937606,27.305468,28.278494,28.465812,28.133967,28.359059,30.445069,31.133405,31.099671,31.700934,31.014303,64.039017
38400,29.402801,31.095531,32.244987,33.253166,33.892667,33.919469,32.059217,33.784425,34.182813,35.080559,35.262544,34.482505,27.825734,29.580474,29.652238,31.749241,31.384528,31.281126,31.229084,33.038201,33.483745,33.471686,34.197056,32.761218,27.666815,28.932364,29.253368,30.408039,30.459510,30.399273,29.862512,32.386968,33.304704,33.274329,34.015426,32.689036,26.428863,28.067792,28.004897,29.284923,29.435965,29.460762,30.242992,31.924298,32.401631,32.192347,32.950336,32.194060,24.998462,26.625569,27.094609,27.949711,28.194619,27.825777,28.198738,30.296926,31.076483,30.927606,31.566050,30.784578,65.790246
