Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,32449.600000,20259.700000,16174.400000,18945.900000,18388.300000,18785.200000,18489.200000,18790.300000,18727.000000,16385.700000,21640.600000,17372.100000,16593.000000,16922.700000,24531.400000,13010.600000,10474.300000,11044.100000,11154.500000,13913.100000,10840.000000,10660.800000,10656.300000,10842.100000,10482.200000,10494.600000,10514.200000,10770.500000,10399.900000,10751.000000,10589.800000,13813.100000,10910.100000,12284.800000,12201.400000,15004.000000,12633.700000,11929.700000,11431.800000,11392.400000,10720.500000,11075.900000,10922.500000,11262.100000,11594.900000,10847.900000,10959.000000,11186.800000,10733.100000,10755.600000,10729.600000,11056.700000,10708.500000,11015.600000,11650.400000,13259.700000,11811.700000,10912.300000,10809.400000,11164.900000,40158.900000
1280,7456.600000,7840.100000,5539.950000,5500.650000,5335.600000,6932.050000,6886.700000,7448.950000,5538.000000,5351.100000,6173.200000,6909.550000,5223.850000,5262.750000,5235.900000,5378.450000,5239.550000,6813.700000,5447.900000,5432.450000,5408.300000,8260.300000,8309.300000,6802.650000,6096.700000,5922.800000,5659.250000,6424.050000,7408.150000,5531.250000,6263.100000,5478.400000,5429.750000,5311.200000,5313.200000,5391.900000,5226.550000,5273.550000,5282.700000,7280.550000,5299.150000,5312.450000,5248.000000,5410.100000,5487.600000,5358.200000,5404.700000,5431.200000,5365.800000,5214.750000,5284.000000,5511.900000,5325.800000,5422.800000,5266.150000,6914.950000,5445.100000,5308.450000,5323.200000,5534.500000,30318.450000
1920,4168.633333,3857.600000,3641.833333,4643.700000,3580.433333,4650.433333,3618.866667,3655.800000,5298.866667,4364.233333,3836.233333,3758.633333,3583.966667,4588.200000,3572.600000,4590.366667,3502.533333,4670.566667,3682.100000,3647.233333,3772.100000,3560.800000,3559.700000,3628.900000,3474.600000,4502.766667,3497.866667,4602.133333,3521.966667,3591.766667,3537.300000,3639.633333,3654.500000,3569.533333,3620.166667,3654.833333,3479.600000,4475.600000,3497.800000,3581.400000,3510.733333,3577.666667,3535.433333,3636.000000,4588.866667,3546.366667,3547.133333,3628.933333,3595.500000,3483.733333,3492.300000,3593.500000,4899.900000,4239.933333,4788.466667,3850.933333,3759.966667,3583.666667,3770.600000,3640.033333,30964.400000
2560,3055.350000,2806.975000,2731.775000,3495.025000,2675.500000,3496.775000,3524.375000,2788.075000,2779.675000,2796.825000,2693.050000,2760.975000,2736.075000,3391.575000,2666.050000,3454.775000,2630.000000,2713.850000,2734.475000,2730.525000,2727.700000,2678.575000,2673.250000,3470.525000,2623.525000,2623.250000,2639.575000,2691.250000,3458.200000,2709.525000,2661.100000,2723.600000,2723.750000,2662.825000,2908.975000,3714.375000,3051.025000,3667.075000,3495.325000,3577.000000,3502.750000,3100.325000,3439.150000,2861.300000,2735.500000,2701.275000,2679.800000,2754.200000,2621.825000,2635.225000,2635.400000,2713.275000,2636.475000,2688.375000,3659.400000,2731.400000,2710.100000,2667.625000,2714.950000,2731.600000,30596.525000
3200,2406.560000,2271.100000,2186.680000,2772.160000,1953.460000,2196.780000,2772.860000,2218.520000,2189.540000,2154.120000,2153.740000,2203.140000,2103.160000,2095.280000,2102.320000,2839.360000,2737.340000,2565.120000,2420.940000,2903.020000,2640.760000,2333.900000,2204.800000,2200.200000,2234.020000,2858.600000,2168.540000,2182.560000,2104.240000,2779.940000,2718.560000,2243.880000,2174.160000,2129.020000,2142.860000,2194.800000,2084.920000,2103.720000,2107.600000,2158.160000,2452.900000,2764.380000,2133.620000,2169.540000,2215.840000,2176.580000,2154.860000,2823.800000,2103.900000,2861.580000,2154.940000,2823.940000,2122.320000,2162.740000,2139.860000,2209.980000,2236.500000,2150.020000,2151.100000,3284.140000,30409.380000
3840,2958.783333,2271.783333,1904.700000,1873.850000,1830.416667,1868.066667,2345.733333,1832.533333,1882.583333,1847.916667,1836.583333,1872.966667,1779.250000,1775.416667,1811.600000,1855.650000,1793.933333,2323.100000,2404.950000,1833.883333,1859.466667,1823.933333,1856.383333,1918.250000,1767.300000,1765.666667,2780.166667,2336.750000,2785.900000,1811.950000,2072.366667,1818.533333,1827.650000,1829.850000,2317.850000,1838.133333,1751.483333,2286.000000,2265.400000,2245.116667,2829.083333,2034.033333,1888.300000,1862.783333,1850.483333,1803.866667,1779.066667,1834.966667,1759.400000,2282.466667,2289.533333,1810.016667,2279.533333,1808.050000,1782.166667,1824.583333,1820.250000,1783.250000,1775.766667,1823.400000,29837.316667
4480,1873.314286,1618.471429,1601.728571,2023.128571,1541.214286,1573.257143,1534.342857,1582.585714,1574.414286,1552.128571,1782.357143,1593.471429,1524.857143,1510.800000,1974.200000,1809.342857,1561.385714,2408.285714,1729.900000,2182.371429,1891.742857,1658.814286,1601.742857,1575.085714,1508.857143,1534.785714,2410.685714,1536.614286,1513.771429,1552.628571,1544.700000,1571.071429,1572.971429,1975.157143,1518.657143,1559.285714,1493.828571,1373.000000,1508.100000,1548.485714,1516.057143,1553.242857,1521.485714,1562.200000,2113.514286,1524.700000,1523.657143,1985.071429,1496.457143,1552.514286,1536.200000,1564.214286,1514.271429,3311.300000,1934.071429,1555.928571,1989.328571,1537.657143,1653.000000,2053.414286,30126.228571
5120,2012.575000,1510.012500,1370.200000,1762.312500,1335.512500,1380.937500,1348.662500,1389.550000,1415.000000,1344.287500,1350.237500,1380.900000,1370.100000,1328.387500,1313.262500,1391.750000,1386.637500,1378.450000,1389.612500,1373.025000,1383.500000,1393.187500,1350.387500,1381.900000,1332.912500,1331.325000,1341.962500,1380.387500,1692.750000,1367.175000,1327.462500,1374.200000,1746.962500,1339.700000,1425.212500,1428.700000,1533.287500,1454.937500,1728.762500,1595.125000,1435.337500,1389.625000,1720.425000,1380.525000,1877.500000,1345.650000,1366.937500,1378.225000,1328.862500,1339.850000,1325.712500,1381.762500,1324.100000,1376.575000,1329.087500,1381.700000,1368.887500,1342.462500,1338.887500,1371.475000,29772.162500
5760,1663.377778,1250.844444,1219.922222,1254.200000,1227.100000,1263.422222,1219.644444,1239.477778,1237.844444,1204.366667,1196.933333,1230.533333,1171.377778,1181.066667,1902.566667,1526.244444,1317.277778,1571.944444,1621.977778,1260.055556,1246.588889,1210.800000,1196.900000,1247.100000,1191.544444,1525.922222,1513.911111,1205.488889,1516.977778,1558.088889,1184.844444,1223.188889,1219.188889,1201.322222,1191.544444,1213.233333,1168.088889,1174.400000,1550.800000,1207.555556,1549.866667,1203.466667,1551.855556,1215.155556,1220.577778,1209.344444,1188.800000,1229.222222,1169.444444,1169.522222,1499.477778,1196.511111,1291.411111,1675.244444,1393.811111,1319.555556,1270.388889,1205.888889,1229.911111,1244.411111,30024.922222
6400,1220.370000,1152.690000,1113.630000,1108.850000,1085.380000,1412.420000,1241.860000,1102.910000,1107.170000,1079.130000,1079.150000,1131.760000,1077.380000,1389.230000,1371.810000,1108.170000,958.400000,1104.740000,1403.190000,1102.050000,1107.430000,1374.610000,1072.600000,1094.980000,1049.250000,1047.880000,1095.020000,1393.900000,1671.750000,1625.220000,1375.410000,1232.850000,1338.870000,1082.700000,1082.670000,1093.270000,1215.360000,1054.390000,1348.220000,1087.940000,1367.600000,1098.530000,1083.110000,1117.160000,1102.910000,1083.030000,1086.200000,1402.660000,1052.190000,1076.250000,1364.670000,1087.300000,1060.960000,1393.700000,1080.100000,1130.470000,1095.250000,1095.830000,1076.050000,1090.530000,29706.870000
