Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16.582800,16.567089,16.486796,16.505402,16.791878,16.761300,17.794271,17.720272,18.523290,18.080388,18.540825,17.540983,16.824660,16.535902,16.559786,16.602960,16.839771,16.804908,17.837502,17.759134,19.030816,17.774083,18.930136,18.960752,16.616580,16.613598,16.607286,16.715688,17.158375,17.150748,17.959202,17.869837,19.140301,17.950886,19.163365,19.139737,16.595696,16.636219,16.584430,16.735652,17.159554,17.166480,17.960273,17.885442,19.151204,17.895143,19.117230,19.149750,16.584918,16.621411,16.594296,16.715957,17.169546,17.207891,17.958673,17.981553,19.155858,17.888595,19.024443,19.178030,25.095616
1280,16.369976,16.302652,16.356266,16.373520,16.609266,16.559697,17.612364,17.527980,18.474369,17.699258,17.973164,17.538635,16.640575,16.521674,16.540088,16.560740,16.806869,16.837923,17.912660,17.778545,18.984774,18.220958,18.965997,18.993304,16.580377,16.662758,16.608840,16.744731,17.151220,17.141436,17.988431,17.903282,19.153405,17.869882,19.009644,19.169267,16.597491,16.605641,16.587188,16.726021,17.163123,17.135898,17.956209,17.879604,19.124873,17.901941,19.024342,19.120127,16.636570,16.609492,16.602210,16.739880,17.180387,17.195783,17.957953,17.879346,19.150773,17.888748,19.067072,19.167387,25.058720
1920,16.400366,16.312577,16.386395,16.352612,16.612728,16.536168,17.611017,17.523698,18.481317,17.717391,17.984133,17.541690,16.551996,16.523135,16.551648,16.581693,16.808155,16.808617,17.828893,17.783800,19.007498,17.775835,18.984012,18.992846,16.601563,16.638444,16.591838,16.722048,17.166789,17.229859,18.062520,17.907318,19.171966,17.895290,19.176770,19.212297,16.599491,16.619158,16.595312,16.720679,17.167513,17.158661,17.987049,17.902217,19.132992,17.914628,19.106014,19.075487,16.605301,16.616418,16.618808,16.752699,17.167041,17.193628,18.022850,17.893080,19.139536,17.891276,19.071642,19.153674,24.513395
2560,16.389596,16.293498,16.337142,16.345948,16.615767,16.526108,17.643358,17.538209,18.491598,17.719185,17.971435,17.514602,16.537142,16.520829,16.541727,16.553237,16.803092,16.808703,17.828529,17.756410,19.035815,17.762715,18.976801,18.985274,16.583173,16.605382,16.589978,16.715685,17.244419,17.220273,17.958870,17.890506,19.116505,17.907090,19.269738,19.145206,16.577965,16.600674,16.609806,16.711376,17.176090,17.215264,17.962595,17.990597,19.186334,18.014309,19.122426,19.140428,16.580837,16.608476,16.587733,16.735024,17.163837,17.171404,17.963259,17.897055,19.154757,18.030863,19.106047,19.209350,24.503102
3200,16.348950,16.327770,16.330890,16.352044,16.597742,16.532225,17.612167,17.496786,18.486703,17.768405,17.976685,17.526163,16.542744,16.527212,16.549042,16.560987,16.840118,16.858064,18.168160,17.766655,19.056585,17.756747,18.962511,18.984188,16.604752,16.608375,16.619651,16.724379,17.192705,17.241559,17.951868,17.895559,19.189626,17.917577,19.048390,19.158695,16.595592,16.617370,16.594679,16.724266,17.173577,17.212537,17.956611,17.970685,19.158368,17.984234,19.177312,19.230955,16.627732,16.602578,16.586501,16.752229,17.177886,17.211412,17.994396,17.932633,19.188297,17.895535,19.238845,19.688136,24.640731
3840,16.405136,16.308108,16.344345,16.342821,16.586344,16.525970,17.601039,17.492475,18.570455,17.716778,17.983785,17.492429,16.548427,16.523671,16.545613,16.580490,16.813415,16.804143,17.823187,17.752115,18.993232,17.761709,18.962069,19.025056,16.580413,16.613198,16.577505,16.714101,17.155446,17.149897,17.938957,17.877068,19.121862,17.899202,19.017727,19.101458,16.572865,16.595362,16.585297,16.999131,17.205656,17.178385,17.963917,17.900790,19.105379,17.878658,19.252450,19.093437,16.627562,16.608754,16.581958,16.735469,17.158375,17.156018,17.945579,17.873218,19.170700,17.886434,19.193893,19.162025,24.506547
4480,17.372265,17.430688,17.452891,17.501902,17.686290,17.660155,18.549132,18.639832,19.369860,18.685819,19.043170,18.627734,17.543473,17.568677,17.578263,17.647050,17.890939,17.847059,18.818255,18.906325,19.849801,18.803142,19.794939,19.870702,17.663003,17.668342,17.656598,17.714830,17.854052,17.907332,18.930493,19.018461,19.965998,18.836818,19.941694,20.601137,17.664508,17.583531,17.807953,17.713809,17.953128,17.853432,19.012898,18.857519,20.008611,18.862139,19.707918,19.915614,17.648611,17.769293,17.603482,17.665090,17.872795,17.763767,18.903142,18.979773,19.993945,18.845952,19.890878,20.001579,26.083190
5120,18.764192,18.991162,18.932658,18.943091,19.147966,19.269036,19.870824,20.164410,20.614640,19.999483,20.407255,20.108111,18.945549,18.925372,19.049246,19.051737,19.333408,19.220928,20.139513,20.155593,20.987686,20.238983,20.907401,21.075653,19.196436,19.062641,18.991282,19.107200,19.003898,19.281515,20.337297,20.611610,20.994584,20.252230,21.710159,22.106823,19.130477,19.017120,19.276737,19.119042,19.346442,19.308744,20.459484,20.281302,21.056497,20.313326,20.814189,20.952561,18.953093,19.273975,19.036044,18.932731,19.241139,19.058588,20.296010,20.411945,21.002765,20.313277,20.862306,21.148959,26.787560
5760,19.997779,20.196489,20.206233,20.232857,20.367320,20.571384,20.967421,21.387184,21.719557,21.326598,21.605932,21.388528,20.203089,20.081903,20.277883,20.324650,20.540871,20.391750,21.282939,21.331507,21.926094,21.363111,21.951297,22.017054,20.333410,20.275624,20.213776,20.308408,20.173433,20.483879,21.468594,21.686363,21.915416,21.316776,22.828953,23.053292,20.398793,20.281903,20.484702,20.356351,20.631221,20.506980,21.549447,21.374624,22.053050,21.453839,21.837944,21.934355,20.105498,20.549710,20.221829,20.137819,20.512754,20.253120,21.325683,21.569825,22.018817,21.433889,21.824352,22.029782,27.473737
6400,21.114319,21.099946,21.202597,21.256827,21.347078,21.573980,21.977641,22.379034,22.617673,22.405456,22.569606,22.499585,21.237984,21.042210,21.219023,21.287669,21.592098,21.407528,22.230092,22.377310,22.836445,22.363834,22.739233,22.724718,21.312098,21.271026,21.197059,21.240461,21.276131,21.507538,22.386931,22.661030,22.779365,22.348118,23.469012,23.549315,21.384007,21.266617,21.478349,21.380493,21.568277,21.496440,22.454789,22.422139,22.845668,22.411546,22.777067,22.795139,21.142826,21.518259,21.108786,21.136012,21.321188,21.192972,22.279049,22.582768,22.826262,22.521845,22.591108,22.868191,27.852297
