Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,34.609130,35.494372,36.814296,36.263003,38.127116,37.403975,35.856985,40.586482,42.031608,40.846029,41.524676,41.409096,32.065768,32.143780,32.399398,32.301377,33.456753,33.489803,32.742910,35.333678,37.153341,35.322179,36.889270,37.186627,31.220360,31.436300,31.154718,31.900323,31.793829,32.579169,32.067291,34.337426,34.746258,34.473848,34.466085,34.600547,31.334808,31.446130,31.287666,32.013356,31.547584,33.146706,32.490370,34.172447,34.259955,34.418704,34.207268,34.592506,31.337358,31.833498,31.276186,32.194699,31.862020,32.788226,32.090157,34.674125,35.395743,34.367204,35.440250,35.831233,269.384603
1280,37.771148,39.153818,41.076956,40.552229,42.522252,42.410764,39.376444,45.154224,45.961542,44.779015,46.465195,46.114248,35.766387,36.210510,36.408103,36.420977,36.695894,36.695389,36.463228,38.999581,41.592028,39.068300,40.593599,40.726220,34.545282,34.788995,35.039149,35.707887,36.002924,36.768633,35.576221,38.347226,39.322717,38.417545,39.366126,39.341567,34.480489,34.816022,34.584544,35.495966,34.942725,36.186453,35.589452,37.598900,38.065728,37.870325,37.985200,38.103262,34.507123,35.272181,34.516682,35.532010,35.387957,36.160632,35.636317,37.949567,39.096819,37.926097,38.990328,38.993507,274.932668
1920,40.258091,41.992413,44.180367,43.908226,45.672655,45.359895,42.161241,48.749387,49.222427,48.046683,49.479077,49.174670,38.662081,39.573528,40.599939,39.828329,41.152779,40.643475,39.843243,43.170382,45.162001,43.314204,45.139335,45.252730,37.379089,38.109730,38.023466,38.847837,38.832622,38.901621,38.493053,41.459441,42.290285,41.524155,42.311560,42.261965,36.799734,37.363834,36.873903,38.310707,37.545429,38.982831,38.396001,40.362315,40.831826,40.550351,40.892818,40.771922,36.834192,37.994489,36.680877,38.589731,38.088342,38.886671,38.378538,40.575246,41.804792,40.736484,41.623630,41.480279,279.219036
2560,41.401913,43.228435,46.184619,46.110294,47.507227,47.467053,43.711510,50.170045,51.344105,49.835191,51.952275,51.530396,39.212363,40.416421,41.251915,40.644044,41.686103,41.525457,40.354171,43.875385,45.929480,43.929092,45.898999,45.824214,38.013844,38.801855,38.901837,39.614009,39.357944,40.126375,39.316281,42.201254,43.148005,42.241577,43.078807,43.027622,38.771101,38.864061,39.275026,39.723265,40.565112,39.999799,39.913354,42.237304,44.126701,42.298717,44.143228,44.051158,39.793930,41.011056,39.644458,41.504141,41.032934,41.834391,41.516844,43.627773,44.915982,43.526210,44.690304,44.611556,289.733777
3200,42.589824,44.665298,48.413942,48.142455,49.183966,48.793203,45.127106,51.900885,52.955996,51.561863,53.548976,52.934522,40.634871,41.842469,43.384647,42.391310,43.353963,43.014286,41.663515,45.370133,47.421296,45.561930,47.651543,47.520487,39.467765,40.567961,41.250156,41.497586,42.325673,41.826497,41.052532,44.458714,46.157426,44.462898,46.060563,46.084862,40.260014,40.885933,40.650694,41.588325,41.966918,41.373947,41.681019,44.208620,45.904817,44.201266,45.943261,45.659481,42.398025,43.706120,42.406918,43.851640,43.719067,44.420899,44.280245,46.239282,47.519699,46.222873,47.486847,47.334448,294.941718
3840,43.802726,46.204846,51.376815,50.685975,50.844682,50.602432,46.902410,53.856607,54.705921,53.616952,54.795572,54.435118,42.287023,43.673080,45.928552,44.262060,46.219485,45.425717,43.494635,47.990428,50.700286,48.060597,50.783193,50.612633,40.940902,42.202654,43.734859,43.191823,43.930073,43.542765,42.472216,45.970617,47.755390,46.021335,47.651767,47.706163,41.570221,42.445581,42.312864,43.121902,43.455932,42.927796,43.326506,45.999413,47.522906,46.088384,47.589616,47.471082,44.821182,46.259409,44.937759,45.793955,46.113952,46.801023,46.819438,48.857860,50.114969,48.770425,49.895716,49.810958,299.390848
4480,44.620150,47.312796,52.847879,52.334242,52.553026,53.229460,48.587654,55.184981,56.428669,54.894045,57.192222,56.650678,42.418321,43.931680,46.054519,44.641594,46.300539,45.599684,43.765806,48.191711,50.817084,48.299240,51.020490,50.873221,41.146472,42.535999,44.109620,43.520856,43.927703,43.820220,42.681481,46.287517,48.012122,46.283316,47.968204,48.019385,41.946226,42.679257,42.546287,43.508047,43.731507,43.346109,43.484975,46.182149,47.640424,46.259638,47.641734,47.675452,46.071313,46.360539,46.205937,46.466825,46.897258,46.717879,47.645216,50.210446,51.526745,50.197018,51.561472,51.335566,310.291974
5120,45.133384,47.893851,53.197784,53.295981,53.205501,53.487339,49.344104,55.848446,57.236450,55.481569,57.954731,57.405399,42.829664,44.573350,46.590503,45.398020,46.602049,45.835898,44.129311,48.637788,51.275998,48.761834,51.417807,51.334561,41.542951,42.977811,44.533292,44.368614,44.330157,44.394787,43.148987,46.732591,48.499588,46.986435,48.457408,48.701936,42.249535,43.089869,42.596874,43.808416,43.852964,43.704917,43.653494,46.508549,47.880906,46.503284,47.946987,47.765559,46.274815,46.385460,46.673326,46.600947,47.017881,46.547064,47.647994,50.286960,51.557906,50.179263,51.530817,51.310870,317.393154
5760,45.846314,48.615755,53.938013,53.664175,53.672025,53.852206,50.090256,56.313883,57.946233,56.063073,58.623869,58.022493,43.658593,45.540587,47.175568,45.741312,47.614400,46.951994,44.679327,49.487718,52.281813,49.525882,52.512870,52.261682,42.330190,43.788363,45.468943,45.175784,45.194260,45.196314,43.840760,47.503616,49.256098,47.511233,49.452687,49.268469,43.256256,43.971827,43.696278,44.688809,44.901696,44.699846,44.526015,47.584357,48.976578,47.608242,49.116307,48.902553,47.070066,47.200114,47.259262,47.498986,47.643015,47.131770,48.372284,51.209503,52.047511,51.353580,52.076759,51.908997,323.896393
6400,46.645253,49.676035,55.232018,54.904262,54.876849,54.799015,50.904920,57.656467,59.227456,57.211044,59.827359,59.308533,44.204466,46.009365,48.499363,46.637333,48.226260,47.570740,45.378029,50.261602,53.032889,50.355760,53.217751,53.072902,42.959182,44.400195,46.408325,46.154866,45.801647,46.134159,44.493314,48.336662,50.084100,48.383091,50.143003,50.030773,44.020015,45.024119,45.502378,45.895435,47.207765,46.030425,45.864736,49.344942,50.867889,49.113565,50.702681,50.798755,48.083361,47.973676,47.867151,48.191334,48.490451,47.980709,49.318176,52.010388,52.858869,51.930325,52.835337,52.796294,336.244510
12800,51.489855,54.914668,60.737309,60.859039,62.127835,62.064920,56.334404,63.848942,66.451846,63.705212,67.299387,66.506896,48.009968,50.215895,53.022905,51.105012,53.425040,52.455261,49.373239,55.118952,58.849528,55.242079,59.015642,58.853780,46.523767,48.789968,51.220079,50.930810,50.720908,50.654793,48.710050,53.288305,55.373001,53.391179,55.352932,55.480335,47.619539,48.983210,50.527654,50.251489,50.897388,50.167391,49.021137,53.470144,55.361344,53.214507,55.139642,55.180760,53.417797,53.217134,54.177409,53.616055,54.808866,53.813962,54.637254,58.120147,59.556669,58.042233,59.545223,59.642963,413.722135
19200,54.819077,58.231469,63.726773,64.181810,66.550816,65.674151,59.041984,67.120558,70.227517,67.293397,71.664272,70.502615,50.185926,52.481857,55.809423,54.598973,56.806288,55.776054,51.885301,58.204690,62.262765,58.350636,62.505588,62.299219,48.537599,51.043649,53.915171,53.249874,53.743124,53.494639,50.936523,56.091852,58.654926,56.261155,58.776137,58.675686,49.563460,51.391853,53.484146,52.829228,54.006955,52.976733,51.800309,56.351573,58.643957,56.358307,58.650568,58.761831,55.329122,55.051815,56.901937,55.513970,56.460618,55.715283,56.562053,60.263087,61.443827,60.128787,61.482329,61.639764,388.999524
25600,56.740905,60.299815,66.028441,66.179834,68.916775,68.211083,61.405614,71.088467,73.555697,70.908755,74.923661,73.834080,52.062741,54.536425,57.925122,56.167661,59.298224,58.528615,53.468910,61.436134,64.892801,61.600895,64.942999,64.991135,50.364310,53.057119,56.218740,55.741635,55.833130,55.758015,52.744425,59.287464,61.018281,59.712299,61.031426,60.959375,51.313473,53.180972,55.380734,54.914960,56.080744,54.847297,53.411892,59.722027,60.971999,59.711859,60.922310,61.090759,57.145731,56.839826,59.123111,57.757768,58.839580,57.970045,58.228989,63.565598,63.379256,63.664151,63.388266,63.509970,373.865763
32000,58.404677,62.264298,68.357869,68.620168,71.345626,70.251248,62.906327,72.832514,76.455536,72.602854,77.512475,76.386403,53.929242,56.740831,60.040358,59.132397,61.406448,60.845359,55.224129,62.962342,67.105678,62.847970,67.161642,67.015285,52.465740,55.171896,59.268951,58.745132,59.610748,58.729449,55.586991,61.256481,64.588312,61.522315,64.590436,64.427384,53.257091,55.291941,58.413229,57.349120,59.510966,57.783135,56.786031,61.391163,64.791792,61.257965,64.701562,64.835779,59.173767,59.218610,62.301568,60.239615,61.814887,60.758040,60.657547,65.281982,67.510100,65.340893,67.440534,67.521077,429.148770
38400,59.688983,63.302462,69.285981,69.366759,73.470015,71.538972,63.663876,73.963779,77.666083,73.767092,78.721726,78.127989,54.882472,57.069696,60.932023,59.575485,62.858360,61.333783,56.214631,64.058441,68.520724,63.961792,68.496719,68.491871,52.455790,55.350137,59.184264,58.874724,59.377202,58.718708,55.442485,61.446805,64.463413,61.716064,64.419206,64.289211,53.382423,55.388979,58.068875,57.403089,59.413276,57.639253,55.893889,61.309143,64.427068,61.241758,64.451049,64.584447,59.233215,59.351297,62.018345,60.308363,61.611259,60.613505,60.778201,65.335322,67.320728,65.378056,67.279507,67.243056,410.263612
44800,60.574828,64.265442,70.180412,70.148362,74.336786,72.443488,64.389285,74.827729,78.245328,74.944257,79.788975,78.451172,55.737772,57.985569,61.673623,60.495881,63.825343,62.475179,57.021951,65.996532,70.013890,65.982416,70.102317,70.037883,53.282080,56.245471,59.968050,59.747429,60.544217,60.508210,56.244918,64.359566,67.758492,65.134518,67.643672,67.766195,54.185235,56.196600,59.032862,58.466556,60.016550,58.463255,56.642466,65.109057,67.354475,63.654078,67.297565,67.390398,60.296392,60.524535,62.802919,61.262934,62.649850,61.546529,61.757126,68.701983,70.324792,66.335801,70.225150,70.296394,394.942986
51200,61.377552,65.442499,71.497883,71.724774,75.659483,73.735373,65.958717,76.454329,80.044789,76.213744,81.587152,80.118871,56.997297,59.028881,63.152424,61.774763,65.394906,64.229967,57.899058,66.559502,70.913309,66.456820,71.029093,70.957864,54.382747,57.363352,61.237831,60.955762,62.383713,61.394392,57.326863,63.872414,67.198618,64.065011,67.357947,67.100197,55.052122,57.157195,60.286082,59.744908,61.293968,59.814289,57.560690,63.664604,66.736448,63.479276,66.827470,66.847109,61.108130,61.189369,64.131527,62.210479,63.864544,62.633640,62.360226,67.454239,69.058774,67.487625,69.050537,69.006887,383.533108
57600,62.245188,66.297009,72.446724,73.378067,76.804556,75.169262,66.249550,77.702525,81.382184,77.503255,82.894579,81.681266,58.044996,59.917285,64.327663,62.824163,66.347508,65.094415,58.715912,67.585379,72.131115,67.593629,72.308756,72.112814,55.337647,58.530480,62.442675,62.064797,63.242165,62.326118,58.709691,65.367750,68.357047,65.282945,68.198344,68.215701,56.107712,58.186851,61.409533,60.851786,62.379215,60.831300,58.306247,64.418649,67.873241,64.312029,67.740290,68.025079,61.944881,62.114746,65.347525,63.622830,65.091766,63.906061,63.283529,68.640902,70.164281,68.609829,70.139819,70.671578,371.042165
64000,63.073241,67.176247,73.733023,73.621441,78.031397,75.797181,67.373984,78.886494,82.928383,78.721779,84.207115,82.819672,58.541367,60.867140,65.269752,63.730054,67.347433,66.125323,59.720156,68.727567,73.121695,68.590062,73.048156,73.158052,56.192300,59.479706,63.974679,63.660860,64.351894,63.712952,59.326879,66.099781,69.187738,66.427469,69.274127,69.049205,57.141470,59.331600,63.217325,62.673231,65.075181,62.765845,59.989202,66.293872,70.427115,66.357844,70.384969,70.488268,62.953937,63.207394,67.238053,64.755355,66.937254,65.508168,65.223523,70.330622,73.115126,70.168170,73.007012,72.956889,416.932748
