Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,551.000000,46.100000,1503.700000,60.200000,1469.600000,48.100000,129.600000,103.600000,161.600000,96.700000,1513.900000,1506.400000,29.900000,27.500000,33.600000,41.700000,30.700000,41.200000,74.800000,1877.100000,1523.500000,1500.700000,53.900000,66.800000,1493.100000,29.300000,27.100000,44.900000,28.700000,36.300000,1518.300000,1511.000000,1498.100000,50.600000,58.400000,54.300000,32.500000,33.400000,31.400000,38.200000,27.200000,1495.400000,83.800000,86.900000,78.000000,1460.400000,1534.800000,1512.600000,26.300000,29.800000,25.500000,33.800000,27.000000,1467.900000,54.300000,1503.700000,73.900000,47.300000,46.500000,1512.500000,40158.900000
1280,56.600000,36.150000,749.800000,32.850000,21.000000,32.300000,35.850000,58.800000,766.850000,750.500000,755.900000,749.350000,726.600000,16.950000,14.350000,20.300000,15.000000,25.650000,758.050000,876.300000,759.350000,33.700000,751.100000,30.650000,14.400000,15.600000,16.300000,22.850000,28.950000,21.250000,747.600000,763.350000,43.700000,756.050000,751.050000,752.350000,750.050000,16.250000,16.350000,20.600000,15.750000,19.200000,752.950000,756.150000,766.200000,27.000000,26.100000,28.950000,742.750000,15.550000,14.700000,19.300000,16.250000,20.850000,28.350000,747.150000,35.900000,34.200000,743.350000,31.050000,30318.450000
1920,50.133333,20.033333,496.666667,498.566667,17.166667,493.833333,31.100000,529.866667,31.933333,505.466667,511.366667,25.233333,10.200000,496.966667,13.366667,17.600000,11.800000,16.433333,21.333333,624.066667,526.433333,23.033333,21.100000,504.133333,10.866667,12.533333,11.533333,14.566667,11.633333,14.400000,27.166667,505.300000,501.700000,17.933333,20.800000,21.233333,11.166667,13.033333,10.966667,14.266667,10.966667,14.433333,498.633333,516.166667,497.133333,498.033333,17.933333,19.033333,10.800000,17.800000,11.200000,12.300000,9.100000,14.800000,17.666667,499.466667,22.800000,24.933333,22.133333,20.366667,30964.400000
2560,31.975000,26.850000,24.050000,28.650000,20.975000,26.025000,28.300000,401.125000,36.275000,32.625000,385.500000,384.625000,365.225000,12.925000,372.000000,375.950000,9.375000,12.550000,373.725000,452.675000,390.925000,20.875000,21.625000,24.525000,14.000000,11.025000,8.400000,11.275000,8.825000,11.425000,376.925000,380.825000,411.975000,16.200000,377.350000,373.975000,8.150000,8.975000,9.375000,10.425000,365.850000,11.225000,375.250000,23.875000,382.675000,17.550000,386.550000,373.050000,7.700000,9.950000,8.500000,373.100000,8.075000,10.650000,376.750000,386.125000,379.100000,13.700000,14.100000,374.900000,30596.525000
3200,24.040000,15.920000,15.460000,302.740000,304.440000,308.000000,20.940000,312.160000,22.960000,316.360000,307.580000,310.300000,8.100000,8.820000,8.160000,10.380000,8.720000,14.180000,12.880000,362.020000,31.920000,21.500000,309.400000,303.680000,11.540000,302.700000,7.760000,9.500000,7.540000,9.340000,15.700000,308.680000,310.020000,11.780000,301.760000,302.600000,295.500000,7.700000,7.280000,10.960000,7.020000,8.760000,305.160000,305.280000,312.220000,11.700000,300.780000,15.640000,7.720000,7.740000,7.540000,9.060000,7.180000,10.200000,13.760000,15.180000,15.780000,299.220000,306.140000,302.920000,30409.380000
3840,18.850000,14.666667,257.116667,23.983333,22.033333,16.650000,18.250000,265.150000,266.016667,261.350000,259.816667,258.733333,8.133333,7.500000,7.883333,9.816667,8.016667,9.983333,252.133333,300.633333,27.166667,254.066667,256.750000,254.516667,8.566667,8.966667,6.750000,8.050000,6.316667,10.016667,248.083333,253.800000,14.383333,9.200000,11.983333,252.783333,6.033333,6.483333,6.150000,7.683333,6.166667,8.266667,12.416667,14.666667,252.466667,251.650000,251.283333,255.316667,6.700000,7.166667,6.033333,7.283333,6.400000,246.083333,251.750000,253.916667,250.683333,13.466667,251.833333,12.200000,29837.316667
4480,19.400000,16.585714,220.342857,219.014286,13.242857,218.614286,12.857143,22.542857,224.571429,222.742857,19.714286,16.800000,213.100000,6.585714,6.171429,8.100000,6.528571,7.885714,215.700000,255.957143,17.300000,217.328571,14.542857,218.385714,7.800000,7.871429,6.257143,7.414286,5.457143,7.228571,213.571429,17.285714,217.028571,213.200000,10.200000,11.471429,4.957143,6.214286,209.142857,7.542857,5.242857,6.785714,217.014286,217.628571,12.414286,213.085714,211.328571,215.557143,5.228571,5.785714,5.371429,210.300000,5.542857,6.700000,8.971429,217.957143,11.442857,213.128571,8.457143,218.728571,30126.228571
5120,19.700000,13.425000,194.162500,15.000000,191.287500,189.662500,12.562500,194.800000,194.925000,191.862500,196.187500,197.125000,6.762500,5.900000,5.625000,8.862500,5.462500,7.312500,182.487500,220.287500,15.062500,186.762500,186.000000,190.875000,188.000000,5.687500,5.225000,7.787500,5.112500,186.700000,7.812500,189.200000,10.862500,7.562500,186.350000,188.425000,4.600000,5.962500,5.375000,6.750000,186.000000,6.212500,190.275000,188.112500,11.062500,184.512500,187.212500,185.850000,4.762500,5.400000,4.912500,6.025000,5.125000,5.712500,7.262500,9.775000,10.637500,186.162500,186.412500,184.675000,29772.162500
5760,175.666667,13.588889,173.366667,171.277778,172.644444,172.988889,10.533333,18.055556,176.788889,14.766667,176.333333,175.922222,165.988889,6.111111,5.466667,167.111111,9.288889,7.555556,14.022222,215.844444,179.255556,12.000000,12.000000,12.755556,169.944444,5.677778,5.100000,168.622222,5.688889,5.777778,172.377778,15.022222,172.888889,168.988889,8.333333,170.688889,4.422222,5.266667,4.866667,167.877778,4.600000,6.000000,170.222222,171.844444,10.222222,6.955556,166.855556,170.855556,4.700000,4.777778,4.855556,6.244444,4.877778,5.866667,9.900000,11.855556,174.711111,167.122222,166.077778,170.144444,30024.922222
6400,12.080000,8.480000,12.280000,154.110000,158.360000,154.170000,12.010000,167.330000,159.450000,158.810000,158.900000,158.900000,5.750000,5.360000,4.680000,149.490000,4.910000,6.890000,150.350000,173.870000,154.170000,7.050000,6.800000,152.690000,150.520000,5.190000,4.470000,5.490000,4.150000,147.350000,148.710000,11.520000,153.700000,148.380000,148.330000,7.380000,3.910000,6.020000,4.050000,5.390000,3.990000,4.670000,149.890000,152.460000,151.880000,149.440000,148.270000,148.770000,3.950000,4.170000,4.080000,4.960000,4.050000,4.790000,151.320000,152.520000,150.330000,147.650000,6.040000,149.270000,29706.870000
