Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,16.498056,16.039213,16.228668,16.356351,16.502159,16.695524,17.620121,17.668662,18.494183,17.812639,17.824999,17.643961,16.278654,16.287496,16.291036,16.479871,16.483806,16.500079,18.186389,17.924339,19.892155,18.460272,20.090111,18.830911,16.466017,16.434845,16.445297,16.516750,16.684678,16.780319,17.876726,18.254213,20.005648,18.272851,19.270244,19.919328,16.484834,16.487883,16.443332,16.525241,16.674689,16.845818,17.937365,18.079435,20.010237,18.274326,19.690453,19.182318,16.461778,16.446604,16.454696,16.527416,16.655989,16.669839,17.928541,18.325177,19.776796,18.266929,19.658567,19.971288,25.095616
1280,16.276713,16.038547,16.250760,16.320833,16.492630,16.314042,17.663918,17.645625,18.491248,17.808753,17.788529,17.629540,16.276954,16.296558,16.281324,16.457300,16.494104,16.490081,18.172156,17.923732,19.896514,18.434392,20.036797,18.843012,16.453356,16.422755,16.441888,16.811211,16.703095,16.684757,17.895259,18.253056,20.009954,18.251554,19.266353,19.897979,16.450119,16.454016,16.478280,16.499484,16.682440,16.722831,17.897230,18.005174,20.006997,18.244519,19.698613,19.183576,16.453048,16.520168,16.422672,16.556744,16.655270,16.692947,17.899154,18.266406,19.858787,18.348732,19.734276,19.973236,25.058720
1920,16.323361,16.049055,16.265182,16.356997,16.527534,16.327732,17.624395,17.641892,18.517369,17.798914,17.817418,17.680364,16.304690,16.295629,16.295703,16.486398,16.482902,16.498354,18.198484,17.924322,19.860056,18.435917,20.082192,18.839725,16.477078,16.445379,16.450567,16.542668,16.666975,16.669337,17.914959,18.265699,20.013989,18.298285,19.264348,19.931170,16.464416,16.460242,16.444164,16.510969,16.662867,16.720537,17.908599,18.014799,19.992926,18.247125,19.733591,19.204878,16.467952,16.446091,16.473343,16.520949,16.687934,16.668386,17.896208,18.280901,19.846978,18.287439,19.621823,20.033680,24.513395
2560,16.284614,16.013385,16.228879,16.346702,16.507095,16.290549,17.615582,17.656319,18.515691,17.949472,17.956907,17.633741,16.303840,16.285930,16.287635,16.487547,16.492955,16.595999,18.181156,18.062199,19.792370,18.519465,20.047054,18.886798,16.467301,16.438664,16.451398,16.488162,16.669752,16.776957,17.899770,18.383628,20.073578,18.354456,19.401370,19.913791,16.488645,16.447864,16.436095,16.548279,16.700406,16.758174,17.912883,18.162343,20.036968,18.312982,19.666296,19.131519,16.462938,16.437062,16.484133,16.480166,16.687356,16.799334,17.904697,18.371447,19.741028,18.346159,19.737795,19.916892,24.503102
3200,16.258764,15.999680,16.243700,16.367285,16.493124,16.344040,17.617941,17.656602,18.476610,17.794228,17.794485,17.635880,16.267718,16.295907,16.321159,16.451397,16.510493,16.505564,18.179212,17.915423,19.873825,18.453825,20.050316,18.821341,16.463518,16.439295,16.442209,16.509643,16.651146,16.668635,17.868949,18.239611,20.023790,18.263476,19.180729,19.917139,16.471162,16.489050,16.440364,16.509403,16.656096,16.686758,17.916880,18.034611,19.991531,18.243619,19.640159,19.183397,16.474851,16.432070,16.431641,16.516910,16.672669,16.651499,17.914019,18.382689,19.809963,18.392160,19.632643,19.985345,24.640731
3840,16.209394,15.997297,16.253777,16.339936,16.501826,16.289861,17.620193,17.636887,18.501423,17.779943,17.794602,17.639076,16.296268,16.307546,16.269258,16.459971,16.477599,16.524773,18.200697,17.939721,19.852989,18.433519,20.050431,18.791826,16.451825,16.485555,16.448903,16.500033,16.661228,16.663220,17.884267,18.254943,19.988212,18.290230,19.291980,19.900167,16.451066,16.438313,16.427795,16.517290,16.673222,16.672674,17.882632,18.038897,19.996843,18.237264,19.690827,19.176267,16.459370,16.443662,16.443285,16.514726,16.650612,16.647379,17.919361,18.263999,19.730664,18.317669,19.628964,19.937411,24.506547
4480,17.253792,17.102024,17.257064,17.406332,17.529317,17.433811,18.660239,19.083429,19.475240,18.803768,18.796266,18.750382,17.363729,17.328213,17.324852,17.506933,17.553909,17.587338,18.948931,18.889388,20.665749,19.328568,20.914943,19.764687,17.483141,17.485897,17.496619,17.564810,17.689404,17.699186,18.995304,19.257910,20.821642,19.218674,20.118984,20.847285,17.473815,17.579514,17.475463,17.539872,17.705697,17.710044,18.873590,19.053660,20.834651,19.192401,20.573867,20.105083,17.494572,17.518321,17.525349,17.531323,17.681031,17.687874,18.903504,19.265411,20.736530,19.194611,20.893006,20.779346,26.083190
5120,18.805853,18.790753,18.723692,18.827145,18.986927,19.046030,19.992057,20.427730,20.789331,20.192790,20.197520,20.367957,18.794216,18.812255,18.766448,19.002105,18.996357,18.935597,20.266231,20.205309,21.597284,20.536065,21.948094,20.993511,18.866816,18.898779,18.872388,18.913123,19.053446,19.079855,20.410936,20.565059,21.980220,20.504681,21.262121,21.785214,18.844826,18.994214,18.930732,19.018924,19.130567,19.100705,20.247430,20.470562,21.907954,20.449710,21.657032,21.231898,18.893949,18.904745,19.031553,19.026651,19.118572,19.239271,20.310036,20.597067,21.751536,20.527361,21.977780,21.854306,26.787560
5760,20.067398,19.837942,19.997507,20.050566,20.255419,20.356594,21.126445,21.525203,21.889938,21.401556,21.345020,21.633393,20.023689,20.027033,19.969877,20.140974,20.272491,20.187650,21.388442,21.375219,22.430495,21.608235,22.811241,22.000037,20.050952,20.121814,20.104105,20.133193,20.319082,20.315780,21.586706,21.669413,22.917087,21.575460,22.170863,22.605496,20.051461,20.218446,20.144841,20.213871,20.355412,20.292823,21.435370,21.692645,22.767576,21.594560,22.640196,22.193926,20.044529,20.117842,20.315984,20.202691,20.305120,20.322946,21.526462,21.751260,22.662308,21.717725,22.828483,22.760120,27.473737
6400,21.056095,20.849356,21.041863,21.082057,21.263270,21.418974,22.076932,22.429761,22.814604,22.467554,22.302258,22.651393,21.010257,20.918985,20.945440,21.057547,21.224657,21.220343,22.263086,22.319543,23.171932,22.466155,23.497205,22.867449,21.042139,21.106607,21.093286,21.175285,21.285248,21.296850,22.909545,22.630574,23.669951,22.508191,23.062865,23.343461,21.140665,21.277627,21.159331,21.198037,21.276416,21.352091,22.455767,22.586234,23.517913,22.463598,23.328755,22.872445,21.092214,21.202132,21.326464,21.257626,21.391897,21.300216,22.468306,22.686114,23.334673,22.671240,23.672044,23.470814,27.852297
12800,21.003793,21.147101,21.682240,22.103936,21.886392,22.479638,22.938993,24.388884,25.128297,24.607206,24.768062,24.709257,24.845020,24.868843,24.936256,24.926593,24.980518,25.146622,26.543526,26.300796,26.490715,26.561792,26.627844,26.356399,25.012235,25.056845,24.944965,24.995230,25.187760,25.091822,26.341884,26.520737,26.818368,26.650463,26.627546,26.608746,25.034538,25.451951,25.114516,25.050594,25.240276,25.192751,26.342986,26.489491,26.705081,26.651249,26.733312,26.651367,24.990039,24.983035,25.212902,25.110790,25.317094,25.050314,26.205367,26.585752,26.500022,26.626345,26.622515,26.510739,29.951693
19200,21.623726,21.730538,22.308290,22.778831,22.536287,23.157229,22.939997,24.302154,25.379562,24.636308,24.933461,24.768975,26.504251,26.651485,26.626267,26.838581,26.712246,27.036936,27.981757,27.863133,27.863599,27.979399,27.893717,27.617106,26.673972,26.911680,26.760015,26.869245,27.003851,26.650155,27.747136,27.804987,28.208557,28.171828,27.983859,27.950985,26.732360,27.318088,26.788681,26.824986,26.985283,26.856983,27.679126,27.861611,28.106238,28.141466,28.141180,27.866966,26.643883,26.697826,26.908551,26.996080,26.984490,26.638943,27.730404,27.793426,27.911829,28.041777,28.010351,27.864606,31.226823
25600,22.967540,23.027820,23.500108,23.801695,23.756496,24.437377,24.143427,25.112910,26.117797,25.341760,25.693601,25.571556,27.619248,27.602043,27.676344,27.799165,27.604946,27.790233,28.669954,28.585451,28.233110,28.826717,28.456066,28.079697,27.653123,27.775333,27.806091,27.842223,27.895210,27.642008,28.427252,28.542895,29.017310,29.060391,28.797901,28.580509,27.722364,28.308783,27.736860,27.665979,28.071880,27.787179,28.454296,28.711923,28.946951,28.976403,28.908953,28.711868,27.678780,27.694131,27.868291,27.871830,28.016654,27.627214,28.510391,28.520717,28.607975,28.785352,28.631031,28.472140,31.642131
32000,23.819735,24.229432,25.134332,25.303101,25.301594,26.088400,25.259065,26.292189,27.091797,26.572699,26.855005,26.809296,28.321500,28.336871,28.252384,28.467943,28.128523,28.509584,29.133420,28.968928,28.735939,29.278464,28.849681,28.593926,28.233759,28.399346,28.504540,28.453735,28.586112,28.391343,28.990839,29.047076,29.493743,29.580268,29.402150,29.148273,28.438926,28.965158,28.343976,28.331116,28.716803,28.514344,28.885161,29.169539,29.531225,29.555570,29.409572,29.437977,28.417181,28.259614,28.470622,28.492170,28.507929,28.332713,29.015778,29.097272,29.161324,29.305493,29.332503,29.189280,32.407099
38400,23.820898,24.179276,24.935967,24.996395,25.091071,25.737192,25.112648,26.148061,27.056969,26.383718,26.667169,26.801093,28.505181,28.535121,28.576244,28.860294,28.625405,29.028193,29.447531,29.274365,28.985917,29.697863,29.460679,29.005770,28.832481,28.888713,28.981942,28.879732,28.840397,28.830057,29.391444,29.494727,29.895134,29.967065,29.832518,29.624624,28.776724,29.542820,28.716859,28.872518,29.162667,29.020918,29.379603,29.330349,30.035580,29.855133,29.622585,29.791969,28.919710,28.789437,28.985397,28.887802,29.012347,28.852551,29.537046,29.454461,29.662257,29.739778,29.829665,29.484308,34.547684
