Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,34.481342,35.579220,37.013938,36.360852,38.179609,37.550904,36.291192,40.212042,41.438869,40.362808,41.458683,41.546676,32.174564,32.575952,32.563019,33.211501,33.806943,33.480939,33.319981,36.192560,37.498705,36.184981,37.818959,37.859962,31.740737,32.221253,31.737977,33.166008,32.520507,33.149877,32.664290,35.186934,35.344395,34.352993,34.620474,34.828464,31.169161,31.693901,31.687995,32.829617,31.841691,33.017622,32.330715,34.439165,35.566607,34.257570,35.090022,35.081073,31.252978,31.854636,31.302664,32.949892,32.101265,33.050156,32.298481,34.684686,35.168318,34.727463,35.134202,35.277455,259.526710
1280,37.497065,39.415268,41.079315,40.762681,42.724724,41.929726,39.628780,44.543506,46.023946,44.633167,46.155940,46.161401,36.178137,36.106579,35.842321,37.050557,37.120742,37.034943,36.367469,39.318691,40.571873,39.182756,40.891599,40.759207,34.789204,34.897440,35.371298,35.840344,36.634791,36.081907,36.605798,39.309987,39.874857,38.622861,39.540456,39.710965,34.450369,35.268875,34.874496,36.143704,35.369405,36.541602,35.873531,37.859641,38.979584,37.667527,38.595026,38.443288,34.657726,35.128703,34.642344,36.344104,35.353378,36.605427,35.870627,38.151590,38.713576,38.084323,38.617878,39.016039,265.521133
1920,39.858596,42.461912,43.974452,43.745812,45.881619,45.403186,42.439669,47.678226,49.144697,47.845471,49.149618,49.245463,38.447693,39.466159,40.022801,40.202575,41.975800,40.903998,39.780879,43.470194,45.313586,43.121409,45.522746,45.573156,37.975583,37.864667,38.138298,38.732838,39.632713,38.880684,39.389660,42.171252,42.851940,41.633614,42.475620,42.519070,36.960626,38.224707,37.577030,39.008825,37.876773,39.302976,38.908287,40.580256,41.814819,40.385882,41.196272,41.265269,37.003969,38.234823,37.359972,38.984016,38.180566,39.516531,38.500095,40.941861,41.475409,40.809545,41.316224,41.368460,273.060932
2560,41.040334,44.001537,45.749128,45.271264,47.974192,47.213409,43.890821,49.722044,51.482312,50.912426,52.702466,51.707304,39.182578,40.231065,40.444579,41.353446,42.648400,41.484583,40.379137,44.168127,45.935077,44.760559,47.315488,45.981468,38.059035,38.709057,38.737389,39.754200,40.369505,39.967825,40.053866,42.906252,43.624140,43.182926,44.403137,43.380806,38.212586,39.173549,39.597606,39.884517,40.658651,40.581954,40.253516,42.631142,44.729833,43.567164,44.998289,44.189818,40.035245,40.698048,40.103005,42.157628,41.068167,42.355641,41.422306,43.903019,44.515516,44.473513,44.994345,44.553647,280.847903
3200,42.148450,45.392277,47.355197,46.846743,49.370133,48.814574,45.443821,51.442307,53.049813,51.446450,53.025338,53.149848,40.351239,41.861615,41.866635,43.127886,44.238286,43.180199,41.697356,45.533124,47.472683,45.170667,47.686714,47.638249,39.648822,40.117646,40.872164,41.160209,42.860259,41.920477,41.693127,45.174406,47.104207,44.703529,46.131679,46.225122,39.558830,40.565248,40.752239,41.254363,42.064321,41.682234,41.506048,44.034241,46.289888,44.246409,45.734910,45.746155,42.538662,43.035731,42.459564,44.362915,43.355145,44.436688,43.976372,46.427041,46.976937,46.454119,46.923979,47.148504,293.983074
3840,43.415562,47.411889,49.053482,48.914054,51.154740,50.763033,46.768497,53.301772,54.711081,53.565705,54.547617,54.736340,41.943513,43.303057,44.490396,44.621857,47.124733,45.397638,43.375566,47.980007,50.622048,47.693209,50.952659,51.012071,41.112479,42.006154,42.602050,42.964137,44.820075,43.635170,43.465029,46.830780,48.382645,46.383511,47.890917,47.960412,41.190641,42.180336,42.266838,42.975320,43.593049,43.501755,42.990215,45.933627,48.046883,46.061713,47.431156,47.587919,45.254281,45.561935,44.934095,46.622787,45.604940,46.691439,46.778037,49.151923,49.716100,49.144019,49.642275,49.754042,297.579677
4480,44.201511,49.355442,50.577413,49.933244,52.830050,52.744165,48.398184,54.749602,56.674636,54.910304,56.792298,56.895331,42.291239,43.720560,44.515714,45.033679,47.435295,45.719509,44.012239,48.206170,50.884148,47.979123,51.231757,51.407378,41.384773,42.041003,42.570154,43.238772,44.880900,43.750449,43.593815,47.143749,48.661368,46.671394,48.104236,48.188757,41.434901,42.471252,42.417916,43.249409,43.980205,43.634049,43.306653,46.003708,47.958736,46.151158,47.396790,47.481290,45.654971,45.558919,46.266986,47.474798,48.370138,46.770870,47.593721,50.745527,52.023169,50.879686,52.168652,52.170213,306.993062
5120,44.722556,50.123037,51.209075,50.685005,53.465188,53.012463,49.109566,55.719726,57.545922,55.626436,57.758664,57.847554,42.638182,44.655148,45.006844,45.690498,47.810843,46.160358,44.373290,48.715609,51.356430,48.368349,51.842039,51.683135,41.792471,42.676643,43.144513,44.237567,45.631173,44.320031,44.066074,47.917439,49.267772,47.409271,48.854183,48.885092,41.795993,42.904958,42.888287,43.605463,44.182072,44.103735,43.626588,46.490221,48.393661,46.704408,47.834396,47.933895,45.523034,45.781855,46.164329,47.333947,48.200276,46.927773,47.683095,50.821233,52.118809,51.028627,52.183457,52.250604,315.251253
5760,45.520993,50.703889,51.657781,51.166894,54.163736,53.442798,49.530853,56.050702,58.312239,56.035515,58.371875,58.299771,43.251890,44.943548,45.739552,46.461661,48.950892,47.037931,44.948891,49.565776,52.354935,49.345803,52.772145,52.482680,42.344154,43.241318,43.794113,44.912558,46.495810,45.048911,44.562719,48.450741,49.620622,48.107823,49.347799,49.342639,42.596145,43.626436,43.659855,44.465998,44.871678,44.978677,44.310339,47.440126,49.208205,47.558000,48.751894,48.758483,45.969264,46.683978,46.529306,47.659789,48.342504,47.128017,47.871700,51.105051,52.544125,51.309771,52.453200,52.524258,322.050193
6400,45.958290,51.656089,52.704256,52.502327,54.970889,54.241762,50.315229,56.956637,59.428850,56.999721,59.433826,59.594818,43.848254,45.607856,46.163416,47.047786,49.515894,47.689958,45.724877,50.296290,53.168976,49.990848,53.534548,53.336906,42.637707,43.891498,44.343790,45.703509,47.114344,46.172119,45.389779,49.379361,50.555765,48.900182,50.109361,50.227612,43.486473,44.572698,45.338952,45.368051,47.048052,46.078334,46.062250,49.462490,51.762862,49.575055,51.229170,51.323862,46.970004,47.172802,47.786637,48.219550,49.439324,48.183293,49.486971,52.379703,54.138175,52.672513,53.933653,53.956610,335.787520
12800,51.136729,57.277022,58.805808,58.961722,61.559879,61.552358,55.858526,63.296343,66.471115,63.212726,66.752158,66.759431,47.456818,50.006149,51.097803,51.814685,55.127378,52.599594,49.570802,54.878985,58.849440,54.742205,59.173538,59.209851,46.297617,48.041186,49.067348,50.404594,52.464675,50.768569,49.536238,54.252166,55.390100,53.963280,55.103773,55.323320,46.836271,48.476080,48.924045,49.772413,50.902160,50.415557,49.066628,53.274670,55.386334,53.175039,54.903134,54.911094,52.243744,52.231877,53.719723,53.796959,55.063207,53.626368,54.033538,57.924614,59.784862,58.414258,60.010238,60.085876,419.649251
19200,54.348312,60.179212,62.541429,62.820591,66.685875,65.536758,59.119740,66.799514,70.468251,66.635595,70.645957,70.722695,49.766630,52.578692,55.097419,55.092432,59.272219,55.554583,51.847226,57.945888,62.574989,57.627999,62.954187,62.910048,48.311336,50.592348,51.850731,53.111018,55.512269,53.710812,52.183720,56.850633,58.768978,56.577278,58.580178,58.742141,49.091884,50.802056,51.858322,52.317807,54.454726,53.015058,51.732434,56.211467,59.216181,56.149226,58.699086,58.679718,53.967357,54.015200,55.541633,55.652238,57.211816,55.741081,55.965993,59.846391,62.038844,60.228891,62.115342,62.156963,388.554493
25600,56.157856,62.519897,64.740950,65.089862,69.469928,68.180310,61.267553,69.878544,73.423186,69.656192,73.597964,73.521687,51.300409,54.284026,57.258947,56.693748,61.666742,58.520475,53.792271,60.107952,65.126476,60.013765,65.374287,65.423850,50.006298,52.440321,53.535763,55.363020,57.951959,55.796720,54.040087,59.139654,60.997380,58.935946,60.745535,60.858942,50.556014,52.732375,53.725127,54.181996,56.527021,55.060381,53.376125,58.319395,61.108580,58.265838,60.851541,60.730403,55.820979,56.132996,57.693852,58.377939,59.856231,58.150951,57.950645,62.016059,64.244948,62.369235,64.347604,64.415296,373.489658
32000,57.840647,64.801484,66.854173,67.471709,71.873719,70.195326,63.148502,72.389633,75.896285,72.377362,76.108718,75.939883,53.021401,56.457065,59.436636,60.297307,64.215239,60.888771,55.543365,62.479941,67.406724,62.235154,67.520026,68.255442,52.042767,54.870257,56.603170,59.055071,62.191129,59.072963,56.618262,62.213800,65.096945,61.943538,64.463657,64.736679,52.590145,54.981767,56.611502,56.922434,60.065368,58.168583,55.798669,61.249230,65.169458,61.224225,64.738483,64.710184,57.772966,58.408238,60.771773,60.718766,63.277315,60.937565,60.408385,65.167301,67.911751,65.388275,68.066997,68.247655,432.381463
38400,59.209200,65.246930,69.133096,68.480081,73.804422,71.530476,64.049159,73.281780,77.109083,73.210423,77.293303,77.269476,54.136734,57.009168,61.902490,59.628625,65.877184,61.282874,56.404529,63.409688,68.587330,63.156111,69.118466,69.482393,52.153231,55.020512,56.460710,58.703966,62.010057,58.876697,56.659498,62.327209,64.745141,61.970406,64.246196,64.616391,52.553194,54.893192,56.518944,57.024309,59.597919,57.840128,55.575412,61.004860,64.590615,60.858284,64.187726,64.150009,57.778131,58.440794,60.538594,60.777773,63.222523,60.858623,60.153712,64.826077,67.678118,65.061217,67.701473,67.747512,411.137971
44800,60.086682,66.333310,69.257559,69.698959,74.906440,72.563987,65.133595,74.423832,78.254666,74.352898,78.311828,78.420423,55.049113,58.172051,62.860974,60.520082,66.849004,61.905043,57.492261,64.428430,69.721941,64.292021,70.132061,70.135277,52.928737,55.868689,57.617310,59.456882,63.253629,61.133986,57.722932,63.444084,65.668087,63.144618,65.317796,65.834358,53.386810,55.794171,57.329486,57.800942,60.689905,58.763968,56.573020,62.055904,65.634941,61.989450,65.629454,65.186365,58.882104,59.333855,61.623913,61.700737,64.243498,61.884128,61.352490,65.887830,68.663008,66.231313,68.659411,68.687355,395.487700
51200,60.854748,67.531407,70.588467,70.831957,76.387060,73.849042,66.025943,76.804823,79.823821,77.058659,79.843985,79.916356,55.895210,59.064929,63.726096,61.840971,68.216386,63.528342,58.258615,65.628343,71.165907,65.710473,71.354737,71.960419,53.808549,57.247672,58.592974,60.597412,64.693088,61.725537,58.662051,64.756295,67.075335,64.442471,66.715864,67.222354,54.156499,56.812572,58.326209,58.642533,62.039076,59.955167,57.497985,63.379803,67.078638,63.216975,66.641831,66.490660,59.482519,60.041634,62.290286,62.542711,65.495548,62.675675,62.164811,67.106933,69.811914,67.252275,69.764933,69.873313,384.050483
57600,61.795094,68.563913,71.724495,72.072203,77.652381,75.400101,66.804883,77.113486,80.939104,77.138090,81.132132,81.018053,56.664530,60.006148,64.799709,62.625184,69.273089,64.298364,59.208154,66.965147,72.483407,66.804477,72.714689,73.283063,54.682898,57.856439,59.528633,61.824481,65.766334,62.585004,59.518892,65.885444,68.089071,65.497093,67.743261,68.032103,55.036840,57.660669,59.165360,59.750821,63.009912,60.981497,58.320365,64.321143,68.171711,64.119858,67.541042,67.569781,60.342217,61.292787,64.093522,64.245662,66.758363,64.315447,63.111104,68.091275,71.011946,68.371316,70.852760,70.933422,370.992072
