Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64,Prezza
640,25.940998,27.013455,27.705049,28.258315,28.167954,28.379306,28.923199,30.437234,30.759069,31.352967,30.539438,30.769351,20.437238,22.152308,22.259692,24.251015,23.948027,24.881741,22.266295,25.521431,26.464901,26.568724,27.138037,26.507737,17.995906,19.190716,18.913244,20.298492,20.100165,20.224895,22.037345,21.835820,22.281853,23.020062,23.551765,22.393453,17.402244,19.039773,18.711026,20.179744,19.841668,20.231839,21.397942,21.487274,22.413498,22.655558,23.579779,22.439093,17.422317,18.988178,18.705194,20.082278,19.517500,20.239377,21.660051,21.524351,22.160355,22.789183,23.711576,22.278724,56.931672
1280,26.454825,28.083106,28.500144,29.354781,29.150453,29.506812,29.861686,31.282797,31.670485,32.024844,31.453932,31.687855,22.547772,23.637217,23.810250,24.345457,24.346104,24.424516,24.723453,27.075323,27.412197,27.998554,28.290317,27.475278,21.017389,22.473221,22.365941,24.452386,24.220150,25.128426,25.192607,25.839479,26.666410,26.526199,27.112311,26.431430,17.381167,19.106987,18.762835,20.246751,19.906859,20.289340,21.396635,21.475080,22.348821,22.725055,23.615000,22.450377,17.410857,19.087382,18.764891,20.171460,19.604807,20.282860,21.652859,21.567181,22.140467,22.846140,23.776210,22.266642,56.947742
1920,26.313370,27.916507,28.397700,29.019276,28.981370,29.105874,29.663130,31.023995,31.452314,31.858903,31.163531,31.516025,23.510132,25.045571,25.207575,26.373354,26.430684,26.695230,25.725055,28.698428,29.269134,29.551651,29.630483,29.218713,23.720440,24.546843,24.606142,25.491466,25.517045,25.715831,27.239643,27.387017,27.883581,28.205798,28.604171,28.023659,17.375726,19.073387,18.733011,20.246773,19.877891,20.263498,21.404241,21.480426,22.363406,22.693292,23.598673,22.458553,17.391948,19.064577,18.736614,20.158975,19.586398,20.247739,21.642127,21.529823,22.144071,22.805935,23.756944,22.244084,56.901761
2560,27.447368,29.041832,29.470432,30.224174,30.282632,30.568284,31.905000,32.024666,32.655285,33.496644,33.265001,32.619801,23.077261,24.581444,24.765987,26.096048,26.043310,26.363626,25.814048,28.266320,28.783576,30.257301,30.730432,28.830585,22.748108,23.558196,23.493754,24.284311,24.143452,24.286587,27.383917,26.962922,27.367999,28.403926,28.814845,27.296159,21.844807,22.857959,22.687986,24.737773,24.332109,25.179869,24.509020,25.980178,26.683566,27.466707,28.718042,26.775159,17.404688,19.041347,18.697017,20.125407,19.561608,20.244451,21.655575,21.514434,22.154503,22.856636,23.645928,22.318022,56.920231
3200,27.288974,28.937506,29.341496,30.113810,30.126937,30.421587,30.601579,31.896755,32.480666,32.651786,32.181006,32.502868,24.017121,25.235349,25.563912,26.780319,26.607649,27.008237,26.278014,28.677873,28.985216,29.349987,29.494943,29.131798,23.322152,24.459141,24.431245,25.922944,25.931402,26.132732,26.470182,27.504071,28.235610,28.702595,28.977090,28.162309,23.402147,24.062945,24.121365,25.568990,25.515734,25.746433,26.581933,27.082696,27.672394,27.719683,28.079880,27.922397,17.401774,19.029822,18.657968,20.105339,19.529453,20.227981,21.610608,21.497004,22.147272,22.776175,23.726268,22.241811,56.853578
3840,27.265390,28.843296,29.237075,29.954012,30.004309,30.309611,30.555426,31.893623,32.405541,32.618916,32.127611,32.404103,25.552808,27.002903,27.253230,28.352314,28.604551,28.978159,27.314782,30.461583,30.846767,30.825701,31.218650,30.910105,24.195975,25.284876,25.220890,26.323576,26.566753,26.654416,28.048608,28.770956,29.241859,29.425379,29.648559,29.203716,23.479753,24.447742,24.628376,25.444936,25.501333,25.390133,26.695351,27.172608,27.798633,27.948866,28.582920,27.954365,17.405782,19.007294,18.652399,20.121619,19.504160,20.204434,21.634509,21.527427,22.131115,22.769984,23.714409,22.248753,56.868352
4480,28.180523,30.077328,30.321144,31.220818,31.377045,31.648920,31.192992,32.633924,33.325541,33.412714,32.869263,33.198525,26.015918,27.219848,27.598285,28.342648,28.717644,28.976271,28.052837,30.912828,31.184863,31.073710,31.376170,31.223847,25.080971,25.747980,25.707814,26.765083,26.985549,27.264742,28.567292,29.119917,29.535101,29.759052,29.946594,29.666362,22.962753,24.036183,24.195951,25.007298,24.759081,24.694282,26.233913,26.977095,27.580874,27.770963,28.499631,27.742273,19.991810,21.776683,21.700410,23.848152,23.723803,24.248750,23.334460,24.455616,25.393836,25.612918,26.303932,25.501075,57.044909
5120,28.007897,29.836848,30.265644,31.315876,31.326483,31.514723,31.129149,32.640016,33.216548,33.383369,32.887818,33.158786,25.676579,26.974569,27.378546,28.092349,28.373802,28.752132,27.742194,30.701273,30.993140,30.987290,31.177140,31.011862,23.549046,24.662481,24.646091,25.973692,26.109923,26.303833,27.510792,28.157664,28.703969,28.956785,29.409749,28.637239,22.346273,23.496881,23.500703,24.512115,24.066608,24.093073,25.735176,26.716896,27.305683,27.508342,28.175105,27.444108,21.845602,22.704626,22.801043,24.706189,24.708116,25.188499,24.960935,25.954502,26.618923,26.848867,27.106916,26.848925,56.824985
5760,28.052606,29.812915,30.222445,30.979659,31.204318,31.372873,31.186418,32.531618,33.167758,33.351672,32.820354,33.114785,25.142981,26.602662,26.910726,27.833600,28.056503,28.391328,27.065611,30.181658,30.576700,30.586039,30.876044,30.575778,24.148743,25.028195,25.016847,26.320027,26.424265,26.729355,27.900954,28.432066,28.945937,29.118880,29.320133,29.005217,21.824890,22.928239,22.771647,24.032621,23.508927,23.603700,25.296770,26.437622,26.976404,27.145131,27.754165,27.079659,22.819804,23.410417,23.660267,25.339364,25.111394,25.624729,25.950947,26.693895,27.306749,27.591068,27.747218,27.653740,56.820329
6400,28.008813,29.767129,30.554011,31.113250,31.556027,31.489267,31.080100,32.937890,33.599894,33.683967,33.262253,33.547924,25.483427,26.838625,27.220449,27.894232,28.185349,28.573470,27.594169,30.559919,30.856231,30.848628,31.042219,30.896372,24.766405,25.417277,25.417862,26.621457,26.685251,26.931560,28.139210,28.579084,29.090743,29.313447,29.512130,29.194289,23.002144,24.459987,24.600758,25.922254,25.980483,26.110569,25.900376,27.464447,28.345049,28.598217,29.077149,28.849935,23.346136,24.013198,24.352698,25.611173,25.205076,25.764404,26.493141,27.117694,27.708967,27.955175,28.345046,28.048134,56.731533
