Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
640,37.056222,35.498078,37.042383,36.458005,38.041814,37.233369,37.034146,40.661226,42.416666,40.593789,42.591673,41.956114,31.922423,31.750190,33.097814,33.471925,34.146778,33.055566,33.566844,35.652214,37.030037,36.314262,36.944592,37.115725,30.975549,32.364770,31.176603,31.960874,31.812376,32.861892,33.452433,34.602512,35.255268,34.491868,35.593937,35.227155,31.070273,31.689869,31.115642,33.419141,32.217662,32.750415,33.092594,34.634194,34.984680,34.413882,35.546159,34.787355,30.927446,31.858098,31.265947,32.894998,32.242501,32.551668,32.687593,34.365429,35.127169,34.310390,35.125342,35.540274
1280,41.507590,39.937787,41.919937,42.096642,43.452428,42.450947,41.592349,45.822350,48.133800,45.838443,47.816857,47.639212,35.540185,36.032900,36.550400,37.092580,37.826081,37.369968,37.263097,39.604104,40.752948,39.764291,40.390056,40.648990,34.635222,35.335138,35.568441,35.241708,36.914442,35.826314,36.939349,39.210242,40.053883,39.166183,40.093548,40.024378,34.365843,35.515450,34.528990,36.883435,35.697957,36.262571,36.842991,38.399584,38.481488,37.951964,39.186834,38.529836,34.211675,35.891111,34.599941,36.472475,35.523162,36.342738,36.450765,38.177510,38.906459,37.973908,38.958049,39.518565
1920,44.370624,42.983768,44.966680,44.597749,46.521774,45.743742,44.404036,48.800712,51.412288,48.972362,51.092069,50.906665,38.546915,39.274277,40.599716,40.555102,42.241544,40.779926,40.826282,43.707243,45.218523,43.696061,44.783105,45.168676,37.534006,38.143875,38.352368,38.029431,39.530909,38.325014,39.474238,41.914847,42.527395,42.460400,42.904711,42.539565,37.189250,38.252209,37.247738,39.686815,38.259804,38.860649,39.530917,41.012073,41.162341,40.619779,41.747854,41.178415,37.048693,38.456394,37.513475,38.993507,38.153540,39.017646,39.117612,40.726030,41.732495,40.624658,41.718009,42.136372
2560,46.937860,44.234941,46.805807,46.512480,48.685309,47.517588,46.571564,51.155927,54.007355,51.311910,53.728563,53.412802,39.468442,40.220490,41.280219,41.487292,43.375608,42.012784,41.712728,44.595104,46.029582,44.987704,45.589263,46.057247,38.423334,39.087782,39.175331,39.384127,40.293285,39.731497,40.319764,42.863296,43.464263,42.904676,43.886763,43.551181,39.354194,39.685506,40.438274,40.987734,41.916869,40.911802,41.432317,43.367776,44.630626,43.666957,44.971106,44.619650,40.924030,42.281140,41.414101,42.957635,41.908362,42.531083,42.833527,44.571340,45.462958,44.239972,45.379765,45.835683
3200,48.642037,45.891810,48.665015,48.343695,50.299108,49.198198,49.109912,52.983041,55.801013,52.936491,55.406751,55.105988,40.862791,41.677441,42.611258,43.271479,44.614458,43.695164,43.049245,46.139551,47.754357,46.207165,47.251511,47.771992,40.003053,40.612689,41.766295,41.087759,43.125313,41.791402,42.400908,45.280449,46.641293,45.443875,47.013336,46.636605,40.743644,41.158438,41.694332,42.341544,43.339889,42.232096,43.276618,44.729535,46.045985,45.077676,46.239132,45.830493,43.881887,45.280779,44.499164,45.897954,45.026813,45.510361,45.598347,47.338885,48.250804,47.077306,48.200375,48.605538
3840,50.487057,47.304348,50.514514,50.213954,51.945239,51.091254,50.307021,54.989382,57.169019,55.059565,56.949306,56.640558,42.518176,43.582886,45.299917,45.178934,47.624967,45.771194,45.181761,48.900431,50.795846,48.890045,50.657379,50.832706,41.507294,42.220468,43.444533,42.883072,44.806791,43.436218,43.980073,47.014711,48.200970,46.982238,48.734836,48.236402,42.287120,42.712792,43.301424,43.914262,45.028479,43.949360,44.598861,46.690773,47.770545,46.823506,48.061402,47.705446,46.477186,47.996647,47.145087,48.522514,47.689142,47.972962,48.136843,50.014323,50.795395,49.600837,50.746552,51.180441
4480,52.592297,48.139950,51.981752,51.589335,54.885423,53.507981,52.351252,56.922930,59.516769,56.992295,59.293954,59.035934,42.846240,43.829943,45.665003,45.557961,47.856841,46.012725,45.653543,49.410876,51.051347,49.252172,50.679239,51.094563,41.714476,42.462881,43.459227,43.038257,45.089872,43.784678,44.290153,47.417471,48.521474,47.655629,49.015797,48.475014,42.724876,43.360450,43.697894,44.637870,45.279433,44.582443,44.810401,47.080083,48.003519,47.099766,48.243025,48.077710,47.923807,48.109632,49.264728,49.501506,50.244136,49.443025,50.561488,51.834368,53.326193,52.008862,53.303055,53.963448
5120,53.285745,48.812262,52.461615,52.146162,55.581108,53.529093,53.273834,57.679854,60.424384,57.823873,62.271405,60.051683,43.208417,44.233056,45.683644,46.036279,48.224147,46.399303,45.995081,49.817914,51.941418,49.797122,51.198269,51.778737,42.205413,42.841791,43.904209,43.641760,45.991622,44.306102,44.784233,47.964134,49.188494,47.947537,49.694515,49.224971,42.864626,43.622590,43.930958,44.895235,45.555515,44.904174,44.952858,47.280462,48.219537,47.462610,48.632330,48.302562,47.426217,48.181338,48.759715,49.019865,49.683436,49.037919,50.126045,51.427331,53.008529,51.566345,52.938936,53.570903
5760,54.533969,49.385051,52.968300,52.849828,55.705577,53.840489,54.145360,58.096767,61.051440,58.098532,60.841267,60.613735,43.982120,45.032346,47.225041,46.539653,49.386883,47.322939,46.831603,50.839124,52.807463,50.779982,52.362953,52.913623,42.931390,43.653286,44.781440,44.529254,46.366802,45.097094,45.591428,48.907610,50.145949,48.692447,50.699655,50.147330,43.884878,44.665615,45.071438,45.835508,46.679216,46.035935,46.550011,48.886741,49.689592,49.098639,50.191082,49.780345,47.825059,48.673599,48.901560,49.347695,49.927391,49.427546,50.663106,52.176297,53.766245,52.252334,53.717396,54.448097
6400,54.875790,50.640661,54.769722,54.175002,56.885079,54.989426,54.929540,59.451225,62.237152,59.268955,62.065964,61.873174,44.558463,45.940848,47.568454,47.433353,50.110944,48.111732,47.523387,51.194586,53.385733,51.519790,52.869884,53.368321,43.554687,44.376737,45.410840,45.430366,46.904331,46.139669,46.131838,49.411721,50.734421,49.409665,51.284444,50.771397,45.223613,45.617103,46.912231,47.035201,48.837618,47.375590,47.419090,50.398860,51.706202,50.623177,52.113741,51.991235,49.117358,49.843928,49.973390,50.599714,51.204127,50.495239,51.415975,52.944407,54.530399,53.056900,54.527958,55.103238
