Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[$16$]fixed,byte[$16$]byte,bit[$16$]bit,fixed[$16$]byte,fixed[$16$]bit,byte[$16$]bit,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[$16$]fixed8,byte[$16$]byte8,bit[$16$]bit8,fixed[$16$]byte8,fixed[$16$]bit8,byte[$16$]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[$16$]fixed16,byte[$16$]byte16,bit[$16$]bit16,fixed[$16$]byte16,fixed[$16$]bit16,byte[$16$]bit16,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[$16$]fixed32,byte[$16$]byte32,bit[$16$]bit32,fixed[$16$]byte32,fixed[$16$]bit32,byte[$16$]bit32,fixed[F]64,fixed[$\ell$]64,byte[F]64,byte[$\ell$]64,bit[F]64,bit[$\ell$]64,fixed[$16$]fixed64,byte[$16$]byte64,bit[$16$]bit64,fixed[$16$]byte64,fixed[$16$]bit64,byte[$16$]bit64
640,24.695972,26.325820,27.336696,27.997122,29.035975,28.694027,28.330863,30.330952,30.397144,30.653927,31.151696,30.529899,20.753428,22.053942,22.067469,24.695527,23.894985,24.700857,24.172354,24.876188,26.458739,25.989738,26.839253,26.292645,17.302982,18.216027,18.065665,19.974047,18.916349,19.926747,21.435704,21.445134,22.355037,22.501303,23.600993,22.288877,17.285004,18.238152,18.136046,19.904114,19.418001,20.171332,21.385809,21.387869,22.516407,22.544461,23.660239,22.333304,17.269537,18.205174,18.068377,19.977052,19.164607,20.213955,21.402552,21.441386,22.332308,22.549862,23.309531,22.282413
1280,26.108268,27.595726,28.613013,29.279034,29.365562,29.602203,29.000730,31.410683,31.469538,32.039402,32.188894,31.571150,22.009060,23.147066,22.873082,24.165527,23.861969,24.119318,25.904339,26.470378,27.469015,27.408861,28.407143,27.150851,20.935279,22.153647,22.304511,24.680309,24.469926,24.975834,23.999527,25.304230,26.756507,26.587157,27.883885,26.556103,17.296765,18.522501,18.407351,19.939290,19.486546,20.184025,21.507998,21.375970,22.439879,22.878170,23.911575,22.285606,17.288569,18.747542,18.271651,19.954434,19.318381,20.185736,21.607038,21.459942,22.244193,23.136171,23.649488,22.241723
1920,25.938398,27.481067,28.392652,29.054700,29.200114,29.275986,29.074971,31.300822,31.339392,31.740985,31.934004,31.414180,22.963497,24.483021,24.835976,26.433709,26.087059,26.288222,27.002005,28.544036,29.529427,29.501729,29.824229,29.302817,22.988827,23.951195,24.151270,25.165646,25.126571,25.220411,26.621776,26.887120,27.804703,27.643356,28.546841,27.626470,17.283105,18.192338,18.184055,19.976016,19.411943,20.284865,21.382963,21.376128,22.502974,22.593903,23.618907,22.342451,17.255381,18.232329,17.907733,19.992691,19.084103,20.175589,21.479767,21.458297,22.329199,22.568044,23.302935,22.256403
2560,27.072521,28.547385,29.606769,30.116733,30.259793,30.666801,29.938214,32.118380,32.347687,32.937038,33.025989,32.342187,22.598163,23.968638,24.410448,26.136348,25.912966,26.026675,26.798338,27.948623,29.052316,28.950057,29.421987,28.830880,21.995839,22.707359,22.939322,23.941788,23.698262,24.099529,25.635951,26.494035,27.234376,27.298256,28.112549,27.086550,21.242854,22.078481,22.716178,24.785345,24.479642,25.075728,25.175480,25.616478,26.861710,26.381623,27.705171,26.781550,17.260643,18.179988,18.056771,19.986079,19.223173,20.198862,21.444320,21.435252,22.319994,22.538186,23.301498,22.211373
3200,27.254223,28.460883,29.343185,30.071631,30.160408,30.588652,29.907873,32.091140,32.254560,32.836538,33.003320,32.275881,23.929931,24.722575,25.067392,26.609337,26.376803,26.449848,27.887723,28.554651,29.249541,29.241939,29.907918,28.962340,21.966567,23.991120,24.308317,25.929340,25.982594,25.932533,25.337735,27.522722,28.549882,27.957152,29.082843,28.202144,22.838749,23.432148,23.950389,25.409572,25.357547,25.613501,26.824730,26.887014,27.702032,27.711425,28.595805,27.685215,17.269988,18.201145,18.055096,19.904171,19.281750,20.081584,21.450389,21.684421,22.522361,22.568841,23.311654,22.536991
3840,26.980820,28.327845,29.236939,29.912124,30.043584,30.409466,29.711255,32.030778,32.176658,32.759581,32.812299,32.190623,24.844257,26.627874,26.831802,28.336533,28.230670,28.097969,28.621479,30.240293,30.996559,30.850269,31.513771,30.610155,23.153688,24.673657,24.870347,26.278278,26.336858,26.316742,26.720217,28.361332,29.467723,29.102009,29.956191,29.234423,22.948457,23.908803,24.244529,25.090204,25.044023,25.204792,26.898011,26.946638,27.806531,27.701892,28.639108,27.753433,17.246180,18.193699,18.051925,19.932389,19.234379,20.191035,21.452420,21.434201,22.305231,22.537170,23.302653,22.244654
4480,27.872605,29.282502,30.345008,30.975881,31.211147,31.720398,30.521928,32.337717,33.179593,33.314006,33.746235,32.937940,25.314561,26.869172,27.078282,28.311553,28.209408,28.151745,29.166277,30.763808,31.368346,31.249582,31.706577,30.951449,24.094761,25.125535,25.511013,26.688836,26.688221,26.780453,27.449131,28.743568,29.675125,29.431695,30.174411,29.460268,22.481938,23.376782,23.551206,24.433512,24.380017,24.544792,26.872985,26.778355,27.609841,27.563972,28.413644,27.503739,19.596424,21.139436,21.782817,23.883339,23.443990,24.350903,22.849365,24.524344,25.910089,25.331688,26.500437,25.709071
5120,27.744082,29.182241,30.237930,30.901378,31.066551,31.602486,30.486895,32.388372,33.117211,34.671692,35.262235,32.912928,25.155319,26.581757,26.802623,28.093728,27.892730,27.853148,28.924655,30.497181,31.521066,31.104374,32.827330,30.793250,22.727260,23.968319,24.483084,25.934248,25.907059,25.985925,26.265696,27.786125,28.889408,28.506284,30.462753,28.674681,21.850270,22.620860,22.769949,23.873220,23.678098,24.066038,25.711761,26.481396,27.299856,27.276285,28.697044,27.173627,21.487264,22.097047,22.667857,24.866929,24.216899,25.169466,24.874313,25.918666,26.997856,26.665301,28.534354,26.980703
5760,27.853034,29.262477,31.249618,31.065042,31.395832,32.459746,30.564689,33.168161,33.286178,33.983082,33.959922,33.104039,24.700922,26.658560,26.512656,27.918477,27.680722,27.672289,28.445481,30.037644,30.811715,30.679646,31.131599,30.452447,23.566007,24.336224,25.022679,26.316792,26.779121,26.864509,27.033343,28.314753,29.387335,29.001998,30.110636,29.248125,21.580060,22.059227,22.481838,23.616032,23.387958,23.859410,25.249192,26.498159,27.304688,27.362246,28.139958,27.082193,22.724501,23.127398,23.576047,25.860043,25.127850,25.914111,26.208002,27.048737,27.913668,27.776788,28.758614,27.740977
6400,27.713283,29.126972,30.130943,30.825686,30.968404,31.461424,30.414446,32.327166,33.059181,33.257099,33.623605,32.800211,24.941899,26.535816,26.637275,27.943490,27.743046,27.651190,28.801920,30.355730,31.035168,30.950796,31.421575,30.678119,23.996419,24.860238,25.261519,26.455668,26.513834,26.513059,27.438327,28.184083,29.115880,28.991749,29.682850,28.969018,21.939744,23.945148,24.628478,25.920223,25.751210,25.949122,25.904522,27.113069,28.619290,28.023831,29.330180,28.432978,23.048655,23.289919,23.944942,25.373052,25.180259,25.607937,26.472217,26.965108,27.777765,27.723338,29.400843,27.599624
