Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,39.578630,42.717610,45.593720,39.781630,41.887280,47.255720
110,39.881680,42.608180,45.933940,39.672810,41.787230,47.408300
120,39.558140,42.553900,45.611340,39.620770,42.123390,47.267470
130,40.047060,43.807770,46.820900,40.963830,43.447980,48.280260
140,40.047130,43.721990,46.771820,41.132410,43.747260,48.314390
150,40.030890,43.640480,46.767490,40.927500,43.451160,48.372430
160,40.050360,43.647480,46.735710,40.608830,43.387280,48.382020
170,39.978450,43.589190,46.696330,40.867180,42.924080,47.904840
180,39.998030,43.531310,46.770310,40.838360,42.945080,48.188290
190,40.266650,43.700980,46.962590,40.790920,43.408630,48.328800
200,39.905140,43.652170,46.850980,40.632180,43.248520,48.154570
210,40.188890,43.517920,46.621260,40.624830,43.289120,48.004840
220,39.884140,43.530880,46.651880,40.506050,42.845820,48.165950
230,39.992140,43.435550,46.460110,42.650850,42.833180,47.583960
240,39.848960,43.428640,46.579740,40.154060,42.536420,47.626070
250,39.854850,43.383920,46.564810,40.431340,42.587610,47.663480
260,40.516550,44.729040,47.758660,40.883660,43.568640,48.375010
270,40.500850,44.657030,47.724220,40.778390,43.491800,48.241950
280,40.471350,45.057270,47.932280,40.821810,43.599940,48.294180
290,40.813790,45.230450,48.404100,41.053750,43.422510,48.267250
300,40.747930,44.805460,48.042290,40.741010,43.392410,48.290340
310,40.839420,44.990620,47.977810,40.762950,43.338330,48.189430
320,40.774130,44.871920,48.102830,40.738510,43.517960,48.421060
330,41.583000,45.655780,48.338770,40.812300,43.350400,48.483750
340,40.779630,45.104170,48.357060,40.752390,43.662270,48.368210
350,41.011120,44.634420,48.191100,40.704200,43.261230,48.102440
360,40.949490,45.266290,48.546150,40.732300,43.309650,48.199960
370,40.740890,44.960170,48.225010,40.736540,43.281160,48.185410
380,40.998910,44.820700,47.892430,40.709580,43.226880,48.090090
390,40.678420,45.346840,48.121990,40.740820,43.358580,48.198670
400,40.512130,44.827600,47.962650,40.742190,43.414360,48.183210
410,40.738020,44.723130,48.327690,40.709130,43.361950,48.097790
420,41.040440,45.083870,48.060400,40.727720,43.298130,48.185410
430,40.668580,44.696750,47.910700,40.686480,43.240970,48.353130
440,41.006050,44.890410,48.394250,40.646160,43.245510,48.401360
450,40.643990,45.222320,48.136640,40.676230,43.323040,48.471260
460,40.742560,44.741680,47.941430,40.683170,43.304380,48.061300
470,41.141160,44.683470,48.165760,40.637630,43.255010,48.094580
480,40.753730,44.736160,48.093840,40.682080,43.338730,48.182540
490,40.667260,44.578410,47.942230,40.617320,43.456820,48.108810
500,40.859840,44.551750,47.781380,40.657050,43.300420,48.187270
510,40.904200,44.554560,48.136180,40.652110,43.135870,48.055560
520,41.566550,46.159220,49.177140,41.054360,44.260770,49.425980
530,41.376190,46.013100,49.395030,41.219980,44.220710,49.374030
540,41.290080,46.069290,49.302110,41.178570,44.175440,49.243650
550,41.590670,46.048870,49.081050,41.195210,44.223620,49.264180
560,41.296040,46.187210,49.350870,41.199920,44.154770,50.044330
570,41.531520,45.743060,49.358450,41.163710,44.098710,49.112980
580,41.532960,46.123270,49.301500,41.211550,44.125320,49.232170
590,41.499440,46.299740,49.234680,41.167010,44.108780,49.181720
600,41.534020,46.302050,49.053880,41.154820,44.298460,49.215610
610,41.294110,45.758840,49.280600,41.197160,44.106800,49.140270
620,41.523940,45.906870,49.284090,41.170380,44.053220,49.123300
630,41.265490,46.175880,49.192000,41.167460,44.005610,49.072270
640,41.518200,46.023460,49.029530,41.207240,44.107490,49.360020
650,41.256670,45.867960,49.279750,41.143710,44.140470,49.173260
660,41.466830,45.902330,49.223980,41.166750,44.934500,51.998560
670,41.187180,45.818430,48.892980,41.137770,44.103970,49.129160
680,41.437940,45.912150,48.932740,41.161550,44.015820,49.049500
690,41.486380,45.650490,49.220910,41.141460,44.005210,49.024140
700,41.207520,45.534940,48.941010,41.127470,43.961270,49.017950
710,41.626340,46.971330,50.895630,41.150330,44.009460,49.054080
720,41.246680,45.697800,48.948720,41.145320,44.204750,49.063180
730,40.967430,45.635810,48.919980,41.135100,43.982310,48.991870
740,41.207580,47.146060,50.707120,41.411030,45.083790,49.000760
750,40.938580,45.583080,48.883570,41.099170,43.888040,48.987940
760,41.237220,45.513030,48.598990,41.138600,43.902150,48.929450
770,41.479870,45.618950,49.170510,41.138490,44.222050,49.154350
780,41.452470,45.761330,48.916670,41.107120,44.069710,49.218550
790,41.470640,46.203740,49.181450,41.119620,44.097770,49.086890
800,41.223920,45.829230,49.203490,41.153980,44.271120,49.079540
810,41.434900,45.956570,48.963460,41.127450,44.033150,49.038050
820,41.163850,45.853890,49.217500,41.122900,44.272020,48.967940
830,41.161770,45.821510,48.808760,41.113530,43.970740,49.201570
840,41.155090,45.838520,48.936840,41.136990,44.007410,49.319400
850,41.198400,45.606900,48.846820,41.117760,43.998660,48.965360
860,41.145200,45.510170,49.085630,41.090960,44.300880,49.016480
870,41.156850,45.568310,49.077800,41.092240,43.960950,48.896080
880,41.170290,45.518660,49.116350,41.094620,44.009540,48.946850
890,41.134460,45.532430,48.791460,41.377380,44.193930,48.930470
900,41.414750,45.839280,48.903680,42.166950,44.021250,49.005510
910,41.389730,45.635520,48.845380,41.132330,43.968660,48.925180
920,41.115260,45.518620,48.814230,41.093450,43.927600,48.939240
930,41.383790,46.036810,48.781900,41.084770,43.945590,48.907680
940,41.139160,45.517250,48.720120,41.296960,43.954900,48.833250
950,41.399760,45.694880,48.995770,41.048860,43.909760,48.890650
960,41.400770,45.785280,48.753830,41.109680,43.964590,48.952450
970,41.118000,45.647370,48.913270,41.109700,43.983740,48.904970
980,41.133620,45.657680,48.787950,41.582130,43.900650,48.904310
990,41.107910,46.196560,48.699290,41.041620,43.900360,48.877270
1000,41.078100,45.685710,48.963850,41.060130,43.894150,48.877900
1200,42.016040,46.568640,50.193340,41.564780,44.798830,50.152220
1400,41.932620,46.344420,50.084860,41.524910,44.584920,50.006920
1600,41.983300,46.474310,49.853860,41.552360,44.689880,50.130980
1800,41.704240,46.423610,49.841230,41.505550,44.644810,50.030120
2000,41.617100,46.262380,49.902610,41.471940,44.593890,50.146420
