Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,28.313700,29.912730,33.294320,26.909020,28.730850,32.602030
110,27.943300,30.109040,33.475500,26.445400,28.829450,32.507190
120,28.009900,30.286640,33.872590,26.121270,29.290510,33.309430
130,28.267220,30.841900,34.445830,26.984470,29.824000,33.848830
140,28.451130,30.662760,34.330470,27.124050,30.096780,33.955890
150,27.980960,30.668960,34.105300,27.101410,29.887220,33.711420
160,28.131200,30.729660,34.271090,27.067190,29.920220,33.629110
170,27.858020,30.568600,34.154740,26.509860,30.390600,33.585910
180,27.723510,30.669020,34.252160,26.587410,29.613810,33.965120
190,28.431200,31.147690,34.865950,26.958580,29.828730,34.260060
200,28.758480,30.891960,34.745910,27.011050,29.866340,34.008250
210,28.022150,31.169740,34.578930,26.897490,30.111630,34.044830
220,28.309330,31.001330,34.694680,26.843160,29.919200,34.680080
230,28.265620,31.139280,34.759870,26.822760,30.378540,34.130160
240,28.378420,31.231590,34.943120,26.683420,29.843050,34.014240
250,28.437360,31.493030,35.278360,26.987990,30.007620,34.354180
260,28.671120,31.699720,35.505240,27.040890,30.248320,34.418490
270,28.686810,31.631190,35.482550,27.061960,30.199670,34.715340
280,28.366480,31.644330,35.502590,27.167390,30.177370,34.521140
290,28.560810,31.871060,36.007780,27.036430,30.124830,34.372250
300,29.232230,31.815810,35.798840,27.114330,30.062800,34.518090
310,28.888310,31.801340,35.808230,26.975120,30.117430,34.358310
320,28.899070,31.917190,35.684000,27.249420,30.196980,34.560570
330,29.127920,32.200250,35.925850,27.118490,30.161360,34.400610
340,28.751750,31.893060,35.352680,27.068060,30.112370,34.398760
350,28.874590,31.930850,35.794740,26.796130,30.163310,34.396240
360,28.333550,31.806480,35.647380,26.980820,30.191050,34.349370
370,28.046000,31.970230,35.715510,26.457110,30.776040,34.457690
380,28.171960,32.394840,36.193700,27.077900,30.371700,34.961970
390,28.797320,32.175810,36.311740,26.970140,30.406820,34.717790
400,29.133530,32.230690,35.870210,27.077330,30.395590,34.672920
410,28.856460,32.154060,36.187310,26.958160,30.382440,34.681080
420,29.707720,32.352700,36.142880,27.142120,30.425540,34.723280
430,29.020440,32.223920,35.939130,26.966220,30.427790,34.599370
440,28.895500,32.435620,36.139640,26.873600,30.536390,34.665280
450,29.569510,32.642700,36.160440,27.214330,30.569990,35.105880
460,28.991110,32.523670,36.174450,27.135130,30.585670,34.815230
470,29.145820,32.508590,36.804070,27.083350,30.605640,34.866440
480,29.363290,32.547140,36.407780,27.175430,30.696620,34.975680
490,28.669910,32.655090,36.416500,26.954330,30.732510,35.022790
