Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,40.267630,42.779320,46.309780,39.328080,40.860030,45.073660
110,40.535670,42.804590,46.646820,38.911130,40.893900,44.809720
120,40.242600,42.625730,46.450180,39.286360,41.042250,45.123450
130,41.046370,44.154850,47.889640,39.671000,42.114750,46.060360
140,41.275190,44.010500,47.808740,39.809190,42.457310,46.272870
150,40.948480,44.081260,47.664100,39.554600,41.824320,45.651660
160,40.982930,43.681750,47.721010,39.629370,41.917520,45.957090
170,40.837850,43.543240,47.492080,39.468540,41.980210,45.786230
180,40.902900,43.553530,47.443310,39.319330,41.652000,45.831430
190,40.829380,43.443520,47.384050,39.335870,41.590330,45.788640
200,40.892460,43.631640,47.763250,39.265660,41.763050,45.661890
210,41.235460,43.610060,47.913280,39.238970,41.973290,45.519260
220,41.154230,43.860500,47.716840,39.675440,41.662180,45.612270
230,41.053670,43.567740,47.405680,39.265440,41.659980,45.629530
240,41.107560,43.837000,47.668070,39.179740,41.718690,45.653980
250,40.885480,43.820120,47.913240,39.353200,41.519490,45.500110
260,41.922790,44.950330,49.148860,40.024610,42.789240,46.808120
270,41.922060,44.809510,48.545850,39.795480,42.682630,46.665770
280,41.644670,44.480400,48.649120,40.062260,42.730540,46.804470
290,41.642090,44.780140,48.901980,39.795810,42.573950,46.775330
300,41.580090,44.407240,48.587550,40.008020,42.821230,46.829020
310,41.861840,44.666370,48.530880,39.818220,42.618910,46.786210
320,41.583190,44.898030,49.098770,39.824880,42.883640,46.805390
330,41.888100,45.224860,48.775950,39.724890,42.497130,46.697970
340,41.859570,44.802600,48.977490,39.762750,42.441510,46.815760
350,41.749210,44.270070,48.392560,39.714500,42.325360,46.594370
360,42.027850,45.041330,48.733980,39.882560,42.515490,47.028550
370,42.023230,44.642200,48.755120,39.733310,42.494450,47.038070
380,41.916030,44.503150,48.739060,39.707640,42.476240,46.613460
390,41.817390,44.675500,48.681820,39.788000,42.561910,46.709260
400,41.824820,45.035210,48.584620,39.728650,42.474190,46.785530
410,41.723850,44.654660,48.708510,39.743660,42.432550,46.656390
420,41.849830,44.615740,49.855180,40.232820,42.429170,46.652480
430,41.794480,44.612410,48.642020,39.725330,42.392330,46.780200
440,41.751480,44.761500,48.846380,39.781540,42.421940,46.771310
450,42.005520,44.601020,48.781330,40.133280,42.485330,46.887100
460,41.692810,44.636260,48.714750,39.733070,42.562300,46.565580
470,41.746630,44.509860,48.614420,39.868540,42.427300,46.728260
480,41.915770,44.257490,48.314480,39.807830,42.400400,46.742510
490,41.334970,44.253220,48.284660,40.027180,42.516970,46.458100
500,41.387920,44.198860,48.286170,39.896460,42.591310,46.435400
510,41.617090,44.123160,48.251870,39.829220,42.197200,46.728120
520,42.530610,45.386390,50.106080,40.595730,43.384200,47.931790
530,42.577630,45.875860,49.839770,40.968870,43.641140,47.853650
540,42.152060,45.705050,49.886760,40.533620,43.755100,47.942470
550,42.500770,45.556660,49.592720,40.567380,43.368880,47.692100
560,42.620200,45.672920,50.182980,40.471220,44.593960,48.040400
570,42.729170,45.183680,49.830210,40.409870,43.616950,47.968840
580,42.515870,45.429600,49.811820,40.907080,43.251970,48.759520
590,42.150050,45.213190,49.834070,40.564000,43.348790,47.804880
600,42.404190,45.169390,49.549040,40.552320,43.584800,47.761890
610,42.147300,45.247120,49.697000,40.544910,43.477290,47.738910
620,42.114960,45.143180,49.634100,40.739750,43.656130,47.902990
630,42.137190,45.092050,49.481180,40.292020,43.223960,47.772000
640,42.161100,45.517880,49.604960,40.340470,43.232230,48.066520
650,42.153670,45.183000,49.507300,40.418770,43.321320,47.789930
660,42.107440,45.122400,49.514300,40.431700,43.372840,47.483520
670,42.091560,45.070590,49.406740,40.214410,43.742160,48.029610
680,42.139290,45.132350,49.715560,40.604300,43.264940,47.899250
690,42.069550,45.060770,49.697130,40.520340,43.102030,47.734030
700,42.031550,45.071510,49.442310,40.230250,43.329850,47.655570
710,42.118900,45.099540,49.433580,40.358940,43.594570,47.672380
720,42.064070,45.113180,49.441980,40.175080,43.433680,48.271370
730,42.039820,45.053950,49.334930,40.450620,43.478820,47.985710
740,42.050130,45.016750,49.674440,40.406030,43.307860,47.766490
750,42.098800,44.980690,49.634160,40.404650,42.985750,47.439190
760,42.538460,45.449750,49.843030,40.388210,43.055030,47.868580
770,42.151030,45.248800,49.548370,40.262470,43.584410,47.793840
780,42.096980,45.206920,49.470830,40.620650,43.202270,47.906690
790,42.126990,45.613320,50.699960,40.141360,43.683630,47.665410
800,43.644010,46.462270,50.480870,40.220990,43.221100,47.763200
810,42.055990,45.113950,49.822960,40.547600,43.410920,47.298490
820,42.059390,45.116300,49.367390,40.280500,43.110060,47.606580
830,42.088340,45.178700,49.536360,40.134970,43.248590,47.572680
840,42.103300,45.163860,49.793160,40.208420,43.404250,47.733340
850,42.425210,45.344560,49.381940,40.465700,43.498350,47.342760
860,42.098390,45.068400,49.668100,40.275570,43.194640,47.291690
870,42.052480,45.022880,49.758860,40.464570,43.073330,47.405610
880,42.384100,45.396620,49.732920,40.390520,43.211540,47.819330
890,42.307610,45.297650,49.615430,40.339380,43.329700,47.496170
900,42.347230,45.384800,49.473010,40.429560,43.348760,47.674910
910,42.356330,45.354770,49.628110,40.461730,43.558570,47.667540
920,42.358340,45.021470,49.323430,40.190990,43.143140,47.555720
930,42.321990,45.372280,49.312110,40.143140,43.215150,47.685610
940,42.011200,45.213230,49.568950,40.367180,43.090170,47.606250
950,42.305530,44.979420,49.580740,40.561900,43.095430,47.614430
960,42.299380,45.422380,49.582040,40.150480,43.443810,47.701380
970,42.376820,45.408910,49.603280,40.323500,43.339600,47.603270
980,42.397210,45.291600,49.658800,40.280680,43.085450,47.752520
990,42.350690,45.283810,49.682730,40.260340,43.088240,47.299390
1000,42.302190,45.250760,49.831480,40.512660,43.382280,47.733900
1200,42.987380,46.248730,50.707920,40.579270,44.014680,49.037500
1400,42.879320,46.212450,51.063100,40.844230,43.765360,48.822390
1600,42.960090,46.181280,50.690140,40.729740,43.933870,48.661680
1800,42.925430,46.210600,50.877780,40.728290,44.135830,48.985100
2000,42.841890,45.995820,50.503660,40.845130,43.989890,48.709600
2200,43.633890,46.995000,51.813610,40.940780,44.720260,49.780900
2400,43.526020,46.944760,51.596490,40.948020,44.553000,49.446610
2600,43.464470,46.966860,51.713640,40.979250,44.590900,49.696780
