Elements,fixed[F]holes,byte[F]holes,bit[F]holes
100,41.820000,191.530000,32.220000
110,40.054545,53.945455,42.409091
120,32.966667,43.308333,28.900000
130,141.492308,40.607692,31.900000
140,26.950000,35.164286,29.450000
150,24.900000,33.540000,29.293333
160,21.456250,35.481250,27.093750
170,23.170588,29.958824,25.970588
180,21.050000,28.866667,21.394444
190,95.752632,28.200000,23.536842
200,18.975000,29.200000,19.795000
210,86.200000,27.695238,21.633333
220,17.813636,30.918182,25.336364
230,78.713043,24.313043,20.617391
240,75.233333,84.712500,19.733333
250,14.744000,27.280000,23.012000
260,14.669231,23.553846,19.750000
270,14.800000,23.200000,17.644444
280,64.500000,22.585714,16.128571
290,62.262069,21.324138,18.313793
300,60.676667,21.040000,16.706667
310,12.687097,22.387097,17.316129
320,12.387500,22.059375,17.259375
330,12.024242,21.169697,17.784848
340,12.173529,20.358824,16.258824
350,52.311429,19.362857,15.214286
360,11.216667,19.930556,16.447222
370,10.959459,19.618919,15.348649
380,10.702632,18.644737,15.436842
390,10.648718,18.105128,15.100000
400,10.107500,17.705000,14.002500
410,10.043902,19.026829,15.131707
420,44.330952,18.659524,15.590476
430,42.667442,18.241860,14.890698
440,42.688636,17.068182,48.309091
450,9.082222,16.853333,13.777778
460,40.093478,17.413043,14.106522
470,39.706383,16.863830,13.063830
480,38.447917,17.045833,14.637500
490,37.328571,15.844898,12.548980
500,37.350000,16.526000,13.606000
510,8.484314,16.596078,12.286275
520,9.463462,44.173077,13.571154
530,9.283019,16.084906,13.516981
540,9.385185,15.364815,13.557407
550,35.130909,42.334545,39.525455
560,9.521429,15.978571,13.267857
570,33.885965,15.661404,12.212281
580,9.262069,15.932759,12.472414
590,8.750847,15.030508,13.174576
600,8.676667,15.528333,12.846667
610,31.711475,14.877049,12.639344
620,31.466129,38.477419,11.998387
630,30.852381,14.600000,11.931746
640,8.060937,14.407813,12.623437
650,8.010769,14.753846,11.953846
660,30.030303,14.169697,11.883333
670,7.641791,14.567164,11.765672
680,8.001471,41.844118,12.108824
690,28.415942,34.410145,11.865217
700,7.372857,13.640000,12.155714
710,7.567606,14.052113,11.271831
720,7.448611,13.865278,31.951389
730,7.353425,14.019178,11.968493
740,6.994595,13.414865,11.935135
750,26.054667,14.034667,11.786667
760,6.981579,13.636842,11.857895
770,25.759740,13.659740,11.189610
780,6.993590,13.452564,29.526923
790,24.548101,13.315190,11.702532
800,6.980000,13.840000,11.243750
810,18.053086,13.544444,11.650617
820,6.773171,13.043902,10.989024
830,6.516867,13.037349,11.128916
840,6.623810,12.879762,11.530952
850,23.180000,13.207059,27.872941
860,6.640698,13.108140,10.891860
870,22.528736,12.809195,11.225287
880,6.079545,13.172727,11.398864
890,22.275281,12.889888,11.057303
900,6.136667,13.265556,11.048889
910,6.367033,12.894505,11.371429
920,6.004348,12.475000,10.485870
930,6.110753,13.002151,10.951613
940,21.182979,12.893617,10.997872
950,21.025263,12.872632,10.620000
960,21.169792,12.705208,10.968750
970,5.747423,12.672165,11.048454
980,5.720408,12.631633,10.950000
990,20.030303,12.653535,10.830303
1000,5.573000,12.402000,10.821000
1200,5.765000,28.235000,10.315833
1400,15.092857,11.267143,9.973571
1600,17.125000,10.882500,9.773125
1800,12.606111,10.618333,9.533889
2000,4.281000,10.336500,16.508500
2200,4.300000,10.249091,9.329545
2400,10.002083,10.055417,9.092500
2600,9.635769,9.967308,9.041154
2800,3.991071,9.777857,8.950000
3000,3.809667,9.721667,8.864000
3200,8.441250,9.655313,8.760000
3400,7.876471,10.035294,8.775000
3600,3.746667,9.865556,8.698333
3800,7.535526,9.907632,8.692895
4000,7.121500,9.773750,8.647000
4200,3.588095,9.671905,8.801905
4400,7.016364,9.657500,8.811818
4600,3.768478,9.563478,8.776522
4800,3.708542,9.571250,8.730417
5000,3.675000,9.468200,8.624200
5200,3.743077,9.457692,8.644038
5400,6.401481,9.423333,8.654630
5600,6.190714,9.381607,8.579107
5800,6.143103,9.680345,8.626034
6000,6.005833,9.312000,8.585500
6200,8.449677,9.305484,14.599839
6400,5.785312,9.285469,8.513125
6600,3.520909,9.458788,8.522576
6800,5.658235,9.431765,8.471912
7000,7.766286,9.414143,8.487143
7200,3.556389,14.167500,8.750694
7400,3.600946,9.345000,8.644324
7600,3.526842,9.304737,8.414211
7800,5.334231,9.369359,8.412051
8000,3.595625,9.281625,8.403875
8200,4.004024,9.266585,8.480122
8400,5.238810,9.222500,8.461310
8600,5.047093,9.199070,14.244302
8800,3.597273,9.150455,8.425341
9000,5.134444,9.137556,8.381889
9200,8.736957,12.250543,11.790326
9400,4.915000,9.067234,8.366170
9600,8.290938,12.095833,11.411146
9800,4.960102,9.248673,8.378163
10000,6.762700,12.120000,11.285000
13000,4.364615,9.959154,8.303538
16000,3.513250,9.814063,9.072437
19000,4.114421,10.174474,8.871947
22000,4.675136,11.118091,9.142000
25000,3.993320,10.059000,10.487360
28000,3.483679,10.342607,10.585357
31000,4.149742,10.133484,9.501355
34000,3.448235,10.149647,9.243559
37000,3.999027,9.388973,9.574838
40000,3.650975,9.343450,8.528375
43000,3.274907,9.266860,8.476535
46000,4.096717,9.312826,8.502217
49000,3.881633,9.263041,8.405755
52000,3.931750,9.060385,8.248135
55000,4.473127,11.092255,8.390218
58000,3.714483,9.160431,8.402000
61000,4.793066,9.017754,8.226770
64000,3.515563,9.037297,8.294906
67000,3.710881,9.061448,8.531239
70000,4.115229,9.306514,8.296314
73000,3.737397,8.945630,8.139986
76000,3.707211,9.038789,8.241566
79000,3.818987,9.201215,8.378025
82000,3.780841,9.321354,8.225451
85000,4.056212,8.933553,8.465141
88000,4.412500,9.235614,8.431295
91000,4.262725,9.329560,8.839923
94000,4.268617,9.274543,8.395915
97000,4.182010,9.195258,8.378608
100000,4.006800,8.907040,8.095120
140000,4.278771,9.148686,8.434886
180000,3.953861,8.966511,8.167150
220000,3.761105,8.892941,8.133591
260000,3.879946,9.002058,7.990769
300000,4.567030,8.779750,8.176963
340000,3.912862,8.873929,8.004188
380000,3.809250,8.896011,7.979316
420000,3.866121,9.271588,8.006890
460000,2.999107,8.809293,8.047259
500000,3.085386,8.875710,8.003678
540000,3.160507,9.073281,8.061331
580000,3.160291,8.881822,8.004457
620000,3.327347,8.795610,8.009477
660000,3.322886,8.826292,8.018674
700000,3.686083,8.824464,8.072583
740000,3.466636,8.823784,8.017872
780000,2.980612,8.837045,8.104590
820000,3.029005,8.828179,8.004810
860000,3.076863,8.902693,8.032985
900000,2.638729,8.781456,8.066589
940000,2.755080,8.840171,8.016266
980000,2.797505,8.812782,8.014128
1000000,2.852842,8.770707,8.079782
1500000,3.036925,8.758666,8.017644
2000000,3.229061,8.758014,8.061815
2500000,3.358377,8.445113,8.060480
3000000,3.584231,8.465270,8.096379
3500000,3.575861,8.518703,7.958840
4000000,3.504867,8.370625,8.014143
4500000,3.550784,8.398873,8.011604
5000000,3.610047,8.459463,8.054608
5500000,3.601956,8.541372,8.034349
6000000,3.642262,8.539265,7.999212
6500000,3.652727,8.568631,8.017204
7000000,3.646188,8.491101,7.967248
7500000,3.624915,8.436870,7.996477
8000000,3.624928,8.478287,8.021406
8500000,3.657304,8.500918,8.069116
9000000,3.641606,8.464572,8.028251
9500000,3.630392,8.457107,8.048647
10000000,3.661919,8.475800,8.078610
16000000,3.688904,8.527596,8.144723
22000000,3.691921,8.532492,8.141849
28000000,3.690208,8.506732,8.150225
34000000,3.692265,8.486555,8.169212
40000000,3.682065,8.494791,8.169418
46000000,3.698598,8.522442,8.184161
52000000,3.706910,8.496921,8.187755
58000000,3.706564,8.501415,8.192470
64000000,3.688286,8.510242,8.206696
70000000,3.696003,8.497001,8.198559
76000000,3.698203,8.498860,8.195628
82000000,3.704014,8.506795,8.222743
88000000,3.703864,8.573678,8.222078
94000000,3.709027,8.495666,8.204371
100000000,3.700223,8.501139,8.202295
170000000,3.705847,8.497912,8.213636
240000000,3.702238,8.491138,8.223803
310000000,3.699167,8.499080,8.221740
380000000,3.712037,8.499131,8.221516
450000000,3.705695,8.496863,8.217563
520000000,3.703332,8.491901,8.219855
590000000,3.701971,8.492937,8.215206
660000000,3.701139,8.490300,8.215024
730000000,3.701498,8.491105,8.216198
800000000,3.703097,8.486830,8.211665
870000000,3.701880,8.489872,8.213458
940000000,3.698979,8.488666,8.212235
1000000000,3.701823,8.492512,8.215440
1800000000,3.700873,8.489938,8.209630
2600000000,3.702486,8.487857,8.200384
3400000000,3.701495,8.494431,8.198861
