Elements,fixed[F]holes,byte[F]holes,bit[F]holes,fixed[F]noholes,byte[F]noholes,bit[F]noholes
100,28.423300,30.756220,34.865890,26.394410,29.550860,33.299000
110,27.974580,30.681250,34.311100,26.916910,29.364020,33.595210
120,28.130000,31.188010,35.058670,26.879120,29.629480,35.193590
130,29.015760,31.555890,36.082090,27.214400,30.762930,35.278190
140,28.695350,31.200350,35.293880,26.872320,29.887390,34.353330
150,28.615540,31.434800,35.269370,26.942930,29.281170,34.006300
160,28.263940,32.529050,35.354680,27.346100,29.936710,34.304240
170,28.156250,31.438670,35.341070,27.457420,29.794530,34.261980
180,28.512160,31.483460,35.220990,27.160250,29.773080,34.347510
190,28.702260,31.657830,35.713750,27.732740,29.980650,34.589250
200,28.967490,31.709290,35.751680,27.671470,30.024060,34.621630
210,28.748840,31.675430,35.671190,27.338760,29.986560,34.554110
220,28.015750,31.807710,35.780500,27.363760,30.234920,35.414450
230,28.939330,31.894430,35.860600,27.459160,30.190860,34.684520
240,28.685250,31.959580,36.968970,27.717870,30.282110,35.171840
250,28.938600,31.599480,35.779240,27.480660,30.449460,35.053480
260,29.450040,32.347350,36.508910,28.094750,30.712390,35.347760
270,29.871430,32.760670,36.849880,28.050650,30.611200,35.443690
280,29.564130,32.287630,36.521200,28.127630,30.505630,35.369420
290,29.015560,32.296080,36.455130,27.491000,30.608320,35.252800
300,29.644600,32.272430,36.464020,27.454920,30.042320,34.708590
310,28.857350,31.691600,35.750290,28.652520,30.830810,35.475950
320,29.117690,31.874270,37.256090,27.651590,30.096400,34.725760
330,29.194220,32.304940,36.467480,27.375820,30.231830,34.712800
340,29.575380,32.522110,36.682320,27.532060,30.221960,34.792950
350,29.399520,33.192770,36.454420,27.631440,30.851930,35.234170
360,29.354680,32.291730,36.399070,27.665880,30.665830,35.292010
370,29.209420,32.553150,36.528520,27.868900,30.748390,35.284640
380,29.604670,32.531920,36.938720,27.665140,30.829140,35.497820
390,29.709320,32.817870,37.298780,27.852850,31.664860,35.846060
400,29.113960,32.797700,37.980880,27.930340,31.198080,35.534300
410,28.536960,32.521240,36.691480,28.217630,30.924250,35.635550
420,29.466090,32.551880,36.639600,28.236760,31.142900,35.691800
430,29.091420,33.650370,36.740470,27.709740,31.014400,35.537540
440,29.007460,32.640390,36.759560,28.349520,31.277760,37.178540
450,29.482680,32.686250,36.921900,27.757790,31.158600,35.683380
460,29.563090,32.902040,36.943820,27.755670,30.560050,35.096370
470,29.652820,32.706850,36.909960,27.979190,31.743080,36.010700
480,29.227510,32.833060,38.717090,27.858400,30.730400,35.301650
490,29.316190,32.884480,37.088140,27.517990,30.750820,35.320590
500,29.592540,32.954270,37.305080,27.587570,31.085850,35.701780
510,29.979890,34.466270,37.547120,28.486550,31.591910,36.311600
520,30.666800,33.199560,37.815220,28.495870,31.592630,36.261420
530,29.703990,32.594510,36.993330,28.495920,31.612250,36.327530
540,29.355390,32.551050,36.976610,27.873790,31.011160,35.717380
550,29.485520,32.735980,37.160040,27.821190,31.048630,35.778080
560,29.750870,33.103620,38.372660,27.923730,31.221730,35.996490
570,29.488190,33.100340,37.494640,27.581580,30.970970,35.679390
580,30.286710,33.102680,37.565570,27.715200,30.980980,35.663030
590,29.983820,32.535200,36.915610,27.844400,30.971330,35.619920
600,29.734980,32.736060,37.179110,27.910310,31.089770,35.797880
610,29.355520,32.506170,37.761140,27.736660,30.986660,35.606740
620,29.632150,32.673640,36.961890,27.861680,31.123200,35.709260
630,29.307810,32.512930,36.826620,27.436770,30.974470,35.866620
640,29.664690,32.835950,37.026090,28.323350,31.611570,36.267350
650,29.151000,32.525070,36.909820,28.258810,31.538140,36.269440
