Elements,fixed[F]holes,byte[F]holes,bit[F]holes
100,43.780000,189.840000,31.320000
110,35.609091,42.827273,36.990909
120,31.783333,42.108333,27.100000
130,29.092308,37.407692,25.376923
140,130.364286,34.878571,25.828571
150,27.106667,37.526667,25.913333
160,114.743750,40.175000,31.037500
170,106.876471,139.547059,24.958824
180,21.088889,107.944444,21.400000
190,18.957895,28.615789,21.531579
200,19.085000,27.505000,19.320000
210,87.485714,26.485714,18.542857
220,16.981818,36.095455,25.150000
230,17.269565,25.060870,18.669565
240,77.454167,25.887500,23.212500
250,71.308000,26.848000,21.936000
260,15.946154,26.915385,21.157692
270,67.651852,22.659259,17.540741
280,65.328571,23.150000,16.492857
290,63.982759,21.634483,16.279310
300,59.830000,20.513333,15.266667
310,13.145161,21.935484,16.225806
320,13.475000,20.025000,15.337500
330,12.224242,20.209091,16.975758
340,12.697059,19.485294,14.626471
350,51.728571,19.480000,55.211429
360,11.791667,19.844444,14.502778
370,11.148649,18.956757,14.940541
380,47.771053,17.431579,13.660526
390,11.141026,18.151282,14.143590
400,45.137500,17.495000,13.995000
410,44.887805,17.687805,14.063415
420,43.852381,17.023810,13.530952
430,9.560465,17.279070,13.886047
440,9.384091,17.125000,13.275000
450,9.480000,17.246667,13.555556
460,9.023913,17.228261,12.754348
470,9.168085,50.282979,13.200000
480,8.616667,16.162500,13.064583
490,8.873469,45.438776,13.122449
500,8.272000,15.626000,12.492000
510,36.335294,15.866667,12.688235
520,9.750000,15.232692,12.553846
530,9.413208,15.660377,39.464151
540,9.431481,42.001852,12.201852
550,9.860000,15.074545,12.310909
560,9.225000,15.633929,11.928571
570,9.063158,15.014035,12.371930
580,33.482759,15.798276,11.989655
590,32.862712,15.015254,12.230508
600,8.565000,14.691667,11.820000
610,25.203279,14.508197,12.072131
620,36.750000,13.909677,12.016129
630,31.460317,37.444444,12.119048
640,8.648438,14.240625,33.925000
650,8.312308,14.787692,11.698462
660,30.510606,14.060606,12.096970
670,28.901493,14.391045,11.749254
680,42.780882,14.117647,32.177941
690,8.205797,13.563768,11.205797
700,7.624286,13.961429,11.630000
710,7.656338,13.536620,11.554930
720,7.675000,13.706944,11.465278
730,27.401370,13.646575,11.182192
740,7.447297,13.644595,11.324324
750,6.952000,13.529333,11.084000
760,7.082895,13.172368,11.117105
770,25.990909,13.264935,11.194805
780,6.885897,13.133333,10.858974
790,6.956962,13.046835,11.030380
800,7.155000,13.036250,10.902500
810,6.696296,12.504938,10.792593
820,23.587805,12.857317,10.914634
830,23.615663,12.813253,10.759036
840,23.533333,13.426190,11.092857
850,23.649412,13.255294,27.521176
860,22.756977,13.044186,10.910465
870,26.608046,12.802299,10.594253
880,6.368182,12.644318,11.997727
890,6.828090,12.602247,26.923596
900,21.893333,12.667778,10.814444
910,6.382418,12.521978,10.456044
920,21.718478,12.828261,10.878261
930,6.495699,12.186022,10.363441
940,21.317021,12.529787,10.656383
950,21.011579,12.205263,25.136842
960,20.746875,12.489583,10.631250
970,20.449485,12.469072,24.949485
980,20.556122,12.217347,10.561224
990,5.735354,12.276768,10.589899
1000,19.877000,12.132000,10.394000
1200,17.435000,11.605000,9.840833
1400,15.047857,11.032143,9.723571
1600,14.358125,11.083125,18.875625
1800,4.786111,10.420000,9.388333
2000,4.621500,10.268500,9.075000
2200,10.829091,10.173182,9.190455
2400,17.706667,9.908333,8.888750
2600,4.177308,9.810769,8.892692
2800,4.054643,9.726786,8.767500
3000,3.897667,9.730333,8.852000
3200,8.620938,13.380313,8.707500
3400,4.025588,10.287059,8.631176
3600,3.986111,9.941944,8.605000
3800,3.765000,9.835263,8.561842
4000,7.506250,9.711500,8.524750
4200,3.639048,10.130238,8.720238
4400,3.781136,9.727045,9.097727
4600,7.123043,12.188913,11.535217
4800,6.875208,9.542292,8.697083
5000,3.779200,11.802200,11.101800
5200,3.837500,11.785577,10.896154
5400,3.949630,11.667037,10.965185
5600,3.598571,11.494821,10.656607
5800,3.875690,11.406379,10.729655
6000,6.042667,9.344167,8.585333
6200,6.052581,11.262097,8.484355
6400,5.925000,11.146094,8.482656
6600,3.706061,11.276061,8.504394
6800,5.708382,11.159559,8.402206
7000,5.535143,11.109571,8.444571
7200,3.556528,11.298472,10.290417
7400,3.639730,10.977162,10.127027
7600,3.585658,10.893816,8.371579
7800,3.584487,10.792949,9.974615
8000,3.593750,10.956375,9.898625
8200,5.393780,10.708049,10.167317
8400,3.439286,10.665714,9.970833
8600,3.524302,10.569535,9.833488
8800,5.192273,10.704432,9.777273
9000,3.570333,10.435889,9.715222
9200,3.380652,9.342826,9.704565
9400,5.880319,10.353830,9.639362
9600,3.479687,10.329583,9.838229
9800,3.417143,10.435918,9.595000
10000,4.859900,10.447600,9.567000
13000,5.576077,9.983308,9.184000
16000,3.517625,9.727313,8.956812
19000,4.009895,9.641000,8.795947
22000,4.136773,9.396864,9.289818
25000,4.338880,9.280280,9.843600
28000,4.265464,9.315286,9.626000
31000,4.141226,9.672161,8.406710
34000,3.667294,9.129059,8.366647
37000,4.157703,9.162270,8.386595
40000,3.914325,9.165175,8.339100
43000,4.014279,9.085953,8.316744
46000,3.874391,9.016652,8.271435
49000,4.129612,9.077918,8.189367
52000,3.822827,8.997288,8.222058
55000,4.052000,9.005236,8.200764
58000,3.624931,8.953017,8.218448
61000,3.653033,8.952590,8.155082
64000,3.584750,8.910672,8.144531
67000,3.674940,8.936642,8.140358
70000,3.864971,8.952286,8.122043
73000,3.634438,8.921795,8.132521
76000,4.209829,8.891368,8.100750
79000,3.883886,8.912405,8.118418
82000,3.979012,8.935976,8.113671
85000,3.652835,8.901776,8.094718
88000,3.607193,9.192807,8.078307
91000,3.870143,8.872143,8.080516
94000,3.542830,9.100521,8.047340
97000,3.719186,8.836433,8.086227
100000,3.503080,8.926910,8.055360
140000,3.626214,8.791029,8.027686
180000,3.631239,8.785800,7.985872
220000,3.516964,8.764427,8.109432
260000,4.320735,8.789627,7.980315
300000,3.507373,8.787133,7.967037
340000,3.675162,8.778597,7.967082
380000,2.603861,8.768953,7.969537
420000,2.857607,8.766633,8.034614
460000,2.829580,8.770659,7.977130
500000,3.795124,8.757744,7.960482
540000,3.045157,8.765909,7.980380
580000,2.399303,8.782816,8.022248
620000,3.216903,8.752126,8.013650
660000,3.238859,8.925564,7.971500
700000,2.742099,8.745339,8.010056
740000,2.803168,8.738062,8.008966
780000,2.957905,8.838821,8.019158
820000,2.962311,8.739618,8.010520
860000,2.975253,8.740860,8.017599
900000,2.606576,8.745673,8.051730
940000,3.260763,8.737067,8.021026
980000,2.850947,8.725292,8.049214
1000000,2.804122,8.746856,7.997140
1500000,3.038668,8.847026,8.041491
2000000,3.264563,8.765467,8.038388
2500000,3.333954,8.469690,8.049817
3000000,3.508784,8.585542,7.947706
3500000,3.560454,8.513157,8.069426
4000000,3.569004,8.542449,8.160535
4500000,3.596247,8.568135,7.999960
5000000,3.596661,8.444378,8.030718
5500000,3.608602,8.500652,8.094344
6000000,3.608154,8.497990,8.004554
6500000,3.667716,8.605934,8.002160
7000000,3.664139,8.531282,8.034666
7500000,3.755046,8.517321,8.047222
8000000,3.679167,8.584558,8.029756
8500000,3.670535,8.508256,8.062514
9000000,3.657613,8.456106,8.067003
9500000,3.665117,8.539671,8.095433
10000000,3.664438,8.568855,8.071877
16000000,3.664072,8.569552,8.127375
22000000,3.675245,8.526251,8.137244
28000000,3.670938,8.522532,8.193026
34000000,3.726715,8.536281,8.216112
40000000,3.706762,8.537345,8.209706
46000000,3.699111,8.526174,8.198906
52000000,3.713799,8.511432,8.188784
58000000,3.683833,8.519054,8.213625
64000000,3.685744,8.522284,8.206654
70000000,3.705668,8.525398,8.208185
76000000,3.684135,8.515784,8.227376
82000000,3.718299,8.537963,8.241974
88000000,3.728462,8.529510,8.230844
94000000,3.719953,8.526687,8.240476
100000000,3.719929,8.519125,8.227249
170000000,3.710913,8.544422,8.238823
240000000,3.718245,8.521369,8.247941
310000000,3.716223,8.529850,8.251216
380000000,3.714216,8.513948,8.238545
450000000,3.716455,8.518901,8.246458
520000000,3.724154,8.527295,8.244764
590000000,3.711830,8.516394,8.240553
660000000,3.710499,8.514499,8.234592
730000000,3.713657,8.520847,8.239075
800000000,3.715366,8.514435,8.232397
870000000,3.716093,8.512701,8.240586
940000000,3.715631,8.506942,8.230482
1000000000,3.711503,8.514135,8.234100
1800000000,3.711978,8.517730,8.224830
2600000000,3.711987,8.515367,8.224334
3400000000,3.711301,8.510852,8.220486
4200000000,6.265318,12.663250,8.204797
