Elements,fixed[F],fixed[$\ell$],byte[F],byte[$\ell$],bit[F],bit[$\ell$],fixed[26]byte,fixed[26]bit,fixed[32]byte,fixed[32]bit
100,37.332333,38.817827,40.023011,41.035151,43.739789,41.526700,41.226763,45.349700,41.388515,46.310720
110,37.366670,38.774331,40.173160,41.146654,43.856074,41.352597,41.117956,45.342786,41.340942,46.124210
120,37.345571,38.714016,39.863438,40.994085,43.800016,41.362594,41.134653,45.417261,41.316487,46.074917
130,37.987763,39.899596,41.001071,42.133300,45.091381,42.798889,42.223320,46.615141,42.383837,47.866630
140,37.986095,39.806002,40.895386,42.009514,45.075475,42.622914,42.114676,46.601710,42.278654,47.458673
150,37.947655,39.734756,40.876492,41.925242,44.968606,42.580496,42.077111,46.561989,42.258381,47.299255
160,37.968409,39.765468,40.896244,42.045017,45.074949,42.693792,42.084325,46.680630,42.280809,47.351062
170,37.922023,39.663487,40.778042,41.856083,44.953504,42.432132,41.991461,46.521320,42.169558,47.242851
180,37.927453,39.649817,40.737382,41.816265,44.959170,42.387640,41.976877,46.590046,42.164588,47.175990
190,37.877725,39.558501,40.637171,41.750785,44.906468,42.282792,41.910815,46.473893,42.085588,47.048054
200,37.853920,39.722844,40.849142,42.004350,44.926640,42.563406,42.086842,46.499423,42.211004,47.359067
210,37.877781,39.628940,40.754511,41.888817,44.862329,42.424472,42.000394,46.490895,42.167359,47.223000
220,37.879881,39.581595,40.724977,41.992789,44.866892,42.339483,41.941142,46.456475,42.072259,47.215599
230,37.857609,39.556511,40.732669,41.796412,44.764009,42.303520,41.907575,46.351681,42.064801,47.107063
240,37.822594,39.507866,40.853991,41.850688,44.950158,42.480609,42.124757,47.469596,42.078739,47.151451
250,37.790621,39.516377,40.588129,41.702096,44.734105,42.196750,41.829923,46.323428,41.998022,47.040781
260,38.557195,40.628019,41.874870,43.024776,46.211661,43.724415,42.969305,47.816315,43.197269,48.286403
270,38.491925,40.529155,41.717224,42.897578,45.995593,43.577683,42.850541,47.743609,43.083355,48.093852
280,38.533519,40.553678,41.910345,42.953306,46.211099,43.794735,42.858295,47.781202,43.095897,48.136181
290,38.489968,40.521427,41.860017,42.854530,46.095889,43.476382,42.841071,47.729138,43.019286,48.081296
300,38.482420,40.498827,41.638165,42.798337,46.039736,43.443657,42.772068,47.657129,43.023526,48.099777
310,38.477509,40.453451,41.598554,42.744057,45.964415,43.334027,42.775038,47.568085,42.962757,48.047739
320,38.499777,40.509749,41.698254,42.836453,46.086248,43.550446,42.843789,47.750083,43.078659,48.241193
330,38.498279,40.493426,41.716646,42.781334,46.208680,43.411708,42.731251,47.567907,42.991306,48.070711
340,38.455477,40.410630,41.590421,42.681578,45.939537,43.369661,42.694970,47.584013,42.951793,48.003893
350,38.761732,41.198032,41.509785,42.615826,45.912446,43.251780,42.766513,47.526731,42.913009,47.949474
360,38.425645,40.473380,41.660688,42.730746,45.903752,43.326167,42.667600,47.570545,42.881170,48.031650
370,38.428152,40.370348,41.499748,42.630483,45.934603,43.279629,42.617940,47.516351,42.891115,47.970195
380,38.368279,40.304073,41.504793,42.625599,45.920691,43.290190,42.595526,47.479131,42.827953,47.926584
390,38.421080,40.431860,41.607553,42.809475,45.899547,43.496234,42.725547,47.512136,42.970213,48.031974
400,38.494339,40.438118,41.609787,42.883881,45.942113,43.444879,42.710672,47.569356,42.973858,48.100561
410,38.465342,40.361043,41.551330,42.754587,45.851218,43.356689,42.715683,47.488347,42.909637,47.974174
420,38.409787,40.370420,41.528975,42.689765,45.893235,43.357448,42.690438,47.524531,42.905247,48.012123
430,38.375022,40.385280,41.491537,42.596745,45.834012,43.236547,42.636701,47.423832,42.869132,47.927908
440,38.378662,40.334109,41.460963,42.618009,45.814030,43.229462,42.642002,47.452750,42.850866,47.945167
450,38.387519,40.334378,41.501161,42.841798,46.527145,43.347201,42.658961,47.453211,42.910011,48.039381
460,38.412254,40.336203,41.545485,42.682394,45.936974,43.305454,42.654154,47.376596,42.868214,47.961211
470,38.328286,40.286035,41.454192,42.583532,45.928419,43.184439,42.644273,47.338574,42.834824,47.906527
480,38.341703,40.354676,41.455753,42.591142,45.811797,43.254689,42.653080,47.418102,42.807505,48.003112
490,38.310139,40.260246,41.479608,42.548215,45.806492,43.149351,42.616223,47.406796,42.840606,47.942990
