Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
6400,10.318750,10.418750,10.318750,10.418750,10.318750,10.418750,10.418750,10.418750,10.418750,10.418750,10.318750,10.388750,10.318750,10.388750,10.318750,10.388750,10.418750,10.418750,10.418750,10.418750,10.318750,10.378750,10.318750,10.378750,10.318750,10.378750,10.418750,10.418750,10.418750,10.418750,10.318750,10.378750,10.318750,10.378750,10.318750,10.378750,10.418750,10.418750,10.418750,10.418750,10.318750,10.378750,10.318750,10.378750,10.318750,10.378750,10.418750,10.418750,10.418750,10.418750
12800,5.159375,5.214375,5.159375,5.214375,5.159375,5.214375,5.209375,5.209375,5.209375,5.209375,5.159375,5.199375,5.159375,5.199375,5.159375,5.199375,5.209375,5.209375,5.209375,5.209375,5.159375,5.194375,5.159375,5.194375,5.159375,5.194375,5.209375,5.209375,5.209375,5.209375,5.159375,5.194375,5.159375,5.194375,5.159375,5.194375,5.209375,5.209375,5.209375,5.209375,5.159375,5.189375,5.159375,5.189375,5.159375,5.189375,5.209375,5.209375,5.209375,5.209375
19200,3.439583,3.479583,3.439583,3.479583,3.439583,3.479583,3.472917,3.472917,3.472917,3.472917,3.439583,3.469583,3.439583,3.469583,3.439583,3.469583,3.472917,3.472917,3.472917,3.472917,3.439583,3.466250,3.439583,3.466250,3.439583,3.466250,3.472917,3.472917,3.472917,3.472917,3.439583,3.462917,3.439583,3.462917,3.439583,3.462917,3.472917,3.472917,3.472917,3.472917,3.439583,3.462917,3.439583,3.462917,3.439583,3.462917,3.472917,3.472917,3.472917,3.472917
25600,2.579687,2.609688,2.579687,2.609688,2.579687,2.609688,2.604687,2.604687,2.604687,2.604687,2.579687,2.602187,2.579687,2.602187,2.579687,2.602187,2.604687,2.604687,2.604687,2.604687,2.579687,2.599687,2.579687,2.599687,2.579687,2.599687,2.604687,2.604687,2.604687,2.604687,2.579687,2.599687,2.579687,2.599687,2.579687,2.599687,2.604687,2.604687,2.604687,2.604687,2.579687,2.597187,2.579687,2.597187,2.579687,2.597187,2.604687,2.604687,2.604687,2.604687
32000,2.063750,2.087750,2.063750,2.087750,2.063750,2.087750,2.083750,2.083750,2.083750,2.083750,2.063750,2.081750,2.063750,2.081750,2.063750,2.081750,2.083750,2.083750,2.083750,2.083750,2.063750,2.081750,2.063750,2.081750,2.063750,2.081750,2.083750,2.083750,2.083750,2.083750,2.063750,2.079750,2.063750,2.079750,2.063750,2.079750,2.083750,2.083750,2.083750,2.083750,2.063750,2.079750,2.063750,2.079750,2.063750,2.079750,2.083750,2.083750,2.083750,2.083750
38400,3.426458,3.448125,2.573125,2.594792,2.573125,2.594792,2.589792,2.589792,2.589792,2.589792,2.573125,2.589792,2.573125,2.589792,2.573125,2.589792,2.589792,2.589792,2.589792,2.589792,2.573125,2.588125,2.573125,2.588125,2.573125,2.588125,2.589792,2.589792,2.589792,2.589792,2.573125,2.586458,2.573125,2.586458,2.573125,2.586458,2.589792,2.589792,2.589792,2.589792,2.573125,2.586458,2.573125,2.586458,2.573125,2.586458,2.589792,2.589792,2.589792,2.589792
44800,2.936964,2.955536,2.205536,2.224107,2.205536,2.224107,2.219821,2.219821,2.219821,2.219821,2.205536,2.219821,2.205536,2.219821,2.205536,2.219821,2.219821,2.219821,2.219821,2.219821,2.205536,2.218393,2.205536,2.218393,2.205536,2.218393,2.219821,2.219821,2.219821,2.219821,2.205536,2.216964,2.205536,2.216964,2.205536,2.216964,2.219821,2.219821,2.219821,2.219821,2.205536,2.216964,2.205536,2.216964,2.205536,2.216964,2.219821,2.219821,2.219821,2.219821
51200,2.569844,2.586094,1.929844,1.946094,1.929844,1.946094,1.942344,1.942344,1.942344,1.942344,1.929844,1.942344,1.929844,1.942344,1.929844,1.942344,1.942344,1.942344,1.942344,1.942344,1.929844,1.941094,1.929844,1.941094,1.929844,1.941094,1.942344,1.942344,1.942344,1.942344,1.929844,1.941094,1.929844,1.941094,1.929844,1.941094,1.942344,1.942344,1.942344,1.942344,1.929844,1.939844,1.929844,1.939844,1.929844,1.939844,1.942344,1.942344,1.942344,1.942344
57600,2.284306,2.298750,1.715417,1.729861,1.715417,1.729861,1.726528,1.726528,1.726528,1.726528,1.715417,1.726528,1.715417,1.726528,1.715417,1.726528,1.726528,1.726528,1.726528,1.726528,1.715417,1.725417,1.715417,1.725417,1.715417,1.725417,1.726528,1.726528,1.726528,1.726528,1.715417,1.725417,1.715417,1.725417,1.715417,1.725417,1.726528,1.726528,1.726528,1.726528,1.715417,1.724306,1.715417,1.724306,1.715417,1.724306,1.726528,1.726528,1.726528,1.726528
64000,2.055875,2.068875,1.543875,1.556875,1.543875,1.556875,1.553875,1.553875,1.553875,1.553875,1.543875,1.553875,1.543875,1.553875,1.543875,1.553875,1.553875,1.553875,1.553875,1.553875,1.543875,1.552875,1.543875,1.552875,1.543875,1.552875,1.553875,1.553875,1.553875,1.553875,1.543875,1.552875,1.543875,1.552875,1.543875,1.552875,1.553875,1.553875,1.553875,1.553875,1.543875,1.552875,1.543875,1.552875,1.543875,1.552875,1.553875,1.553875,1.553875,1.553875
128000,2.051938,2.058937,1.283937,1.290938,1.283937,1.290938,1.288938,1.288938,1.288938,1.288938,1.283937,1.289438,1.283937,1.289438,1.283937,1.289438,1.288938,1.288938,1.288938,1.288938,1.283937,1.288938,1.283937,1.288938,1.283937,1.288938,1.288938,1.288938,1.288938,1.288938,1.283937,1.288938,1.283937,1.288938,1.283937,1.288938,1.288938,1.288938,1.288938,1.288938,1.283937,1.288437,1.283937,1.288437,1.283937,1.288437,1.288938,1.288938,1.288938,1.288938
192000,2.050625,2.055625,1.197292,1.202292,1.197292,1.202292,1.200625,1.200625,1.200625,1.200625,1.197292,1.201292,1.197292,1.201292,1.197292,1.201292,1.200625,1.200625,1.200625,1.200625,1.197292,1.200958,1.197292,1.200958,1.197292,1.200958,1.200625,1.200625,1.200625,1.200625,1.197292,1.200625,1.197292,1.200625,1.197292,1.200625,1.200625,1.200625,1.200625,1.200625,1.197292,1.200625,1.197292,1.200625,1.197292,1.200625,1.200625,1.200625,1.200625,1.200625
256000,2.049969,2.053719,1.281969,1.285719,1.153969,1.157719,1.284469,1.156469,1.284469,1.156469,1.153969,1.156969,1.153969,1.156969,1.153969,1.156969,1.156469,1.156469,1.156469,1.156469,1.153969,1.156719,1.153969,1.156719,1.153969,1.156719,1.156469,1.156469,1.156469,1.156469,1.153969,1.156719,1.153969,1.156719,1.153969,1.156719,1.156469,1.156469,1.156469,1.156469,1.153969,1.156469,1.153969,1.156469,1.153969,1.156469,1.156469,1.156469,1.156469,1.156469
320000,2.049575,2.052775,1.230375,1.233575,1.230375,1.233575,1.232375,1.232375,1.232375,1.232375,1.230375,1.232975,1.127975,1.130575,1.127975,1.130575,1.129975,1.129975,1.129975,1.129975,1.127975,1.130375,1.127975,1.130375,1.127975,1.130375,1.129975,1.129975,1.129975,1.129975,1.127975,1.130175,1.127975,1.130175,1.127975,1.130175,1.129975,1.129975,1.129975,1.129975,1.127975,1.130175,1.127975,1.130175,1.127975,1.130175,1.129975,1.129975,1.129975,1.129975
384000,2.049313,2.051979,1.195979,1.198646,1.195979,1.198646,1.197646,1.197646,1.197646,1.197646,1.195979,1.198146,1.110646,1.112812,1.110646,1.112812,1.112313,1.112313,1.112313,1.112313,1.110646,1.112646,1.110646,1.112646,1.110646,1.112646,1.112313,1.112313,1.112313,1.112313,1.110646,1.112479,1.110646,1.112479,1.110646,1.112479,1.112313,1.112313,1.112313,1.112313,1.110646,1.112479,1.110646,1.112479,1.110646,1.112479,1.112313,1.112313,1.112313,1.112313
448000,2.049125,2.051411,1.244554,1.246839,1.171411,1.173696,1.245982,1.172839,1.245982,1.172839,1.171411,1.173268,1.098268,1.100125,1.098268,1.100125,1.099696,1.099696,1.099696,1.099696,1.098268,1.099982,1.098268,1.099982,1.098268,1.099982,1.099696,1.099696,1.099696,1.099696,1.098268,1.099982,1.098268,1.099982,1.098268,1.099982,1.099696,1.099696,1.099696,1.099696,1.098268,1.099839,1.098268,1.099839,1.098268,1.099839,1.099696,1.099696,1.099696,1.099696
512000,2.048984,2.050984,1.216984,1.218984,1.152984,1.154984,1.218234,1.154234,1.218234,1.154234,1.152984,1.154609,1.088984,1.090609,1.088984,1.090609,1.090234,1.090234,1.090234,1.090234,1.088984,1.090484,1.088984,1.090484,1.088984,1.090484,1.090234,1.090234,1.090234,1.090234,1.088984,1.090484,1.088984,1.090484,1.088984,1.090484,1.090234,1.090234,1.090234,1.090234,1.088984,1.090359,1.088984,1.090359,1.088984,1.090359,1.090234,1.090234,1.090234,1.090234
576000,2.048875,2.050764,1.195542,1.197431,1.195542,1.197431,1.196653,1.196653,1.196653,1.196653,1.195542,1.197097,1.081764,1.083319,1.081764,1.083319,1.082875,1.082875,1.082875,1.082875,1.138653,1.140097,1.081764,1.083208,1.081764,1.083208,1.082875,1.082875,1.082875,1.082875,1.081764,1.083097,1.081764,1.083097,1.081764,1.083097,1.082875,1.082875,1.082875,1.082875,1.081764,1.083097,1.081764,1.083097,1.081764,1.083097,1.082875,1.082875,1.082875,1.082875
640000,2.048787,2.050488,1.229588,1.231288,1.178387,1.180087,1.230587,1.179388,1.230587,1.179388,1.178387,1.179787,1.075988,1.077387,1.075988,1.077387,1.076987,1.076987,1.076987,1.076987,1.127188,1.128488,1.075988,1.077287,1.075988,1.077287,1.076987,1.076987,1.076987,1.076987,1.075988,1.077187,1.075988,1.077187,1.075988,1.077187,1.076987,1.076987,1.076987,1.076987,1.075988,1.077187,1.075988,1.077187,1.075988,1.077187,1.076987,1.076987,1.076987,1.076987
1280000,2.048394,2.049294,1.203594,1.204494,1.152394,1.153294,1.204094,1.152894,1.204094,1.152894,1.152394,1.153144,1.075594,1.076344,1.049994,1.050744,1.076094,1.050494,1.076094,1.050494,1.101194,1.101894,1.049994,1.050694,1.049994,1.050694,1.050494,1.050494,1.050494,1.050494,1.075594,1.076244,1.049994,1.050644,1.049994,1.050644,1.050494,1.050494,1.050494,1.050494,1.075594,1.076244,1.049994,1.050644,1.049994,1.050644,1.050494,1.050494,1.050494,1.050494
1920000,2.014129,2.014729,1.177863,1.178462,1.143729,1.144329,1.178196,1.144062,1.178196,1.144062,1.143729,1.144229,1.041329,1.041829,1.041329,1.041829,1.041662,1.041662,1.041662,1.041662,1.075462,1.075929,1.024263,1.024729,1.024263,1.024729,1.024596,1.024596,1.024596,1.024596,1.058396,1.058863,1.024263,1.024729,1.024263,1.024729,1.024596,1.024596,1.024596,1.024596,1.041329,1.041762,1.024263,1.024696,1.024263,1.024696,1.024596,1.024596,1.024596,1.024596
2560000,2.022597,2.023072,1.177797,1.178272,1.139397,1.139872,1.178047,1.139647,1.178047,1.139647,1.139397,1.139797,1.049797,1.050197,1.036997,1.037397,1.050047,1.037247,1.050047,1.037247,1.075397,1.075772,1.036997,1.037372,1.024197,1.024572,1.037247,1.024447,1.037247,1.024447,1.062597,1.062947,1.024197,1.024547,1.024197,1.024547,1.024447,1.024447,1.024447,1.024447,1.049797,1.050147,1.024197,1.024547,1.024197,1.024547,1.024447,1.024447,1.024447,1.024447
3200000,2.007198,2.007578,1.167517,1.167898,1.136797,1.137177,1.167717,1.136998,1.167717,1.136998,1.136797,1.137118,1.044638,1.044957,1.034398,1.034717,1.044838,1.034598,1.044838,1.034598,1.075357,1.075657,1.024158,1.024458,1.024158,1.024458,1.024358,1.024358,1.024358,1.024358,1.054877,1.055178,1.024158,1.024458,1.013918,1.014217,1.024358,1.014118,1.024358,1.014118,1.044638,1.044917,1.013918,1.014198,1.013918,1.014198,1.014118,1.014118,1.014118,1.014118
3840000,2.013998,2.014315,1.169198,1.169515,1.135065,1.135381,1.169365,1.135231,1.169365,1.135231,1.135065,1.135331,1.041198,1.041465,1.032665,1.032931,1.041365,1.032831,1.041365,1.032831,1.075331,1.075581,1.024131,1.024381,1.024131,1.024381,1.024298,1.024298,1.024298,1.024298,1.049731,1.049981,1.024131,1.024381,1.015598,1.015848,1.024298,1.015765,1.024298,1.015765,1.041198,1.041431,1.015598,1.015831,1.015598,1.015831,1.015765,1.015765,1.015765,1.015765
4480000,2.004227,2.004513,1.163084,1.163370,1.133827,1.134113,1.163227,1.133970,1.163227,1.133970,1.133827,1.134070,1.038741,1.038984,1.024112,1.024355,1.038884,1.024255,1.038884,1.024255,1.067998,1.068227,1.024112,1.024341,1.016798,1.017027,1.024255,1.016941,1.024255,1.016941,1.046055,1.046270,1.016798,1.017013,1.016798,1.017013,1.016941,1.016941,1.016941,1.016941,1.038741,1.038955,1.016798,1.017013,1.009484,1.009698,1.016941,1.009627,1.016941,1.009627
5120000,2.009698,2.009948,1.164898,1.165148,1.132898,1.133148,1.165023,1.133023,1.165023,1.133023,1.132898,1.133111,1.036898,1.037111,1.030498,1.030711,1.037023,1.030623,1.037023,1.030623,1.068898,1.069098,1.024098,1.024298,1.017698,1.017898,1.024223,1.017823,1.024223,1.017823,1.049698,1.049886,1.017698,1.017886,1.017698,1.017886,1.017823,1.017823,1.017823,1.017823,1.036898,1.037086,1.017698,1.017886,1.011298,1.011486,1.017823,1.011423,1.017823,1.011423
5760000,2.002576,2.002799,1.160621,1.160843,1.126488,1.126710,1.160732,1.126599,1.160732,1.126599,1.126488,1.126676,1.035465,1.035654,1.024088,1.024276,1.035576,1.024199,1.035576,1.024199,1.063910,1.064088,1.018399,1.018576,1.018399,1.018576,1.018510,1.018510,1.018510,1.018510,1.046843,1.047010,1.012710,1.012876,1.012710,1.012876,1.012821,1.012821,1.012821,1.012821,1.035465,1.035632,1.012710,1.012876,1.012710,1.012876,1.012821,1.012821,1.012821,1.012821
6400000,2.007119,2.007319,1.162319,1.162519,1.131599,1.131799,1.162419,1.131699,1.162419,1.131699,1.131599,1.131769,1.039439,1.039609,1.029199,1.029369,1.039539,1.029299,1.039539,1.029299,1.070159,1.070319,1.024079,1.024239,1.018959,1.019119,1.024179,1.019059,1.024179,1.019059,1.049679,1.049839,1.018959,1.019119,1.013839,1.013999,1.019059,1.013939,1.019059,1.013939,1.039439,1.039589,1.013839,1.013989,1.013839,1.013989,1.013939,1.013939,1.013939,1.013939
12800000,2.001959,2.002064,1.159719,1.159824,1.126439,1.126544,1.159769,1.126489,1.159769,1.126489,1.126439,1.126529,1.034279,1.034369,1.024039,1.024129,1.034329,1.024089,1.034329,1.024089,1.064999,1.065084,1.018919,1.019004,1.013799,1.013884,1.018969,1.013849,1.018969,1.013849,1.044519,1.044604,1.013799,1.013884,1.011239,1.011324,1.013849,1.011289,1.013849,1.011289,1.034279,1.034359,1.011239,1.011319,1.008679,1.008759,1.011289,1.008729,1.011289,1.008729
19200000,2.000240,2.000313,1.158853,1.157220,1.126426,1.126500,1.158886,1.126460,1.158886,1.126460,1.126426,1.126490,1.032560,1.032623,1.022320,1.022383,1.032593,1.022353,1.032593,1.022353,1.063280,1.063340,1.017200,1.017260,1.012080,1.012140,1.017233,1.012113,1.017233,1.012113,1.042800,1.042856,1.012080,1.012136,1.008666,1.008723,1.012113,1.008700,1.012113,1.008700,1.032560,1.032616,1.008666,1.008723,1.006960,1.007016,1.008700,1.006993,1.008700,1.006993
