Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
6400,21.705650,21.383350,21.449290,21.050820,21.504310,21.787900,22.373920,22.895990,22.032860,22.491050,21.883010,21.823970,22.594940,21.675980,22.681450,22.028910,23.543070,23.691820,23.796040,23.862230,21.669300,21.862860,22.449580,21.740480,22.837580,22.189350,23.888650,23.968960,23.324290,23.758090,22.574990,22.314150,23.273100,22.449590,23.518580,22.785620,24.499080,24.637220,24.235220,24.357880,21.588940,21.665900,22.370450,22.016370,22.383540,22.265440,23.711700,23.633280,24.149690,24.071270
12800,21.508350,21.344400,22.291010,21.521680,23.720410,23.231840,24.435780,25.142310,24.261980,25.056090,25.127260,25.279180,26.129960,25.389170,26.027920,25.690650,26.854560,27.153010,26.825960,27.160210,25.287030,25.214170,25.834880,25.396270,26.335390,25.664330,27.020780,27.463920,26.880040,27.290340,26.184470,26.049250,26.942940,26.161390,26.912480,26.748930,27.922330,28.086980,27.912820,28.055080,25.298600,25.417520,25.933240,25.514070,26.242820,25.809330,26.748020,27.315650,26.967120,27.350540
19200,23.016140,22.697430,23.913390,23.101390,24.707680,24.484290,25.501190,26.051170,25.271950,26.400420,27.671550,27.898010,28.432810,28.050720,28.406590,28.220820,28.727400,29.417470,28.937320,29.256390,27.838550,27.994060,28.315160,27.818000,28.965440,28.209870,28.697960,29.881650,28.836250,29.677760,28.743310,28.734990,29.488050,28.557230,29.359490,29.218520,30.335810,30.227820,30.308220,30.251950,27.846310,28.277990,28.092740,28.099950,28.839320,28.169450,28.870410,29.761170,28.973980,29.873200
25600,23.767390,23.335510,24.403630,23.648900,25.430230,25.652540,26.267880,26.149250,25.526630,26.156330,27.893570,27.858270,28.505180,28.244430,28.402860,28.241160,28.419450,29.417160,28.707210,29.327730,28.229240,28.213370,28.218530,27.949520,28.955560,28.267420,28.718220,29.953640,28.566590,29.789570,29.082640,28.863390,29.548530,29.505920,29.318880,29.315650,30.318040,30.203960,30.602840,30.616820,28.076810,28.329120,28.328560,28.007340,28.787890,28.309300,28.678550,29.695340,28.833950,29.982420
32000,25.070130,24.448330,26.525810,25.436900,26.318810,26.325430,26.833230,27.288650,26.816680,27.169800,28.556290,28.517120,29.051490,28.890540,28.971270,28.821440,28.861020,30.210140,29.201310,30.074670,28.842240,28.869760,28.909420,28.405790,29.674660,29.759930,29.523060,30.692300,29.080680,30.535580,29.741030,29.566360,30.469960,29.760760,29.872040,29.884640,31.127790,30.950620,31.099080,31.089910,28.701060,29.064040,28.985120,28.511290,29.427330,28.870370,29.332750,30.198370,29.724500,30.492730
38400,24.861060,24.781670,26.385880,25.406570,27.668480,26.339860,27.204150,28.474440,27.042270,28.388960,29.256990,29.298680,30.065510,29.539280,30.057450,29.598170,29.864300,31.225970,30.128050,31.144670,29.821120,29.830000,29.902310,29.279100,30.678840,29.958010,30.380940,31.660910,30.113840,31.520880,30.843340,30.465030,31.608440,30.576900,30.908880,30.919710,31.957390,31.624490,31.945420,32.060750,29.753660,29.834130,29.719560,29.128630,30.392120,29.506430,30.307700,30.636790,30.184500,31.091590
44800,24.129920,24.390680,26.526150,25.571090,28.214960,26.512820,27.263240,28.943670,26.960780,28.850060,29.951600,30.305760,30.817160,30.521920,31.155370,30.703460,30.823820,32.271480,31.643470,32.147110,29.828760,30.019940,30.085020,29.092170,30.790290,29.916610,30.575920,31.572660,30.066330,31.373230,31.123360,30.880130,31.582320,30.757280,31.291850,31.189500,32.512730,32.011130,32.346990,31.999770,29.783810,30.287850,29.838600,29.317260,30.553170,29.895590,30.407250,30.800320,30.620770,31.456240
51200,24.595910,24.541910,26.702590,26.095980,29.479970,27.094150,27.597230,29.731530,27.484120,29.843880,30.693690,30.945910,31.686640,31.560670,32.189290,31.645060,31.771880,33.592960,31.775380,33.173380,30.230470,29.856880,30.206870,29.562270,31.260400,30.198150,30.665270,32.203910,30.293530,31.522490,31.330700,31.268960,31.912540,31.791860,31.495140,31.392110,32.922010,32.599590,32.627090,32.286770,30.064200,30.424280,29.608090,29.837240,30.723200,30.227620,30.720320,31.322440,31.194160,32.131160
57600,24.608120,24.579280,27.078490,26.376620,29.476300,27.414070,27.945160,29.773510,27.809810,29.945270,31.431750,31.566390,32.421080,32.010200,32.940260,32.280570,32.252010,34.060170,32.607250,33.822230,30.628980,30.341320,30.473060,30.008700,31.230260,30.504180,30.993220,32.394850,30.832100,31.801550,31.792430,31.275630,31.744010,31.790670,31.787550,31.582770,33.213310,32.578510,33.007610,32.265190,30.331960,30.722880,30.115050,30.175380,31.072330,30.921450,30.972990,31.630080,31.299440,32.349260
64000,25.509710,25.644460,27.644870,26.845680,30.077210,28.118020,28.240080,30.196820,28.519580,30.387550,31.665940,31.793990,32.641030,32.112410,32.917020,32.275730,32.783330,34.433770,32.997030,34.434400,30.851030,30.747290,31.078390,30.241590,32.317370,30.934430,31.124150,32.629130,31.151990,32.212560,31.852480,31.910960,32.099700,31.859950,32.107640,31.937990,33.423260,33.055730,33.567010,32.662440,30.879850,31.045250,30.490550,30.597680,31.326560,30.881960,31.266230,32.179200,31.731610,32.599610
