Elements,fixed[F]1,fixed[$\ell$]1,byte[F]1,byte[$\ell$]1,bit[F]1,bit[$\ell$]1,fixed[26]byte1,fixed[26]bit1,fixed[32]byte1,fixed[32]bit1,fixed[F]8,fixed[$\ell$]8,byte[F]8,byte[$\ell$]8,bit[F]8,bit[$\ell$]8,fixed[26]byte8,fixed[26]bit8,fixed[32]byte8,fixed[32]bit8,fixed[F]16,fixed[$\ell$]16,byte[F]16,byte[$\ell$]16,bit[F]16,bit[$\ell$]16,fixed[26]byte16,fixed[26]bit16,fixed[32]byte16,fixed[32]bit16,fixed[F]24,fixed[$\ell$]24,byte[F]24,byte[$\ell$]24,bit[F]24,bit[$\ell$]24,fixed[26]byte24,fixed[26]bit24,fixed[32]byte24,fixed[32]bit24,fixed[F]32,fixed[$\ell$]32,byte[F]32,byte[$\ell$]32,bit[F]32,bit[$\ell$]32,fixed[26]byte32,fixed[26]bit32,fixed[32]byte32,fixed[32]bit32
6400,49.005230,50.357340,58.993500,53.408380,58.647470,55.581810,59.679140,59.803050,59.876190,60.697010,44.925190,47.297550,50.240170,47.726610,50.702450,49.523050,51.585490,53.636230,51.334860,52.995650,44.186650,45.794430,48.001390,46.440960,48.982330,47.273530,49.198190,50.974660,48.288490,50.951410,44.069990,45.646020,48.382260,46.930170,48.720190,47.890020,49.118420,51.684360,49.415890,50.793320,45.285030,45.967920,49.529780,46.451110,49.360890,47.519600,50.017220,52.117730,50.759800,52.026890
12800,54.071090,56.268510,66.897390,58.535200,63.079170,62.601000,65.329950,65.030020,65.708790,66.040440,47.912530,49.539950,54.555990,51.648430,55.826150,53.899850,56.152610,58.779010,55.862650,58.241400,47.075690,49.416670,52.621530,49.993370,53.709860,51.895880,53.487870,55.827300,52.951900,56.164570,47.181620,49.306130,52.831380,50.768770,53.842310,52.070850,53.436150,56.744760,53.395450,55.719470,47.973690,49.305300,52.146720,49.952720,52.472590,51.015240,52.944460,54.966080,53.664670,56.988120
19200,58.407200,59.811490,69.676230,62.850920,67.064940,66.717300,70.348640,69.240790,70.893510,70.051430,51.227890,52.741520,58.696090,56.059220,60.218890,57.966910,60.335490,63.194040,59.954980,62.890740,49.857610,52.948130,56.439560,53.597820,57.724830,55.430970,57.267270,59.938720,56.798760,60.277620,49.774930,52.099230,55.637580,53.835820,56.446410,55.157580,56.153300,59.282080,56.170620,58.208820,50.803640,52.280860,56.013720,53.303160,56.702150,54.974900,56.920050,59.144250,57.719170,60.068630
25600,59.140470,62.013500,71.482050,66.241640,68.723750,71.023310,72.102800,71.176310,72.926990,71.504140,51.998210,53.845910,60.775130,56.855760,62.222100,60.322210,61.796850,65.351800,61.511030,64.850980,50.760350,53.849800,58.714880,54.821060,59.167760,57.063880,58.573420,61.336670,57.969740,61.864220,50.996810,53.535210,59.878300,55.436310,59.052890,57.434010,58.323040,61.868770,58.450350,62.269560,51.671800,53.334660,58.786650,54.418380,57.826260,56.198120,57.908970,60.568320,58.662210,60.351210
32000,61.075260,63.112890,73.965270,66.745740,70.849630,70.491520,74.748070,73.314000,75.165730,73.435310,53.583380,55.631110,62.443670,59.264870,64.737060,61.785290,63.786660,67.054870,63.848490,66.892890,53.167160,56.388890,61.290860,58.786640,63.364390,60.077350,61.863480,65.453000,61.520680,66.058370,51.584490,54.395070,58.276910,56.101130,59.337090,58.383240,58.699810,62.269990,58.843410,62.429270,53.844790,55.416020,60.473400,57.156570,61.817840,59.388120,61.284080,64.568310,62.322960,64.308400
38400,62.156870,64.019320,76.194880,67.846680,72.945710,72.833630,76.494840,75.640330,77.485780,75.102260,55.500480,57.004490,64.616630,60.811530,66.247530,63.662540,66.126130,69.086850,65.682380,69.230960,53.947200,57.213860,62.294210,58.852400,63.342870,60.626350,63.005250,65.700280,62.256430,65.902940,53.668180,56.079650,60.254920,57.987170,61.776500,60.147430,60.974150,64.449350,60.711680,64.612210,54.042830,56.203560,60.785930,57.630250,61.730950,59.493030,61.740350,64.614330,62.488620,64.382190
44800,62.869200,64.978910,76.745000,69.021350,73.612140,73.584380,77.644690,76.768070,78.315520,76.273730,56.239720,57.736400,65.469270,61.111170,66.632370,64.399780,66.729010,70.832690,66.905830,70.145930,55.602600,58.026960,62.963540,59.175770,64.657080,62.959380,63.857280,66.828570,63.250380,67.279700,54.225730,56.996930,61.455710,59.250030,62.862610,61.301260,61.992060,65.709330,62.152200,65.767450,55.096980,57.063350,61.726030,58.368800,62.755680,60.774990,62.431940,65.311660,63.253690,65.260420
51200,63.884330,65.952490,79.842200,70.078960,75.839040,75.235190,78.954420,78.301720,79.825520,77.512440,57.177280,58.803390,66.498140,63.090510,68.182660,66.249650,68.128630,71.899640,68.082870,70.499060,55.527930,59.230530,64.140020,60.790390,66.225140,63.359770,65.212020,68.447380,64.488400,68.785990,55.518130,57.828480,63.637770,61.568720,64.792950,62.976830,63.894560,67.757070,64.194830,67.916900,56.116360,57.617720,62.648010,59.389340,64.081050,61.684710,63.376140,66.532790,64.340010,66.257980
57600,64.773210,67.278010,79.489340,71.394080,76.991250,76.806410,80.238970,79.583290,81.214290,78.834750,57.974060,59.778760,68.048520,64.723000,69.271910,66.683490,69.211470,73.387810,69.234080,72.195240,56.495630,60.300320,65.290610,61.530940,67.246860,64.322690,66.076040,69.483660,65.817790,69.923060,55.636510,58.476280,63.769540,61.289870,64.604980,63.109410,64.427890,67.575470,64.089170,67.932060,56.851980,58.862480,63.697240,60.720870,65.257750,62.813230,64.973780,67.817370,65.286460,67.538760
64000,65.776540,68.279930,81.002260,72.333010,77.892880,77.209270,81.452720,80.609310,82.403010,79.696040,59.266680,60.848820,69.098680,64.809540,70.181360,67.781030,70.246700,74.499080,70.659790,73.378270,57.655720,61.319830,66.338810,63.034320,68.051200,65.374860,67.337180,70.269950,66.755260,70.928530,55.907520,58.965370,64.218670,61.404620,65.956320,64.871030,65.015170,68.121390,64.893210,68.326240,58.283370,60.114190,66.513150,62.962620,68.275020,64.961320,67.034290,70.572470,68.060710,70.077380
